* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -23.8 dBFS, measurement signal peak level -23.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Jun 2, 2023 9:52:36 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Koss KEB25ik
* Measurement: Koss KEB25ik
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	91.244	-134.2661
20.299999	91.279	-135.3553
20.600000	91.308	-136.3818
20.900000	91.337	-137.3439
21.200001	91.367	-138.2502
21.400000	91.391	-138.8354
21.799999	91.444	-139.9891
22.000000	91.474	-140.5730
22.400000	91.534	-141.7822
22.700001	91.576	-142.7306
23.000000	91.612	-143.7037
23.299999	91.638	-144.6755
23.600000	91.655	-145.6194
24.000000	91.670	-146.7997
24.299999	91.680	-147.6182
24.700001	91.698	-148.6425
25.000000	91.717	-149.3925
25.400000	91.748	-150.4099
25.799999	91.778	-151.4686
26.200001	91.800	-152.5520
26.500000	91.811	-153.3568
26.900000	91.818	-154.3933
27.200001	91.821	-155.1362
27.600000	91.824	-156.0876
28.000000	91.828	-157.0128
28.500000	91.833	-158.1523
29.000000	91.834	-159.2703
29.500000	91.833	-160.3575
30.000000	91.830	-161.4203
30.400000	91.827	-162.2634
30.700001	91.824	-162.8929
31.100000	91.815	-163.7203
31.500000	91.803	-164.5208
32.000000	91.786	-165.4705
32.500000	91.772	-166.3744
33.000000	91.762	-167.2625
33.500000	91.753	-168.1526
34.000000	91.743	-169.0388
34.500000	91.732	-169.9117
35.000000	91.722	-170.7812
35.500000	91.711	-171.6694
36.000000	91.694	-172.5791
36.500000	91.667	-173.4810
37.000000	91.632	-174.3328
37.500000	91.593	-175.1146
38.200001	91.543	-176.1138
38.700001	91.513	-176.7928
39.500000	91.472	-177.8696
40.000000	91.448	-178.5510
40.599998	91.417	-179.3776
41.200001	91.382	179.8079
41.799999	91.345	179.0290
42.500000	91.302	178.1635
43.099998	91.267	177.4350
43.700001	91.231	176.7103
44.400002	91.185	175.8828
45.000000	91.143	175.1985
45.500000	91.106	174.6469
46.200001	91.053	173.9045
46.799999	91.007	173.2964
47.500000	90.956	172.6035
48.200001	90.907	171.9029
48.700001	90.871	171.3943
49.400002	90.817	170.6877
50.000000	90.770	170.1027
50.799999	90.707	169.3556
51.500000	90.653	168.7234
52.200001	90.600	168.1104
53.000000	90.540	167.4381
53.799999	90.481	166.7905
54.500000	90.429	166.2375
55.200001	90.376	165.6980
56.000000	90.312	165.1024
57.000000	90.230	164.3908
58.000000	90.147	163.7145
59.000000	90.069	163.0490
60.000000	89.993	162.3629
60.799999	89.931	161.8083
61.500000	89.877	161.3348
62.200001	89.823	160.8777
63.000000	89.762	160.3722
64.000000	89.687	159.7599
65.000000	89.611	159.1760
66.000000	89.534	158.6266
67.000000	89.458	158.1017
68.000000	89.382	157.5888
69.000000	89.305	157.0889
70.000000	89.229	156.6053
71.000000	89.154	156.1356
72.000000	89.079	155.6788
73.000000	89.004	155.2393
74.000000	88.929	154.8207
75.000000	88.854	154.4213
76.199997	88.764	153.9619
77.500000	88.668	153.4783
78.800003	88.573	152.9984
80.000000	88.487	152.5634
81.199997	88.401	152.1438
82.500000	88.310	151.7083
83.800003	88.219	151.2916
85.000000	88.135	150.9263
86.199997	88.052	150.5793
87.500000	87.962	150.2189
88.500000	87.893	149.9506
90.000000	87.791	149.5629
91.199997	87.710	149.2669
92.500000	87.624	148.9596
93.800003	87.538	148.6638
95.000000	87.460	148.4021
96.199997	87.383	148.1532
97.500000	87.301	147.8970
98.800003	87.220	147.6482
100.000000	87.146	147.4203
101.500000	87.052	147.1398
103.000000	86.960	146.8706
104.400002	86.874	146.6331
106.000000	86.778	146.3793
107.500000	86.689	146.1617
109.000000	86.600	145.9659
110.599998	86.506	145.7695
112.000000	86.426	145.5931
113.800003	86.325	145.3544
115.000000	86.259	145.1969
117.199997	86.142	144.9384
118.000000	86.100	144.8562
120.599998	85.960	144.6241
122.000000	85.882	144.5167
124.099998	85.766	144.3644
125.000000	85.718	144.2988
126.500000	85.639	144.1873
128.000000	85.561	144.0773
131.500000	85.381	143.8580
132.000000	85.356	143.8314
134.000000	85.258	143.7299
136.000000	85.165	143.6276
138.000000	85.073	143.5181
140.000000	84.978	143.4123
143.000000	84.832	143.2880
145.000000	84.736	143.2286
147.500000	84.622	143.1677
150.000000	84.510	143.1127
152.500000	84.398	143.0643
155.000000	84.287	143.0347
157.500000	84.181	143.0358
160.000000	84.079	143.0566
162.500000	83.977	143.0768
165.000000	83.874	143.0848
167.500000	83.772	143.0801
170.000000	83.672	143.0841
172.500000	83.574	143.1215
175.000000	83.478	143.1871
177.500000	83.383	143.2588
180.000000	83.290	143.3276
182.500000	83.198	143.3964
185.000000	83.108	143.4708
187.500000	83.018	143.5533
190.000000	82.930	143.6405
192.500000	82.844	143.7319
195.000000	82.760	143.8306
197.500000	82.677	143.9362
200.000000	82.596	144.0458
203.000000	82.498	144.1851
206.000000	82.401	144.3390
209.000000	82.305	144.5046
212.000000	82.211	144.6732
214.000000	82.149	144.7856
218.000000	82.027	145.0164
220.000000	81.968	145.1370
224.000000	81.850	145.3887
227.000000	81.764	145.5823
230.000000	81.678	145.7798
233.000000	81.594	145.9825
236.000000	81.512	146.1888
240.000000	81.405	146.4678
243.000000	81.327	146.6824
247.000000	81.226	146.9791
250.000000	81.152	147.2070
254.000000	81.055	147.5104
258.000000	80.960	147.8087
262.000000	80.868	148.1064
265.000000	80.799	148.3329
269.000000	80.708	148.6410
272.000000	80.641	148.8761
276.000000	80.553	149.1963
280.000000	80.466	149.5261
285.000000	80.361	149.9523
290.000000	80.260	150.3911
295.000000	80.161	150.8348
300.000000	80.064	151.2751
304.000000	79.989	151.6230
307.000000	79.934	151.8840
311.000000	79.862	152.2329
315.000000	79.792	152.5826
320.000000	79.706	153.0235
325.000000	79.623	153.4695
330.000000	79.541	153.9158
335.000000	79.462	154.3594
340.000000	79.386	154.8037
345.000000	79.311	155.2503
350.000000	79.238	155.6959
355.000000	79.166	156.1395
360.000000	79.096	156.5825
365.000000	79.028	157.0267
370.000000	78.962	157.4711
375.000000	78.897	157.9137
382.000000	78.810	158.5286
387.000000	78.748	158.9649
395.000000	78.651	159.6619
400.000000	78.591	160.0976
406.000000	78.521	160.6210
412.000000	78.452	161.1440
418.000000	78.384	161.6655
425.000000	78.307	162.2756
431.000000	78.243	162.8027
437.000000	78.180	163.3331
444.000000	78.108	163.9551
450.000000	78.047	164.4900
455.000000	77.998	164.9371
462.000000	77.930	165.5677
468.000000	77.873	166.1124
475.000000	77.808	166.7501
482.000000	77.745	167.3899
487.000000	77.701	167.8492
494.000000	77.641	168.4955
500.000000	77.591	169.0493
508.000000	77.525	169.7854
515.000000	77.470	170.4319
522.000000	77.417	171.0850
530.000000	77.359	171.8393
538.000000	77.303	172.5992
545.000000	77.257	173.2672
552.000000	77.212	173.9370
560.000000	77.163	174.7045
570.000000	77.105	175.6671
580.000000	77.051	176.6297
590.000000	77.001	177.5918
600.000000	76.954	178.5576
608.000000	76.920	179.3340
615.000000	76.893	-179.9841
622.000000	76.868	-179.3016
630.000000	76.842	-178.5222
640.000000	76.815	-177.5474
650.000000	76.794	-176.5721
660.000000	76.781	-175.6061
670.000000	76.777	-174.6670
680.000000	76.785	-173.7838
690.000000	76.803	-173.0129
700.000000	76.821	-172.4279
710.000000	76.816	-172.0536
720.000000	76.761	-171.7499
730.000000	76.655	-171.2267
740.000000	76.535	-170.3022
750.000000	76.444	-169.0676
762.000000	76.389	-167.4665
775.000000	76.377	-165.8188
788.000000	76.388	-164.3155
800.000000	76.406	-163.0240
812.000000	76.428	-161.7905
825.000000	76.456	-160.4977
838.000000	76.487	-159.2390
850.000000	76.519	-158.1020
862.000000	76.554	-156.9840
875.000000	76.595	-155.7916
885.000000	76.629	-154.8873
900.000000	76.683	-153.5497
912.000000	76.730	-152.4945
925.000000	76.784	-151.3695
938.000000	76.842	-150.2681
950.000000	76.899	-149.2731
962.000000	76.960	-148.2975
975.000000	77.030	-147.2607
988.000000	77.103	-146.2460
1000.000000	77.173	-145.3322
1015.000000	77.265	-144.2256
1030.000000	77.361	-143.1631
1044.000000	77.451	-142.2123
1060.000000	77.556	-141.1703
1075.000000	77.656	-140.2324
1090.000000	77.755	-139.3276
1106.000000	77.860	-138.3979
1120.000000	77.952	-137.6150
1138.000000	78.069	-136.6481
1150.000000	78.146	-136.0248
1172.000000	78.286	-134.9186
1180.000000	78.336	-134.5261
1206.000000	78.498	-133.2825
1220.000000	78.584	-132.6343
1241.000000	78.710	-131.6891
1250.000000	78.764	-131.2924
1265.000000	78.852	-130.6393
1280.000000	78.940	-129.9937
1315.000000	79.142	-128.5139
1320.000000	79.171	-128.3058
1340.000000	79.284	-127.4812
1360.000000	79.396	-126.6676
1380.000000	79.508	-125.8612
1400.000000	79.619	-125.0596
1430.000000	79.784	-123.8683
1450.000000	79.894	-123.0803
1475.000000	80.032	-122.1008
1500.000000	80.170	-121.1288
1525.000000	80.310	-120.1636
1550.000000	80.452	-119.2024
1575.000000	80.594	-118.2461
1600.000000	80.739	-117.2969
1625.000000	80.885	-116.3560
1650.000000	81.033	-115.4230
1675.000000	81.184	-114.4978
1700.000000	81.337	-113.5819
1725.000000	81.493	-112.6760
1750.000000	81.652	-111.7815
1775.000000	81.813	-110.9005
1800.000000	81.978	-110.0333
1825.000000	82.145	-109.1799
1850.000000	82.315	-108.3411
1875.000000	82.488	-107.5178
1900.000000	82.665	-106.7108
1925.000000	82.844	-105.9213
1950.000000	83.026	-105.1508
1975.000000	83.211	-104.4001
2000.000000	83.400	-103.6705
2030.000000	83.630	-102.8247
2060.000000	83.865	-102.0140
2090.000000	84.105	-101.2396
2120.000000	84.349	-100.5026
2140.000000	84.514	-100.0332
2180.000000	84.851	-99.1512
2200.000000	85.022	-98.7396
2240.000000	85.369	-97.9792
2270.000000	85.634	-97.4673
2300.000000	85.903	-97.0084
2330.000000	86.176	-96.6053
2360.000000	86.452	-96.2609
2400.000000	86.825	-95.8990
2430.000000	87.109	-95.7052
2470.000000	87.490	-95.5566
2500.000000	87.777	-95.5317
2540.000000	88.162	-95.6206
2580.000000	88.547	-95.8560
2620.000000	88.930	-96.2451
2650.000000	89.214	-96.6417
2690.000000	89.587	-97.3141
2720.000000	89.862	-97.9272
2760.000000	90.218	-98.8893
2800.000000	90.559	-100.0153
2850.000000	90.960	-101.6476
2900.000000	91.329	-103.5117
2950.000000	91.657	-105.5755
3000.000000	91.942	-107.7980
3040.000000	92.134	-109.6580
3070.000000	92.258	-111.0825
3110.000000	92.396	-112.9976
3150.000000	92.502	-114.9037
3200.000000	92.593	-117.2311
3250.000000	92.641	-119.4517
3300.000000	92.650	-121.5251
3350.000000	92.627	-123.4220
3400.000000	92.578	-125.1229
3450.000000	92.510	-126.6179
3500.000000	92.428	-127.9052
3550.000000	92.338	-128.9900
3600.000000	92.245	-129.8832
3650.000000	92.153	-130.5992
3700.000000	92.065	-131.1548
3750.000000	91.985	-131.5682
3820.000000	91.890	-131.9425
3870.000000	91.836	-132.0884
3950.000000	91.780	-132.1615
4000.000000	91.764	-132.1346
4060.000000	91.766	-132.0569
4120.000000	91.791	-131.9560
4180.000000	91.840	-131.8594
4250.000000	91.926	-131.7892
4310.000000	92.024	-131.7968
4370.000000	92.144	-131.8957
4440.000000	92.308	-132.1643
4500.000000	92.468	-132.5577
4550.000000	92.612	-133.0222
4620.000000	92.826	-133.9127
4680.000000	93.014	-134.9269
4750.000000	93.233	-136.4325
4820.000000	93.440	-138.3065
4870.000000	93.573	-139.8745
4940.000000	93.729	-142.3808
5000.000000	93.826	-144.7933
5080.000000	93.890	-148.3197
5150.000000	93.875	-151.6044
5220.000000	93.788	-154.9662
5300.000000	93.599	-158.7593
5380.000000	93.319	-162.3488
5450.000000	93.005	-165.2145
5520.000000	92.634	-167.7377
5600.000000	92.149	-170.0800
5700.000000	91.472	-171.8675
5800.000000	90.818	-171.9565
5900.000000	90.411	-171.0433
6000.000000	90.240	-171.1801
6080.000000	90.087	-172.1675
6150.000000	89.901	-173.1697
6220.000000	89.680	-174.0448
6300.000000	89.412	-174.7653
6400.000000	89.101	-175.2994
6500.000000	88.849	-175.6459
6600.000000	88.664	-176.0316
6700.000000	88.539	-176.6268
6800.000000	88.460	-177.5616
6900.000000	88.411	-178.9390
7000.000000	88.370	179.1688
7100.000000	88.315	176.7288
7200.000000	88.219	173.7510
7300.000000	88.060	170.2941
7400.000000	87.814	166.4791
7500.000000	87.463	162.4992
7620.000000	86.891	157.8444
7750.000000	86.096	153.3876
7880.000000	85.154	149.8945
8000.000000	84.196	147.6736
8120.000000	83.193	146.4213
8250.000000	82.098	146.0649
8380.000000	81.025	146.5970
8500.000000	80.075	147.7339
