* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -34.7 dBFS, measurement signal peak level -34.8 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 4:49:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: LetShuoer S12
* Measurement: LetShuoer S12
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	72.675	-111.3462
20.299999	72.750	-112.5154
20.600000	72.808	-113.6012
20.900000	72.856	-114.5512
21.200001	72.906	-115.3447
21.400000	72.946	-115.8073
21.799999	73.050	-116.6614
22.000000	73.114	-117.1062
22.400000	73.256	-118.1385
22.700001	73.359	-119.0771
23.000000	73.445	-120.1424
23.299999	73.506	-121.2664
23.600000	73.539	-122.3689
24.000000	73.550	-123.6803
24.299999	73.545	-124.4811
24.700001	73.544	-125.3038
25.000000	73.561	-125.7993
25.400000	73.616	-126.4302
25.799999	73.698	-127.1854
26.200001	73.787	-128.1570
26.500000	73.843	-129.0137
26.900000	73.890	-130.2375
27.200001	73.902	-131.1216
27.600000	73.896	-132.1328
28.000000	73.885	-132.8635
28.500000	73.905	-133.3966
29.000000	74.001	-133.7347
29.500000	74.178	-134.2250
30.000000	74.395	-135.1860
30.400000	74.558	-136.3666
30.700001	74.656	-137.4510
31.100000	74.738	-139.0231
31.500000	74.764	-140.5682
32.000000	74.735	-142.2387
32.500000	74.668	-143.5330
33.000000	74.588	-144.5128
33.500000	74.497	-145.2258
34.000000	74.400	-145.6101
34.500000	74.327	-145.6216
35.000000	74.319	-145.4214
35.500000	74.388	-145.3884
36.000000	74.497	-145.8453
36.500000	74.589	-146.8277
37.000000	74.630	-148.1042
37.500000	74.623	-149.4047
38.200001	74.576	-151.0128
38.700001	74.542	-152.0117
39.500000	74.511	-153.4679
40.000000	74.505	-154.3308
40.599998	74.507	-155.3275
41.200001	74.516	-156.2448
41.799999	74.535	-157.0533
42.500000	74.573	-157.9176
43.099998	74.612	-158.6769
43.700001	74.642	-159.4750
44.400002	74.655	-160.4437
45.000000	74.634	-161.2920
45.500000	74.588	-161.9433
46.200001	74.488	-162.5812
46.799999	74.409	-162.8041
47.500000	74.374	-162.9518
48.200001	74.390	-163.3756
48.700001	74.406	-163.9093
49.400002	74.411	-164.8155
50.000000	74.408	-165.5934
50.799999	74.411	-166.5894
51.500000	74.423	-167.4567
52.200001	74.434	-168.3156
53.000000	74.435	-169.2464
53.799999	74.415	-170.0369
54.500000	74.383	-170.5429
55.200001	74.352	-170.9162
56.000000	74.317	-171.3442
57.000000	74.238	-171.9579
58.000000	74.115	-172.3269
59.000000	74.037	-172.3957
60.000000	74.048	-172.8001
60.799999	74.068	-173.6116
61.500000	74.061	-174.5104
62.200001	74.035	-175.3829
63.000000	74.000	-176.2455
64.000000	73.969	-177.1687
65.000000	73.945	-177.9806
66.000000	73.917	-178.6374
67.000000	73.890	-179.1303
68.000000	73.866	-179.5487
69.000000	73.838	-179.9759
70.000000	73.801	179.5701
71.000000	73.756	179.0775
72.000000	73.704	178.5352
73.000000	73.651	177.9635
74.000000	73.604	177.3744
75.000000	73.564	176.7545
76.199997	73.521	175.9844
77.500000	73.467	175.2454
78.800003	73.412	174.7310
80.000000	73.370	174.4066
81.199997	73.332	174.0977
82.500000	73.282	173.6951
83.800003	73.214	173.2316
85.000000	73.141	172.7937
86.199997	73.068	172.3723
87.500000	72.998	171.9624
88.500000	72.953	171.6778
90.000000	72.895	171.2731
91.199997	72.849	170.9545
92.500000	72.794	170.5918
93.800003	72.732	170.2097
95.000000	72.677	169.8362
96.199997	72.630	169.4163
97.500000	72.581	168.9227
98.800003	72.528	168.4969
100.000000	72.476	168.2323
101.500000	72.407	168.0062
103.000000	72.325	167.7945
104.400002	72.238	167.5503
106.000000	72.141	167.1606
107.500000	72.059	166.7526
109.000000	71.995	166.4886
110.599998	71.960	166.4002
112.000000	71.949	166.3161
113.800003	71.935	166.0402
115.000000	71.937	165.6922
117.199997	71.962	164.4873
118.000000	71.953	163.9523
120.599998	71.808	163.2589
122.000000	71.719	163.6774
124.099998	71.593	164.3509
125.000000	71.526	164.5214
126.500000	71.406	164.6599
128.000000	71.296	164.5985
131.500000	71.047	164.0052
132.000000	71.009	163.9445
134.000000	70.871	163.7975
136.000000	70.781	163.6352
138.000000	70.731	163.4208
140.000000	70.696	163.3232
143.000000	70.623	163.3917
145.000000	70.555	163.4106
147.500000	70.465	163.3080
150.000000	70.363	163.0632
152.500000	70.236	162.6001
155.000000	70.071	161.9591
157.500000	69.867	161.8519
160.000000	69.727	162.6313
162.500000	69.722	163.4844
165.000000	69.800	164.0638
167.500000	69.906	164.6207
170.000000	69.956	164.9710
172.500000	69.896	165.0517
175.000000	69.784	164.9449
177.500000	69.683	164.7869
180.000000	69.601	164.7128
182.500000	69.524	164.7154
185.000000	69.444	164.7389
187.500000	69.366	164.7762
190.000000	69.289	164.8264
192.500000	69.216	164.8733
195.000000	69.145	164.9173
197.500000	69.077	164.9815
200.000000	69.012	165.0854
203.000000	68.936	165.2496
