* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: Dec 24, 2023 11:56:56 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Vector average of Mega5est, Mega5est, Mega5est, Mega5est
* Measurement: Mega5est average
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.152	110.9067
20.299999	75.295	109.1353
20.600000	75.433	107.4111
20.900000	75.568	105.7254
21.200001	75.699	104.0710
21.400000	75.785	102.9835
21.799999	75.951	100.8437
22.000000	76.032	99.7904
22.400000	76.189	97.7139
22.700001	76.302	96.1789
23.000000	76.411	94.6608
23.299999	76.515	93.1601
23.600000	76.614	91.6803
24.000000	76.739	89.7497
24.299999	76.827	88.3400
24.700001	76.940	86.5139
25.000000	77.023	85.1801
25.400000	77.131	83.4381
25.799999	77.238	81.7242
26.200001	77.341	80.0293
26.500000	77.416	78.7688
26.900000	77.511	77.1023
27.200001	77.579	75.8637
27.600000	77.664	74.2296
28.000000	77.743	72.6212
28.500000	77.833	70.6623
29.000000	77.917	68.7777
29.500000	77.999	66.9644
30.000000	78.084	65.1928
30.400000	78.153	63.7834
30.700001	78.204	62.7248
31.100000	78.270	61.3123
31.500000	78.332	59.9062
32.000000	78.404	58.1676
32.500000	78.472	56.4520
33.000000	78.535	54.7590
33.500000	78.591	53.0978
34.000000	78.641	51.4851
34.500000	78.688	49.9264
35.000000	78.734	48.4067
35.500000	78.778	46.9070
36.000000	78.818	45.4279
36.500000	78.851	43.9898
37.000000	78.882	42.6093
37.500000	78.915	41.2769
38.200001	78.965	39.4383
38.700001	79.001	38.1227
39.500000	79.051	36.0414
40.000000	79.081	34.7679
40.599998	79.117	33.2493
41.200001	79.148	31.7293
41.799999	79.172	30.2307
42.500000	79.192	28.5497
43.099998	79.207	27.1652
43.700001	79.220	25.8146
44.400002	79.231	24.2777
45.000000	79.236	22.9888
45.500000	79.238	21.9230
46.200001	79.229	20.4554
46.799999	79.213	19.2729
47.500000	79.197	18.0165
48.200001	79.201	16.7959
48.700001	79.212	15.8667
49.400002	79.223	14.4753
50.000000	79.224	13.2688
50.799999	79.226	11.7017
51.500000	79.233	10.3190
52.200001	79.239	8.8970
53.000000	79.235	7.2893
53.799999	79.228	5.7498
54.500000	79.222	4.4448
55.200001	79.214	3.1751
56.000000	79.206	1.7715
