* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -41.1 dBFS, measurement signal peak level -36.2 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 4:57:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: MoonDrop Quarks
* Measurement: MoonDrop Quarks R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	67.751	-119.8858
20.299999	67.832	-120.4574
20.600000	67.923	-120.9738
20.900000	68.023	-121.5198
21.200001	68.123	-122.1696
21.400000	68.180	-122.6646
21.799999	68.264	-123.7272
22.000000	68.288	-124.2404
22.400000	68.308	-125.1015
22.700001	68.316	-125.5490
23.000000	68.336	-125.8479
23.299999	68.379	-126.0938
23.600000	68.444	-126.3864
24.000000	68.551	-126.9729
24.299999	68.629	-127.5836
24.700001	68.714	-128.5523
25.000000	68.762	-129.3071
25.400000	68.814	-130.2648
25.799999	68.866	-131.1570
26.200001	68.925	-132.0390
26.500000	68.970	-132.7196
26.900000	69.027	-133.6400
27.200001	69.066	-134.3078
27.600000	69.116	-135.1338
28.000000	69.171	-135.8984
28.500000	69.248	-136.8455
29.000000	69.313	-137.7982
29.500000	69.359	-138.6186
30.000000	69.410	-139.1896
30.400000	69.477	-139.5588
30.700001	69.543	-139.8931
31.100000	69.632	-140.5260
31.500000	69.693	-141.3503
32.000000	69.703	-142.3713
32.500000	69.664	-142.9851
33.000000	69.646	-143.0924
33.500000	69.702	-143.0309
34.000000	69.815	-143.2538
34.500000	69.923	-143.9066
35.000000	69.988	-144.7920
35.500000	70.010	-145.6231
36.000000	70.013	-146.2681
36.500000	70.016	-146.7386
37.000000	70.030	-147.0721
37.500000	70.064	-147.3004
38.200001	70.160	-147.6357
38.700001	70.252	-148.0940
39.500000	70.360	-149.3208
40.000000	70.373	-150.1608
40.599998	70.350	-150.9618
41.200001	70.323	-151.4978
41.799999	70.312	-151.9220
42.500000	70.314	-152.4347
43.099998	70.318	-152.8987
43.700001	70.325	-153.3702
44.400002	70.342	-153.9534
45.000000	70.361	-154.5081
45.500000	70.374	-155.0083
46.200001	70.384	-155.7157
46.799999	70.384	-156.2480
47.500000	70.393	-156.7289
48.200001	70.424	-157.1456
48.700001	70.458	-157.4791
49.400002	70.507	-158.0264
50.000000	70.546	-158.5418
50.799999	70.589	-159.2839
51.500000	70.611	-159.9878
52.200001	70.609	-160.6686
53.000000	70.584	-161.2787
53.799999	70.559	-161.6484
54.500000	70.557	-161.8358
55.200001	70.578	-162.0204
56.000000	70.617	-162.3469
57.000000	70.659	-162.9231
58.000000	70.681	-163.6039
59.000000	70.674	-164.2633
60.000000	70.665	-164.7748
60.799999	70.675	-165.2135
61.500000	70.683	-165.6970
62.200001	70.682	-166.2242
63.000000	70.672	-166.8056
64.000000	70.658	-167.4611
65.000000	70.649	-168.0246
66.000000	70.650	-168.5385
67.000000	70.654	-169.0398
68.000000	70.656	-169.5066
