* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -39.0 dBFS, measurement signal peak level -36.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: May 29, 2023 4:52:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: MoonDrop Starfield
* Measurement: MoonDrop Starfield L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	73.381	-99.7264
20.299999	73.486	-100.4973
20.600000	73.610	-101.3378
20.900000	73.737	-102.3306
21.200001	73.848	-103.4771
21.400000	73.905	-104.2775
21.799999	73.981	-105.8462
22.000000	74.003	-106.5611
22.400000	74.036	-107.7934
22.700001	74.062	-108.5773
23.000000	74.097	-109.3095
23.299999	74.137	-110.0443
23.600000	74.179	-110.7983
24.000000	74.233	-111.8178
24.299999	74.272	-112.5649
24.700001	74.330	-113.5283
25.000000	74.383	-114.2537
25.400000	74.464	-115.2780
25.799999	74.548	-116.3927
26.200001	74.627	-117.5576
26.500000	74.683	-118.4254
26.900000	74.760	-119.5550
27.200001	74.820	-120.3969
27.600000	74.902	-121.5453
28.000000	74.973	-122.7180
28.500000	75.034	-124.0929
29.000000	75.078	-125.1858
29.500000	75.136	-125.9820
30.000000	75.221	-126.6556
30.400000	75.300	-127.2078
30.700001	75.358	-127.6339
31.100000	75.434	-128.1917
31.500000	75.513	-128.7365
32.000000	75.616	-129.4709
32.500000	75.712	-130.3514
33.000000	75.781	-131.3306
33.500000	75.822	-132.2606
34.000000	75.858	-133.0776
34.500000	75.902	-133.8814
35.000000	75.946	-134.7731
35.500000	75.970	-135.7090
36.000000	75.973	-136.5513
36.500000	75.972	-137.2298
37.000000	75.978	-137.7746
37.500000	75.993	-138.2224
38.200001	76.039	-138.6970
38.700001	76.101	-139.0152
39.500000	76.230	-139.8963
40.000000	76.286	-140.7351
40.599998	76.305	-141.8211
41.200001	76.289	-142.7839
41.799999	76.267	-143.6411
42.500000	76.247	-144.6455
43.099998	76.231	-145.5362
43.700001	76.221	-146.4428
44.400002	76.220	-147.5330
45.000000	76.227	-148.4783
45.500000	76.240	-149.2534
46.200001	76.267	-150.3321
46.799999	76.286	-151.2400
47.500000	76.291	-152.1380
48.200001	76.291	-152.7239
48.700001	76.302	-152.9788
49.400002	76.336	-153.2418
50.000000	76.372	-153.4566
50.799999	76.423	-153.7681
51.500000	76.472	-154.1385
52.200001	76.518	-154.7167
53.000000	76.537	-155.6346
53.799999	76.515	-156.5779
54.500000	76.491	-157.2789
55.200001	76.487	-157.9716
56.000000	76.494	-158.8573
57.000000	76.507	-159.8967
58.000000	76.549	-160.9969
59.000000	76.534	-162.3338
60.000000	76.424	-163.1209
60.799999	76.354	-163.2123
61.500000	76.331	-163.2312
62.200001	76.325	-163.3624
63.000000	76.318	-163.6205
64.000000	76.312	-164.0375
65.000000	76.312	-164.5799
66.000000	76.311	-165.2397
67.000000	76.301	-165.9498
68.000000	76.280	-166.6076
69.000000	76.258	-167.1672
70.000000	76.241	-167.6877
71.000000	76.221	-168.2246
72.000000	76.193	-168.7545
73.000000	76.163	-169.2437
74.000000	76.139	-169.7060
75.000000	76.122	-170.1741
76.199997	76.107	-170.7453
77.500000	76.092	-171.3321
78.800003	76.077	-171.8890
80.000000	76.059	-172.3909
81.199997	76.037	-172.8798
82.500000	76.013	-173.4195
83.800003	75.981	-173.9813
85.000000	75.942	-174.4505
86.199997	75.904	-174.8374
87.500000	75.872	-175.2325
88.500000	75.851	-175.5744
90.000000	75.818	-176.1474
91.199997	75.790	-176.6195
92.500000	75.759	-177.1195
93.800003	75.725	-177.5666
95.000000	75.692	-177.9009
96.199997	75.661	-178.1755
97.500000	75.632	-178.4827
98.800003	75.598	-178.8556
100.000000	75.560	-179.2197
101.500000	75.507	-179.6240
103.000000	75.458	-179.9487
104.400002	75.416	179.8058
