* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Salnotes Zero Cal L, Salnotes Zero Cal L, Salnotes Zero Cal L, Salnotes Zero Cal L, Salnotes Zero Cal L
* Dated: Mar 23, 2024 7:51:13 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Salnotes Zero Cal L, Salnotes Zero Cal L, Salnotes Zero Cal L, Salnotes Zero Cal L, Salnotes Zero Cal L
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	75.354
20.299999	75.490
20.600000	75.621
20.900000	75.747
21.200001	75.869
21.400000	75.948
21.799999	76.099
22.000000	76.171
22.400000	76.310
22.700001	76.410
23.000000	76.507
23.299999	76.601
23.600000	76.692
24.000000	76.808
24.299999	76.891
24.700001	76.997
25.000000	77.072
25.400000	77.169
25.799999	77.262
26.200001	77.351
26.500000	77.415
26.900000	77.497
27.200001	77.555
27.600000	77.630
28.000000	77.700
28.500000	77.784
29.000000	77.864
29.500000	77.939
30.000000	78.009
30.400000	78.060
30.700001	78.095
31.100000	78.141
31.500000	78.186
32.000000	78.243
32.500000	78.299
33.000000	78.353
33.500000	78.399
34.000000	78.439
34.500000	78.476
35.000000	78.511
35.500000	78.546
36.000000	78.579
36.500000	78.609
37.000000	78.634
37.500000	78.656
38.200001	78.684
38.700001	78.704
39.500000	78.733
40.000000	78.749
40.599998	78.767
41.200001	78.783
41.799999	78.797
42.500000	78.809
43.099998	78.815
43.700001	78.817
44.400002	78.813
45.000000	78.807
45.500000	78.800
46.200001	78.788
46.799999	78.778
47.500000	78.775
48.200001	78.779
48.700001	78.784
49.400002	78.786
50.000000	78.783
50.799999	78.776
51.500000	78.765
52.200001	78.750
53.000000	78.730
53.799999	78.710
54.500000	78.695
55.200001	78.680
56.000000	78.664
57.000000	78.644
58.000000	78.625
59.000000	78.604
60.000000	78.583
60.799999	78.566
61.500000	78.550
62.200001	78.532
63.000000	78.509
64.000000	78.480
65.000000	78.450
66.000000	78.419
67.000000	78.388
68.000000	78.359
69.000000	78.330
70.000000	78.300
71.000000	78.269
72.000000	78.236
73.000000	78.203
74.000000	78.169
75.000000	78.134
76.199997	78.094
77.500000	78.050
78.800003	78.005
80.000000	77.961
81.199997	77.916
82.500000	77.868
83.800003	77.822
85.000000	77.781
86.199997	77.741
87.500000	77.699
88.500000	77.668
90.000000	77.623
91.199997	77.585
92.500000	77.538
93.800003	77.485
95.000000	77.434
96.199997	77.386
97.500000	77.342
98.800003	77.304
100.000000	77.271
101.500000	77.233
103.000000	77.197
104.400002	77.162
106.000000	77.118
107.500000	77.075
109.000000	77.035
110.599998	76.996
112.000000	76.959
113.800003	76.905
115.000000	76.869
117.199997	76.804
118.000000	76.779
120.599998	76.700
122.000000	76.660
124.099998	76.604
125.000000	76.582
126.500000	76.547
128.000000	76.512
131.500000	76.421
132.000000	76.407
134.000000	76.355
136.000000	76.312
138.000000	76.275
140.000000	76.230
143.000000	76.134
145.000000	76.066
147.500000	76.001
150.000000	75.973
152.500000	75.947
155.000000	75.895
157.500000	75.841
160.000000	75.798
162.500000	75.756
165.000000	75.720
167.500000	75.696
170.000000	75.668
172.500000	75.632
175.000000	75.596
177.500000	75.567
180.000000	75.543
182.500000	75.516
185.000000	75.486
187.500000	75.460
190.000000	75.444
192.500000	75.429
195.000000	75.406
197.500000	75.372
200.000000	75.336
203.000000	75.298
206.000000	75.263
209.000000	75.229
212.000000	75.197
214.000000	75.178
218.000000	75.139
220.000000	75.118
224.000000	75.067
227.000000	75.023
230.000000	74.987
233.000000	74.967
236.000000	74.955
240.000000	74.934
243.000000	74.915
247.000000	74.890
250.000000	74.870
