* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Salnotes Zero Cal R, Salnotes Zero Cal R, Salnotes Zero Cal R, Salnotes Zero Cal R, Salnotes Zero Cal R
* Dated: Mar 23, 2024 7:51:25 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Salnotes Zero Cal R, Salnotes Zero Cal R, Salnotes Zero Cal R, Salnotes Zero Cal R, Salnotes Zero Cal R
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	74.861
20.299999	75.014
20.600000	75.162
20.900000	75.305
21.200001	75.443
21.400000	75.532
21.799999	75.704
22.000000	75.787
22.400000	75.949
22.700001	76.065
23.000000	76.177
23.299999	76.285
23.600000	76.389
24.000000	76.519
24.299999	76.613
24.700001	76.732
25.000000	76.819
25.400000	76.931
25.799999	77.039
26.200001	77.141
26.500000	77.215
26.900000	77.309
27.200001	77.376
27.600000	77.462
28.000000	77.544
28.500000	77.642
29.000000	77.736
29.500000	77.827
30.000000	77.914
30.400000	77.980
30.700001	78.026
31.100000	78.084
31.500000	78.138
32.000000	78.200
32.500000	78.259
33.000000	78.315
33.500000	78.366
34.000000	78.412
34.500000	78.452
35.000000	78.489
35.500000	78.525
36.000000	78.563
36.500000	78.604
37.000000	78.646
37.500000	78.686
38.200001	78.732
38.700001	78.758
39.500000	78.796
40.000000	78.821
40.599998	78.850
41.200001	78.876
41.799999	78.895
42.500000	78.910
43.099998	78.921
43.700001	78.934
44.400002	78.949
45.000000	78.958
45.500000	78.963
46.200001	78.969
46.799999	78.973
47.500000	78.975
48.200001	78.975
48.700001	78.974
49.400002	78.970
50.000000	78.968
50.799999	78.964
51.500000	78.959
52.200001	78.951
53.000000	78.940
53.799999	78.928
54.500000	78.917
55.200001	78.904
56.000000	78.887
57.000000	78.866
58.000000	78.845
59.000000	78.822
60.000000	78.797
60.799999	78.778
61.500000	78.760
62.200001	78.742
63.000000	78.719
64.000000	78.690
65.000000	78.659
66.000000	78.629
67.000000	78.598
68.000000	78.568
69.000000	78.538
70.000000	78.509
71.000000	78.480
72.000000	78.452
73.000000	78.424
74.000000	78.393
75.000000	78.358
76.199997	78.315
77.500000	78.269
78.800003	78.226
80.000000	78.185
81.199997	78.141
82.500000	78.094
83.800003	78.054
85.000000	78.019
86.199997	77.981
87.500000	77.936
88.500000	77.900
90.000000	77.848
91.199997	77.807
92.500000	77.765
93.800003	77.724
95.000000	77.689
96.199997	77.655
97.500000	77.616
98.800003	77.568
100.000000	77.517
101.500000	77.453
103.000000	77.401
104.400002	77.366
106.000000	77.329
107.500000	77.288
109.000000	77.240
110.599998	77.188
112.000000	77.144
113.800003	77.089
115.000000	77.050
117.199997	76.978
118.000000	76.953
120.599998	76.882
122.000000	76.848
124.099998	76.800
125.000000	76.780
126.500000	76.747
128.000000	76.714
131.500000	76.625
132.000000	76.609
134.000000	76.536
136.000000	76.458
138.000000	76.397
140.000000	76.357
143.000000	76.310
145.000000	76.267
147.500000	76.202
150.000000	76.148
152.500000	76.103
155.000000	76.063
157.500000	76.030
160.000000	76.011
162.500000	75.990
165.000000	75.948
167.500000	75.890
170.000000	75.837
172.500000	75.794
175.000000	75.757
177.500000	75.722
180.000000	75.690
182.500000	75.657
185.000000	75.624
187.500000	75.591
190.000000	75.559
192.500000	75.525
195.000000	75.492
197.500000	75.460
200.000000	75.430
203.000000	75.396
206.000000	75.360
209.000000	75.325
212.000000	75.291
214.000000	75.269
218.000000	75.227
220.000000	75.207
224.000000	75.169
227.000000	75.142
230.000000	75.115
233.000000	75.086
236.000000	75.056
240.000000	75.018
243.000000	74.991
247.000000	74.958
250.000000	74.934
254.000000	74.903
258.000000	74.873
262.000000	74.844
265.000000	74.823
269.000000	74.796
272.000000	74.777
276.000000	74.751
280.000000	74.727
285.000000	74.700
290.000000	74.673
295.000000	74.649
300.000000	74.626
304.000000	74.608
307.000000	74.595
311.000000	74.577
315.000000	74.561
320.000000	74.541
325.000000	74.521
330.000000	74.503
335.000000	74.486
340.000000	74.469
345.000000	74.453
350.000000	74.437
355.000000	74.423
360.000000	74.409
365.000000	74.397
370.000000	74.386
375.000000	74.377
382.000000	74.365
387.000000	74.357
395.000000	74.345
400.000000	74.338
406.000000	74.331
412.000000	74.325
418.000000	74.319
425.000000	74.313
431.000000	74.308
437.000000	74.303
444.000000	74.298
450.000000	74.293
455.000000	74.290
462.000000	74.286
468.000000	74.282
475.000000	74.277
482.000000	74.273
487.000000	74.270
494.000000	74.267
500.000000	74.264
508.000000	74.262
515.000000	74.260
522.000000	74.258
530.000000	74.257
538.000000	74.257
545.000000	74.258
552.000000	74.259
560.000000	74.260
570.000000	74.264
580.000000	74.268
590.000000	74.274
600.000000	74.280
608.000000	74.286
615.000000	74.292
622.000000	74.299
