* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Symph Crimson L Black Tips, Symph Crimson L Black Tips, Symph Crimson L Black Tips, Symph Crimson L Black Tips, Symph Crimson L Black Tips
* Dated: Mar 4, 2024 5:24:55 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Symph Crimson L Black Tips, Symph Crimson L Black Tips, Symph Crimson L Black Tips, Symph Crimson L Black Tips, Symph Crimson L Black Tips
* Measurement: RMS Average L Black Tips
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.512
20.299999	68.742
20.600000	68.959
20.900000	69.168
21.200001	69.370
21.400000	69.502
21.799999	69.757
22.000000	69.880
22.400000	70.115
22.700001	70.281
23.000000	70.442
23.299999	70.601
23.600000	70.759
24.000000	70.972
24.299999	71.130
24.700001	71.332
25.000000	71.472
25.400000	71.639
25.799999	71.789
26.200001	71.934
26.500000	72.044
26.900000	72.196
27.200001	72.312
27.600000	72.461
28.000000	72.599
28.500000	72.752
29.000000	72.894
29.500000	73.032
30.000000	73.169
30.400000	73.276
30.700001	73.353
31.100000	73.450
31.500000	73.540
32.000000	73.642
32.500000	73.738
33.000000	73.831
33.500000	73.922
34.000000	74.006
34.500000	74.078
35.000000	74.139
35.500000	74.198
36.000000	74.267
36.500000	74.347
37.000000	74.432
37.500000	74.510
38.200001	74.599
38.700001	74.647
39.500000	74.705
40.000000	74.733
40.599998	74.767
41.200001	74.808
41.799999	74.862
42.500000	74.933
43.099998	74.988
43.700001	75.029
44.400002	75.056
45.000000	75.068
45.500000	75.073
46.200001	75.079
46.799999	75.091
47.500000	75.117
48.200001	75.150
48.700001	75.172
49.400002	75.197
50.000000	75.214
50.799999	75.230
51.500000	75.238
52.200001	75.243
53.000000	75.252
53.799999	75.263
54.500000	75.268
55.200001	75.268
56.000000	75.264
57.000000	75.255
58.000000	75.248
59.000000	75.245
60.000000	75.229
60.799999	75.202
61.500000	75.174
62.200001	75.145
63.000000	75.110
64.000000	75.068
65.000000	75.031
66.000000	74.996
67.000000	74.963
68.000000	74.940
69.000000	74.923
70.000000	74.895
71.000000	74.846
72.000000	74.779
73.000000	74.712
74.000000	74.660
75.000000	74.621
76.199997	74.578
77.500000	74.540
78.800003	74.522
80.000000	74.500
81.199997	74.454
82.500000	74.399
83.800003	74.371
85.000000	74.381
86.199997	74.408
87.500000	74.402
88.500000	74.342
90.000000	74.179
91.199997	74.032
92.500000	73.888
93.800003	73.778
95.000000	73.711
96.199997	73.672
97.500000	73.640
98.800003	73.601
100.000000	73.549
101.500000	73.466
103.000000	73.375
104.400002	73.301
106.000000	73.240
107.500000	73.191
109.000000	73.137
110.599998	73.071
112.000000	73.006
113.800003	72.924
115.000000	72.878
117.199997	72.823
118.000000	72.807
120.599998	72.720
122.000000	72.652
124.099998	72.534
125.000000	72.481
126.500000	72.394
128.000000	72.317
131.500000	72.168
132.000000	72.148
134.000000	72.070
136.000000	72.015
138.000000	71.981
140.000000	71.937
143.000000	71.818
145.000000	71.724
147.500000	71.634
150.000000	71.588
152.500000	71.568
155.000000	71.549
157.500000	71.512
160.000000	71.445
162.500000	71.405
165.000000	71.493
