* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Symph Crimson R Black Tips, Symph Crimson R Black Tips, Symph Crimson R Black Tips, Symph Crimson R Black Tips, Symph Crimson R Black Tips
* Dated: Mar 4, 2024 5:27:58 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Symph Crimson R Black Tips, Symph Crimson R Black Tips, Symph Crimson R Black Tips, Symph Crimson R Black Tips, Symph Crimson R Black Tips
* Measurement: RMS Average R Black Tips
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	69.329
20.299999	69.541
20.600000	69.747
20.900000	69.948
21.200001	70.143
21.400000	70.271
21.799999	70.520
22.000000	70.640
22.400000	70.873
22.700001	71.039
23.000000	71.198
23.299999	71.350
23.600000	71.498
24.000000	71.690
24.299999	71.832
24.700001	72.020
25.000000	72.159
25.400000	72.340
25.799999	72.512
26.200001	72.670
26.500000	72.780
26.900000	72.918
27.200001	73.017
27.600000	73.148
28.000000	73.280
28.500000	73.443
29.000000	73.596
29.500000	73.734
30.000000	73.861
30.400000	73.959
30.700001	74.032
31.100000	74.130
31.500000	74.226
32.000000	74.339
32.500000	74.441
33.000000	74.532
33.500000	74.616
34.000000	74.698
34.500000	74.779
35.000000	74.859
35.500000	74.938
36.000000	75.013
36.500000	75.083
37.000000	75.147
37.500000	75.207
38.200001	75.284
38.700001	75.336
39.500000	75.416
40.000000	75.463
40.599998	75.517
41.200001	75.569
41.799999	75.618
42.500000	75.669
43.099998	75.705
43.700001	75.733
44.400002	75.760
45.000000	75.782
45.500000	75.800
46.200001	75.825
46.799999	75.845
47.500000	75.866
48.200001	75.888
48.700001	75.905
49.400002	75.926
50.000000	75.941
50.799999	75.952
51.500000	75.957
52.200001	75.960
53.000000	75.959
53.799999	75.956
54.500000	75.954
55.200001	75.954
56.000000	75.953
57.000000	75.945
58.000000	75.934
59.000000	75.911
60.000000	75.867
60.799999	75.835
61.500000	75.821
62.200001	75.814
63.000000	75.805
64.000000	75.789
65.000000	75.774
66.000000	75.760
67.000000	75.738
68.000000	75.701
69.000000	75.651
70.000000	75.601
71.000000	75.559
72.000000	75.529
73.000000	75.507
74.000000	75.485
75.000000	75.458
76.199997	75.410
77.500000	75.341
78.800003	75.270
80.000000	75.210
81.199997	75.156
