* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Symph Crimson L Grey Tips, Symph Crimson L Grey Tips, Symph Crimson L Grey Tips, Symph Crimson L Grey Tips, Symph Crimson L Grey Tips
* Dated: Mar 4, 2024 5:22:02 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Symph Crimson L Grey Tips, Symph Crimson L Grey Tips, Symph Crimson L Grey Tips, Symph Crimson L Grey Tips, Symph Crimson L Grey Tips
* Measurement: RMS Average L Grey Tips
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.913
20.299999	69.115
20.600000	69.313
20.900000	69.508
21.200001	69.700
21.400000	69.825
21.799999	70.070
22.000000	70.188
22.400000	70.419
22.700001	70.587
23.000000	70.751
23.299999	70.911
23.600000	71.068
24.000000	71.268
24.299999	71.411
24.700001	71.593
25.000000	71.722
25.400000	71.888
25.799999	72.048
26.200001	72.204
26.500000	72.318
26.900000	72.466
27.200001	72.573
27.600000	72.710
28.000000	72.840
28.500000	72.994
29.000000	73.138
29.500000	73.274
30.000000	73.405
30.400000	73.506
30.700001	73.580
31.100000	73.677
31.500000	73.769
32.000000	73.879
32.500000	73.983
33.000000	74.080
33.500000	74.174
34.000000	74.265
34.500000	74.352
35.000000	74.434
35.500000	74.511
36.000000	74.585
36.500000	74.655
37.000000	74.720
37.500000	74.780
38.200001	74.854
38.700001	74.902
39.500000	74.976
40.000000	75.022
40.599998	75.074
41.200001	75.121
41.799999	75.164
42.500000	75.210
43.099998	75.248
43.700001	75.284
44.400002	75.323
45.000000	75.351
45.500000	75.372
46.200001	75.395
46.799999	75.407
47.500000	75.416
48.200001	75.421
48.700001	75.425
49.400002	75.434
50.000000	75.443
50.799999	75.457
51.500000	75.467
52.200001	75.475
53.000000	75.482
53.799999	75.487
54.500000	75.492
55.200001	75.498
56.000000	75.509
57.000000	75.529
58.000000	75.553
59.000000	75.568
60.000000	75.558
60.799999	75.531
61.500000	75.497
62.200001	75.458
63.000000	75.416
64.000000	75.367
65.000000	75.325
66.000000	75.286
67.000000	75.249
68.000000	75.212
69.000000	75.175
70.000000	75.136
71.000000	75.096
72.000000	75.056
73.000000	75.014
74.000000	74.971
75.000000	74.928
76.199997	74.875
77.500000	74.817
78.800003	74.761
80.000000	74.710
81.199997	74.662
82.500000	74.611
83.800003	74.563
85.000000	74.520
86.199997	74.476
87.500000	74.425
88.500000	74.382
90.000000	74.310
91.199997	74.248
92.500000	74.177
93.800003	74.102
95.000000	74.033
96.199997	73.967
97.500000	73.903
98.800003	73.844
100.000000	73.793
101.500000	73.730
103.000000	73.666
104.400002	73.605
106.000000	73.533
107.500000	73.464
109.000000	73.393
110.599998	73.316
112.000000	73.248
113.800003	73.158
115.000000	73.095
117.199997	72.981
118.000000	72.944
120.599998	72.844
122.000000	72.802
124.099998	72.743
125.000000	72.718
126.500000	72.674
128.000000	72.629
131.500000	72.530
132.000000	72.517
134.000000	72.461
136.000000	72.395
138.000000	72.312
140.000000	72.215
143.000000	72.074
145.000000	71.996
147.500000	71.911
150.000000	71.823
152.500000	71.728
155.000000	71.636
157.500000	71.553
160.000000	71.495
162.500000	71.481
165.000000	71.507
167.500000	71.526
170.000000	71.487
172.500000	71.384
175.000000	71.251
177.500000	71.126
180.000000	71.029
182.500000	70.958
185.000000	70.906
187.500000	70.862
190.000000	70.823
192.500000	70.784
195.000000	70.744
197.500000	70.702
200.000000	70.657
203.000000	70.600
206.000000	70.543
209.000000	70.489
212.000000	70.438
214.000000	70.407
218.000000	70.348
220.000000	70.320
224.000000	70.266
227.000000	70.227
230.000000	70.189
233.000000	70.152
236.000000	70.118
240.000000	70.075
243.000000	70.046
247.000000	70.010
250.000000	69.986
254.000000	69.956
258.000000	69.930
262.000000	69.906
265.000000	69.889
269.000000	69.868
272.000000	69.854
276.000000	69.835
280.000000	69.819
285.000000	69.799
290.000000	69.781
295.000000	69.766
300.000000	69.755
304.000000	69.751
307.000000	69.750
311.000000	69.750
315.000000	69.751
320.000000	69.753
325.000000	69.755
330.000000	69.758
335.000000	69.761
340.000000	69.766
345.000000	69.771
350.000000	69.777
355.000000	69.783
360.000000	69.790
365.000000	69.798
370.000000	69.806
375.000000	69.815
382.000000	69.829
387.000000	69.839
395.000000	69.857
400.000000	69.869
406.000000	69.884
412.000000	69.900
418.000000	69.914
425.000000	69.929
431.000000	69.940
437.000000	69.950
444.000000	69.962
450.000000	69.973
455.000000	69.982
462.000000	69.994
468.000000	70.003
475.000000	70.013
482.000000	70.022
487.000000	70.028
494.000000	70.037
500.000000	70.043
508.000000	70.051
515.000000	70.058
522.000000	70.064
530.000000	70.070
538.000000	70.073
545.000000	70.074
552.000000	70.072
560.000000	70.069
570.000000	70.064
580.000000	70.059
590.000000	70.054
600.000000	70.048
608.000000	70.042
615.000000	70.036
622.000000	70.029
630.000000	70.022
640.000000	70.012
650.000000	70.002
660.000000	69.994
670.000000	69.986
680.000000	69.979
690.000000	69.973
700.000000	69.966
710.000000	69.961
720.000000	69.956
730.000000	69.952
740.000000	69.950
750.000000	69.950
762.000000	69.951
775.000000	69.956
788.000000	69.964
800.000000	69.974
812.000000	69.987
825.000000	70.005
838.000000	70.027
850.000000	70.051
862.000000	70.078
875.000000	70.112
885.000000	70.141
900.000000	70.188
912.000000	70.229
925.000000	70.277
938.000000	70.329
950.000000	70.379
962.000000	70.433
975.000000	70.495
988.000000	70.561
1000.000000	70.624
1015.000000	70.704
1030.000000	70.787
1044.000000	70.865
1060.000000	70.956
1075.000000	71.043
1090.000000	71.131
1106.000000	71.225
1120.000000	71.308
1138.000000	71.414
1150.000000	71.485
1172.000000	71.614
1180.000000	71.661
1206.000000	71.811
1220.000000	71.890
1241.000000	72.007
1250.000000	72.057
1265.000000	72.138
1280.000000	72.219
1315.000000	72.405
1320.000000	72.431
1340.000000	72.535
1360.000000	72.638
1380.000000	72.741
1400.000000	72.842
1430.000000	72.994
1450.000000	73.095
1475.000000	73.222
1500.000000	73.349
1525.000000	73.478
1550.000000	73.608
1575.000000	73.739
1600.000000	73.871
1625.000000	74.004
1650.000000	74.138
1675.000000	74.273
1700.000000	74.408
1725.000000	74.546
1750.000000	74.684
1775.000000	74.823
1800.000000	74.963
1825.000000	75.104
1850.000000	75.244
1875.000000	75.385
1900.000000	75.525
1925.000000	75.664
1950.000000	75.803
1975.000000	75.940
2000.000000	76.076
2030.000000	76.236
2060.000000	76.393
2090.000000	76.546
2120.000000	76.694
2140.000000	76.789
2180.000000	76.972
2200.000000	77.059
2240.000000	77.222
2270.000000	77.335
2300.000000	77.439
2330.000000	77.533
2360.000000	77.618
2400.000000	77.715
2430.000000	77.776
2470.000000	77.841
2500.000000	77.879
2540.000000	77.915
2580.000000	77.935
2620.000000	77.940
2650.000000	77.935
2690.000000	77.918
2720.000000	77.899
2760.000000	77.865
2800.000000	77.824
2850.000000	77.765
2900.000000	77.702
2950.000000	77.638
3000.000000	77.575
3040.000000	77.528
3070.000000	77.495
3110.000000	77.455
3150.000000	77.418
3200.000000	77.376
3250.000000	77.335
3300.000000	77.292
3350.000000	77.241
3400.000000	77.178
3450.000000	77.099
3500.000000	77.000
3550.000000	76.880
3600.000000	76.736
3650.000000	76.568
3700.000000	76.372
3750.000000	76.150
3820.000000	75.792
3870.000000	75.506
3950.000000	75.006
4000.000000	74.678
4060.000000	74.288
4120.000000	73.933
4180.000000	73.650
4250.000000	73.469
4310.000000	73.482
4370.000000	73.664
4440.000000	74.058
4500.000000	74.501
4550.000000	74.900
4620.000000	75.444
4680.000000	75.855
4750.000000	76.235
4820.000000	76.492
4870.000000	76.601
4940.000000	76.657
5000.000000	76.629
5080.000000	76.510
5150.000000	76.355
5220.000000	76.176
5300.000000	75.966
5380.000000	75.774
5450.000000	75.633
5520.000000	75.528
5600.000000	75.457
5700.000000	75.452
5800.000000	75.540
5900.000000	75.715
6000.000000	75.956
6080.000000	76.175
6150.000000	76.368
6220.000000	76.547
6300.000000	76.713
6400.000000	76.835
6500.000000	76.832
6600.000000	76.688
6700.000000	76.403
6800.000000	75.999
6900.000000	75.517
7000.000000	75.022
7100.000000	74.595
7200.000000	74.316
7300.000000	74.232
7400.000000	74.328
7500.000000	74.535
7620.000000	74.801
7750.000000	74.965
7880.000000	74.906
8000.000000	74.625
8120.000000	74.136
8250.000000	73.400
8380.000000	72.493
8500.000000	71.551
8620.000000	70.556
8750.000000	69.476
8850.000000	68.681
9000.000000	67.601
9120.000000	66.867
9250.000000	66.222
9380.000000	65.736
9500.000000	65.424
9620.000000	65.230
9750.000000	65.144
9880.000000	65.177
10000.000000	65.305
10150.000000	65.577
10300.000000	65.949
10440.000000	66.356
10600.000000	66.857
10750.000000	67.333
10900.000000	67.796
11060.000000	68.266
11200.000000	68.659
11380.000000	69.149
11500.000000	69.473
11720.000000	70.096
11800.000000	70.341
12060.000000	71.251
12200.000000	71.817
12410.000000	72.733
12500.000000	73.130
12650.000000	73.767
12800.000000	74.343
13150.000000	75.287
13200.000000	75.364
13400.000000	75.507
13600.000000	75.371
13800.000000	74.971
14000.000000	74.363
14300.000000	73.295
14500.000000	72.670
14750.000000	72.147
15000.000000	71.867
15250.000000	71.639
15500.000000	71.324
15750.000000	70.967
16000.000000	70.718
16250.000000	70.638
16500.000000	70.627
16750.000000	70.547
17000.000000	70.331
17250.000000	69.987
17500.000000	69.561
17750.000000	69.106
18000.000000	68.661
18250.000000	68.246
18500.000000	67.863
18750.000000	67.498
19000.000000	67.131
19250.000000	66.745
19500.000000	66.349
19750.000000	65.995
