* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Symph Crimson R Grey Tips, Symph Crimson R Grey Tips, Symph Crimson R Grey Tips, Symph Crimson R Grey Tips, Symph Crimson R Grey Tips, RMS Average 1, RMS Average 1
* Dated: Mar 4, 2024 5:22:26 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Symph Crimson R Grey Tips, Symph Crimson R Grey Tips, Symph Crimson R Grey Tips, Symph Crimson R Grey Tips, Symph Crimson R Grey Tips, RMS Average 1, RMS Average 1
* Measurement: RMS Average R Grey Tips
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	68.743
20.299999	68.965
20.600000	69.172
20.900000	69.371
21.200001	69.566
21.400000	69.694
21.799999	69.947
22.000000	70.069
22.400000	70.301
22.700001	70.464
23.000000	70.617
23.299999	70.763
23.600000	70.903
24.000000	71.085
24.299999	71.219
24.700001	71.395
25.000000	71.525
25.400000	71.692
25.799999	71.854
26.200001	72.009
26.500000	72.121
26.900000	72.266
27.200001	72.373
27.600000	72.511
28.000000	72.645
28.500000	72.802
29.000000	72.948
29.500000	73.081
30.000000	73.207
30.400000	73.305
30.700001	73.378
31.100000	73.473
31.500000	73.565
32.000000	73.675
32.500000	73.777
33.000000	73.873
33.500000	73.965
34.000000	74.052
34.500000	74.137
35.000000	74.218
35.500000	74.294
36.000000	74.367
36.500000	74.435
37.000000	74.500
37.500000	74.561
38.200001	74.642
38.700001	74.696
39.500000	74.778
40.000000	74.826
40.599998	74.879
41.200001	74.929
41.799999	74.975
42.500000	75.024
43.099998	75.061
43.700001	75.095
44.400002	75.128
45.000000	75.151
45.500000	75.168
46.200001	75.189
46.799999	75.204
47.500000	75.220
48.200001	75.233
48.700001	75.243
49.400002	75.257
50.000000	75.270
50.799999	75.287
51.500000	75.302
52.200001	75.313
53.000000	75.321
53.799999	75.324
54.500000	75.322
55.200001	75.316
56.000000	75.303
57.000000	75.278
58.000000	75.244
59.000000	75.207
60.000000	75.176
60.799999	75.161
61.500000	75.154
62.200001	75.150
63.000000	75.146
64.000000	75.134
65.000000	75.114
66.000000	75.087
67.000000	75.055
68.000000	75.020
69.000000	74.983
70.000000	74.946
71.000000	74.909
72.000000	74.874
73.000000	74.839
74.000000	74.804
75.000000	74.767
76.199997	74.722
77.500000	74.669
78.800003	74.612
80.000000	74.558
81.199997	74.503
82.500000	74.443
83.800003	74.384
85.000000	74.330
86.199997	74.276
87.500000	74.217
88.500000	74.172
90.000000	74.105
91.199997	74.051
92.500000	73.993
93.800003	73.934
95.000000	73.880
96.199997	73.825
97.500000	73.765
98.800003	73.705
100.000000	73.649
101.500000	73.579
103.000000	73.508
104.400002	73.442
106.000000	73.368
107.500000	73.302
109.000000	73.239
110.599998	73.177
112.000000	73.124
113.800003	73.052
115.000000	73.000
117.199997	72.892
118.000000	72.851
120.599998	72.723
122.000000	72.662
124.099998	72.579
125.000000	72.545
126.500000	72.487
128.000000	72.427
131.500000	72.283
132.000000	72.263
134.000000	72.187
136.000000	72.114
138.000000	72.044
140.000000	71.977
143.000000	71.887
145.000000	71.831
147.500000	71.761
150.000000	71.684
152.500000	71.603
155.000000	71.523
157.500000	71.456
160.000000	71.415
162.500000	71.406
165.000000	71.409
167.500000	71.390
170.000000	71.323
172.500000	71.216
175.000000	71.094
177.500000	70.982
180.000000	70.892
182.500000	70.821
185.000000	70.763
187.500000	70.712
190.000000	70.665
192.500000	70.621
195.000000	70.581
197.500000	70.540
200.000000	70.497
203.000000	70.443
206.000000	70.389
209.000000	70.337
212.000000	70.290
214.000000	70.261
218.000000	70.205
220.000000	70.179
224.000000	70.127
227.000000	70.089
230.000000	70.054
233.000000	70.021
236.000000	69.990
240.000000	69.950
243.000000	69.920
247.000000	69.883
250.000000	69.858
254.000000	69.828
258.000000	69.801
262.000000	69.777
265.000000	69.760
269.000000	69.738
272.000000	69.723
276.000000	69.705
280.000000	69.688
285.000000	69.670
290.000000	69.654
295.000000	69.640
300.000000	69.629
304.000000	69.623
307.000000	69.620
311.000000	69.618
315.000000	69.618
320.000000	69.621
325.000000	69.626
330.000000	69.633
335.000000	69.641
340.000000	69.650
345.000000	69.658
350.000000	69.668
