* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Tanchjim Ola Cal L, Tanchjim Ola Cal L, Tanchjim Ola Cal L, Tanchjim Ola Cal L, Tanchjim Ola Cal L
* Dated: Mar 23, 2024 7:58:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Tanchjim Ola Cal L, Tanchjim Ola Cal L, Tanchjim Ola Cal L, Tanchjim Ola Cal L, Tanchjim Ola Cal L
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	58.536
20.299999	58.784
20.600000	59.030
20.900000	59.273
21.200001	59.513
21.400000	59.670
21.799999	59.975
22.000000	60.122
22.400000	60.406
22.700001	60.609
23.000000	60.805
23.299999	60.995
23.600000	61.180
24.000000	61.423
24.299999	61.604
24.700001	61.844
25.000000	62.022
25.400000	62.253
25.799999	62.472
26.200001	62.678
26.500000	62.824
26.900000	63.012
27.200001	63.151
27.600000	63.337
28.000000	63.528
28.500000	63.769
29.000000	64.002
29.500000	64.214
30.000000	64.402
30.400000	64.544
30.700001	64.653
31.100000	64.808
31.500000	64.975
32.000000	65.185
32.500000	65.373
33.000000	65.527
33.500000	65.654
34.000000	65.773
34.500000	65.898
35.000000	66.030
35.500000	66.166
36.000000	66.302
36.500000	66.434
37.000000	66.561
37.500000	66.679
38.200001	66.834
38.700001	66.942
39.500000	67.115
40.000000	67.221
40.599998	67.344
41.200001	67.464
41.799999	67.579
42.500000	67.707
43.099998	67.813
43.700001	67.917
44.400002	68.030
45.000000	68.119
45.500000	68.190
46.200001	68.289
46.799999	68.372
47.500000	68.462
48.200001	68.547
48.700001	68.608
49.400002	68.695
50.000000	68.771
50.799999	68.870
51.500000	68.947
52.200001	69.015
53.000000	69.093
53.799999	69.179
54.500000	69.253
55.200001	69.323
56.000000	69.399
57.000000	69.492
58.000000	69.577
59.000000	69.654
60.000000	69.727
60.799999	69.782
61.500000	69.829
62.200001	69.876
63.000000	69.930
64.000000	69.997
65.000000	70.063
66.000000	70.126
67.000000	70.184
68.000000	70.237
69.000000	70.287
70.000000	70.336
71.000000	70.387
72.000000	70.440
73.000000	70.489
74.000000	70.533
75.000000	70.572
76.199997	70.615
77.500000	70.653
78.800003	70.690
80.000000	70.733
81.199997	70.783
82.500000	70.835
83.800003	70.879
85.000000	70.913
86.199997	70.941
87.500000	70.966
88.500000	70.985
90.000000	71.016
91.199997	71.044
92.500000	71.077
93.800003	71.110
95.000000	71.135
96.199997	71.158
97.500000	71.179
98.800003	71.196
100.000000	71.209
101.500000	71.222
103.000000	71.241
104.400002	71.269
106.000000	71.311
107.500000	71.342
109.000000	71.364
110.599998	71.386
112.000000	71.408
113.800003	71.440
115.000000	71.458
117.199997	71.482
118.000000	71.488
120.599998	71.496
122.000000	71.500
124.099998	71.512
125.000000	71.521
126.500000	71.537
128.000000	71.551
131.500000	71.570
132.000000	71.574
134.000000	71.594
136.000000	71.618
138.000000	71.632
140.000000	71.624
143.000000	71.596
145.000000	71.589
147.500000	71.604
150.000000	71.626
152.500000	71.635
155.000000	71.635
157.500000	71.643
160.000000	71.665
162.500000	71.690
165.000000	71.699
167.500000	71.687
170.000000	71.675
172.500000	71.671
175.000000	71.666
177.500000	71.658
180.000000	71.650
182.500000	71.644
185.000000	71.637
187.500000	71.630
190.000000	71.623
192.500000	71.615
195.000000	71.607
197.500000	71.601
200.000000	71.599
203.000000	71.598
206.000000	71.594
209.000000	71.591
212.000000	71.590
214.000000	71.591
218.000000	71.596
220.000000	71.598
224.000000	71.596
227.000000	71.593
230.000000	71.590
233.000000	71.588
236.000000	71.586
240.000000	71.581
243.000000	71.572
247.000000	71.555
250.000000	71.542
254.000000	71.526
258.000000	71.513
262.000000	71.500
265.000000	71.491
269.000000	71.478
272.000000	71.469
276.000000	71.457
280.000000	71.444
285.000000	71.427
290.000000	71.408
295.000000	71.389
300.000000	71.369
304.000000	71.353
307.000000	71.342
311.000000	71.327
315.000000	71.312
320.000000	71.294
325.000000	71.275
330.000000	71.256
335.000000	71.237
340.000000	71.217
345.000000	71.197
350.000000	71.177
355.000000	71.157
360.000000	71.137
365.000000	71.118
370.000000	71.099
375.000000	71.079
382.000000	71.049
387.000000	71.028
395.000000	70.996
400.000000	70.976
406.000000	70.951
412.000000	70.927
418.000000	70.903
