* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Tanchjim Ola Cal R, Tanchjim Ola Cal R, Tanchjim Ola Cal R, Tanchjim Ola Cal R, Tanchjim Ola Cal R
* Dated: Mar 23, 2024 7:58:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Tanchjim Ola Cal R, Tanchjim Ola Cal R, Tanchjim Ola Cal R, Tanchjim Ola Cal R, Tanchjim Ola Cal R
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	58.975
20.299999	59.213
20.600000	59.451
20.900000	59.689
21.200001	59.928
21.400000	60.085
21.799999	60.392
22.000000	60.540
22.400000	60.823
22.700001	61.025
23.000000	61.219
23.299999	61.407
23.600000	61.592
24.000000	61.833
24.299999	62.011
24.700001	62.245
25.000000	62.418
25.400000	62.643
25.799999	62.861
26.200001	63.069
26.500000	63.219
26.900000	63.412
27.200001	63.554
27.600000	63.739
28.000000	63.919
28.500000	64.128
29.000000	64.317
29.500000	64.489
30.000000	64.656
30.400000	64.792
30.700001	64.896
31.100000	65.034
31.500000	65.167
32.000000	65.327
32.500000	65.482
33.000000	65.640
33.500000	65.801
34.000000	65.960
34.500000	66.113
35.000000	66.256
35.500000	66.393
36.000000	66.526
36.500000	66.655
37.000000	66.778
37.500000	66.890
38.200001	67.032
38.700001	67.131
39.500000	67.288
40.000000	67.385
40.599998	67.493
41.200001	67.595
41.799999	67.696
42.500000	67.814
43.099998	67.915
43.700001	68.011
44.400002	68.116
45.000000	68.203
45.500000	68.273
46.200001	68.368
46.799999	68.442
47.500000	68.516
48.200001	68.584
48.700001	68.636
49.400002	68.727
50.000000	68.817
50.799999	68.935
51.500000	69.018
52.200001	69.083
53.000000	69.146
53.799999	69.205
54.500000	69.256
55.200001	69.310
56.000000	69.374
57.000000	69.456
58.000000	69.536
59.000000	69.615
60.000000	69.691
60.799999	69.748
61.500000	69.794
62.200001	69.838
63.000000	69.887
64.000000	69.945
65.000000	69.996
66.000000	70.043
67.000000	70.089
68.000000	70.136
69.000000	70.182
70.000000	70.227
71.000000	70.269
72.000000	70.308
73.000000	70.343
74.000000	70.376
75.000000	70.407
76.199997	70.444
77.500000	70.485
78.800003	70.523
80.000000	70.557
81.199997	70.592
82.500000	70.629
83.800003	70.665
85.000000	70.697
86.199997	70.728
87.500000	70.757
88.500000	70.776
90.000000	70.798
91.199997	70.814
92.500000	70.833
93.800003	70.855
95.000000	70.875
96.199997	70.895
97.500000	70.914
98.800003	70.932
100.000000	70.949
101.500000	70.970
