* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Tanchjim Tanya L, Tanchjim Tanya L, Tanchjim Tanya L, Tanchjim Tanya L, Tanchjim Tanya L
* Dated: Mar 23, 2024 7:39:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Tanchjim Tanya L, Tanchjim Tanya L, Tanchjim Tanya L, Tanchjim Tanya L, Tanchjim Tanya L
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	71.471
20.299999	71.689
20.600000	71.903
20.900000	72.112
21.200001	72.317
21.400000	72.450
21.799999	72.707
22.000000	72.832
22.400000	73.072
22.700001	73.243
23.000000	73.409
23.299999	73.570
23.600000	73.727
24.000000	73.934
24.299999	74.086
24.700001	74.283
25.000000	74.425
25.400000	74.605
25.799999	74.774
26.200001	74.935
26.500000	75.052
26.900000	75.203
27.200001	75.313
27.600000	75.457
28.000000	75.603
28.500000	75.795
29.000000	75.997
29.500000	76.196
30.000000	76.369
30.400000	76.483
30.700001	76.557
31.100000	76.648
31.500000	76.741
32.000000	76.871
32.500000	77.011
33.000000	77.145
33.500000	77.260
34.000000	77.357
34.500000	77.447
35.000000	77.540
35.500000	77.641
36.000000	77.745
36.500000	77.847
37.000000	77.943
37.500000	78.032
38.200001	78.149
38.700001	78.229
39.500000	78.352
40.000000	78.425
40.599998	78.509
41.200001	78.592
41.799999	78.672
42.500000	78.760
43.099998	78.832
43.700001	78.903
44.400002	78.984
45.000000	79.048
45.500000	79.097
46.200001	79.161
46.799999	79.214
47.500000	79.275
48.200001	79.332
48.700001	79.372
49.400002	79.427
50.000000	79.473
50.799999	79.534
51.500000	79.586
52.200001	79.633
53.000000	79.680
53.799999	79.718
54.500000	79.748
55.200001	79.777
56.000000	79.811
57.000000	79.856
58.000000	79.901
59.000000	79.942
60.000000	79.974
60.799999	79.996
61.500000	80.013
62.200001	80.030
63.000000	80.049
64.000000	80.072
65.000000	80.093
66.000000	80.111
67.000000	80.124
68.000000	80.136
69.000000	80.146
70.000000	80.155
71.000000	80.164
72.000000	80.173
73.000000	80.181
74.000000	80.187
75.000000	80.190
76.199997	80.188
77.500000	80.182
78.800003	80.176
80.000000	80.170
81.199997	80.165
82.500000	80.158
83.800003	80.148
85.000000	80.138
86.199997	80.126
87.500000	80.109
88.500000	80.094
90.000000	80.071
91.199997	80.053
92.500000	80.036
93.800003	80.021
95.000000	80.007
96.199997	79.989
97.500000	79.967
98.800003	79.942
100.000000	79.917
101.500000	79.884
103.000000	79.852
104.400002	79.822
106.000000	79.788
107.500000	79.754
109.000000	79.718
110.599998	79.678
112.000000	79.642
113.800003	79.593
115.000000	79.561
117.199997	79.507
118.000000	79.487
120.599998	79.422
122.000000	79.385
124.099998	79.327
125.000000	79.302
126.500000	79.259
128.000000	79.216
131.500000	79.114
132.000000	79.100
134.000000	79.045
136.000000	78.994
138.000000	78.941
140.000000	78.874
143.000000	78.750
145.000000	78.673
147.500000	78.593
150.000000	78.517
152.500000	78.437
155.000000	78.353
157.500000	78.268
160.000000	78.188
162.500000	78.108
165.000000	78.014
167.500000	77.904
170.000000	77.786
172.500000	77.662
175.000000	77.535
177.500000	77.404
180.000000	77.265
182.500000	77.129
185.000000	77.014
187.500000	76.943
190.000000	76.938
192.500000	77.009
195.000000	77.140
197.500000	77.292
200.000000	77.429
203.000000	77.536
206.000000	77.575
209.000000	77.580
212.000000	77.592
214.000000	77.612
218.000000	77.660
220.000000	77.673
224.000000	77.650
227.000000	77.590
230.000000	77.508
233.000000	77.415
236.000000	77.320
240.000000	77.192
243.000000	77.098
247.000000	76.977
250.000000	76.891
254.000000	76.780
258.000000	76.675
262.000000	76.573
265.000000	76.499
269.000000	76.403
272.000000	76.334
276.000000	76.243
280.000000	76.155
285.000000	76.047
290.000000	75.942
295.000000	75.840
300.000000	75.739
304.000000	75.661
307.000000	75.604
311.000000	75.529
315.000000	75.455
320.000000	75.364
325.000000	75.275
330.000000	75.187
335.000000	75.102
340.000000	75.018
345.000000	74.936
350.000000	74.856
355.000000	74.777
360.000000	74.699
365.000000	74.623
370.000000	74.548
375.000000	74.476
382.000000	74.376
387.000000	74.306
395.000000	74.197
400.000000	74.130
406.000000	74.052
412.000000	73.977
418.000000	73.904
425.000000	73.822
431.000000	73.753
437.000000	73.685
444.000000	73.606
450.000000	73.540
455.000000	73.486
462.000000	73.411
468.000000	73.350
475.000000	73.279
482.000000	73.210
487.000000	73.162
494.000000	73.096
500.000000	73.042
508.000000	72.971
515.000000	72.911
522.000000	72.854
530.000000	72.789
538.000000	72.726
545.000000	72.673
552.000000	72.622
560.000000	72.565
570.000000	72.497
580.000000	72.432
590.000000	72.369
600.000000	72.310
608.000000	72.265
615.000000	72.227
622.000000	72.191
630.000000	72.151
640.000000	72.104
650.000000	72.060
660.000000	72.019
670.000000	71.981
680.000000	71.945
690.000000	71.913
700.000000	71.884
710.000000	71.859
720.000000	71.836
730.000000	71.816
740.000000	71.799
750.000000	71.786
762.000000	71.774
775.000000	71.766
788.000000	71.765
800.000000	71.768
812.000000	71.776
825.000000	71.790
838.000000	71.809
850.000000	71.832
862.000000	71.859
875.000000	71.894
885.000000	71.924
900.000000	71.976
912.000000	72.022
925.000000	72.076
938.000000	72.134
950.000000	72.191
962.000000	72.252
975.000000	72.321
988.000000	72.393
1000.000000	72.462
1015.000000	72.551
1030.000000	72.644
1044.000000	72.732
1060.000000	72.835
1075.000000	72.932
1090.000000	73.030
1106.000000	73.134
1120.000000	73.224
1138.000000	73.338
1150.000000	73.414
1172.000000	73.550
1180.000000	73.598
1206.000000	73.753
1220.000000	73.833
1241.000000	73.951
1250.000000	74.000
1265.000000	74.081
1280.000000	74.160
1315.000000	74.337
1320.000000	74.362
1340.000000	74.459
1360.000000	74.554
1380.000000	74.647
1400.000000	74.739
1430.000000	74.874
1450.000000	74.963
1475.000000	75.074
1500.000000	75.184
1525.000000	75.294
1550.000000	75.403
1575.000000	75.511
1600.000000	75.617
1625.000000	75.720
1650.000000	75.819
1675.000000	75.916
1700.000000	76.012
1725.000000	76.110
1750.000000	76.210
1775.000000	76.312
1800.000000	76.420
1825.000000	76.537
1850.000000	76.664
1875.000000	76.801
1900.000000	76.946
1925.000000	77.096
1950.000000	77.250
1975.000000	77.406
2000.000000	77.564
2030.000000	77.757
2060.000000	77.952
2090.000000	78.150
2120.000000	78.350
2140.000000	78.486
2180.000000	78.761
2200.000000	78.900
2240.000000	79.184
2270.000000	79.400
2300.000000	79.619
2330.000000	79.840
2360.000000	80.062
2400.000000	80.360
2430.000000	80.584
2470.000000	80.884
2500.000000	81.111
2540.000000	81.424
2580.000000	81.761
2620.000000	82.142
2650.000000	82.462
2690.000000	82.927
2720.000000	83.287
2760.000000	83.753
2800.000000	84.177
2850.000000	84.636
2900.000000	85.020
2950.000000	85.339
3000.000000	85.597
3040.000000	85.758
3070.000000	85.851
3110.000000	85.936
3150.000000	85.974
3200.000000	85.957
3250.000000	85.871
3300.000000	85.722
3350.000000	85.518
3400.000000	85.270
3450.000000	84.989
3500.000000	84.687
3550.000000	84.374
3600.000000	84.056
3650.000000	83.738
3700.000000	83.423
3750.000000	83.115
3820.000000	82.698
3870.000000	82.415
3950.000000	81.986
4000.000000	81.733
4060.000000	81.443
4120.000000	81.167
4180.000000	80.901
4250.000000	80.603
4310.000000	80.362
4370.000000	80.137
4440.000000	79.901
4500.000000	79.722
4550.000000	79.588
4620.000000	79.421
4680.000000	79.293
4750.000000	79.160
4820.000000	79.043
4870.000000	78.970
4940.000000	78.882
5000.000000	78.818
5080.000000	78.748
5150.000000	78.698
5220.000000	78.657
5300.000000	78.618
5380.000000	78.586
5450.000000	78.562
5520.000000	78.541
5600.000000	78.518
5700.000000	78.488
5800.000000	78.454
5900.000000	78.415
6000.000000	78.372
6080.000000	78.336
6150.000000	78.304
6220.000000	78.271
6300.000000	78.233
6400.000000	78.182
6500.000000	78.121
6600.000000	78.044
6700.000000	77.950
6800.000000	77.836
6900.000000	77.706
7000.000000	77.565
7100.000000	77.419
7200.000000	77.273
7300.000000	77.130
7400.000000	76.990
7500.000000	76.856
7620.000000	76.709
7750.000000	76.572
7880.000000	76.465
8000.000000	76.399
8120.000000	76.369
8250.000000	76.383
8380.000000	76.451
8500.000000	76.564
8620.000000	76.718
8750.000000	76.913
8850.000000	77.063
9000.000000	77.247
9120.000000	77.327
9250.000000	77.326
9380.000000	77.228
9500.000000	77.059
9620.000000	76.830
9750.000000	76.529
9880.000000	76.184
10000.000000	75.832
10150.000000	75.348
10300.000000	74.809
10440.000000	74.256
10600.000000	73.568
10750.000000	72.878
10900.000000	72.162
11060.000000	71.389
11200.000000	70.720
11380.000000	69.889
11500.000000	69.363
11720.000000	68.474
11800.000000	68.178
12060.000000	67.322
12200.000000	66.931
12410.000000	66.437
12500.000000	66.260
12650.000000	66.008
12800.000000	65.811
13150.000000	65.562
13200.000000	65.551
