* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Tanchjim Tanya R, Tanchjim Tanya R, Tanchjim Tanya R, Tanchjim Tanya R, Tanchjim Tanya R
* Dated: Mar 23, 2024 7:39:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Tanchjim Tanya R, Tanchjim Tanya R, Tanchjim Tanya R, Tanchjim Tanya R, Tanchjim Tanya R
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	69.970
20.299999	70.237
20.600000	70.495
20.900000	70.739
21.200001	70.969
21.400000	71.113
21.799999	71.384
22.000000	71.514
22.400000	71.768
22.700001	71.957
23.000000	72.150
23.299999	72.344
23.600000	72.540
24.000000	72.797
24.299999	72.983
24.700001	73.220
25.000000	73.388
25.400000	73.601
25.799999	73.805
26.200001	74.000
26.500000	74.143
26.900000	74.325
27.200001	74.456
27.600000	74.622
28.000000	74.781
28.500000	74.974
29.000000	75.165
29.500000	75.357
30.000000	75.545
30.400000	75.688
30.700001	75.788
31.100000	75.915
31.500000	76.036
32.000000	76.184
32.500000	76.333
33.000000	76.479
33.500000	76.618
34.000000	76.748
34.500000	76.872
35.000000	76.993
35.500000	77.114
36.000000	77.233
36.500000	77.346
37.000000	77.452
37.500000	77.552
38.200001	77.686
38.700001	77.781
39.500000	77.924
40.000000	78.004
40.599998	78.090
41.200001	78.172
41.799999	78.256
42.500000	78.356
43.099998	78.443
43.700001	78.528
44.400002	78.624
45.000000	78.703
45.500000	78.768
46.200001	78.859
46.799999	78.934
47.500000	79.013
48.200001	79.078
48.700001	79.117
49.400002	79.169
50.000000	79.213
50.799999	79.270
51.500000	79.316
52.200001	79.359
53.000000	79.409
53.799999	79.462
54.500000	79.510
55.200001	79.558
56.000000	79.608
57.000000	79.665
58.000000	79.717
59.000000	79.766
60.000000	79.808
60.799999	79.838
61.500000	79.862
62.200001	79.887
63.000000	79.915
64.000000	79.951
65.000000	79.984
66.000000	80.013
67.000000	80.033
68.000000	80.045
69.000000	80.055
70.000000	80.064
71.000000	80.073
72.000000	80.082
73.000000	80.091
74.000000	80.099
75.000000	80.107
76.199997	80.113
77.500000	80.117
78.800003	80.118
80.000000	80.119
81.199997	80.118
82.500000	80.110
83.800003	80.096
85.000000	80.083
86.199997	80.071
87.500000	80.058
88.500000	80.046
90.000000	80.027
91.199997	80.013
92.500000	79.998
93.800003	79.984
95.000000	79.970
96.199997	79.955
97.500000	79.936
98.800003	79.916
100.000000	79.899
101.500000	79.879
103.000000	79.858
104.400002	79.836
106.000000	79.806
107.500000	79.771
109.000000	79.731
110.599998	79.690
112.000000	79.657
113.800003	79.616
115.000000	79.588
117.199997	79.538
118.000000	79.519
120.599998	79.456
122.000000	79.420
124.099998	79.365
125.000000	79.340
126.500000	79.300
128.000000	79.260
131.500000	79.163
132.000000	79.149
134.000000	79.095
136.000000	79.044
138.000000	78.989
140.000000	78.928
143.000000	78.833
145.000000	78.765
147.500000	78.678
150.000000	78.594
152.500000	78.512
155.000000	78.433
157.500000	78.357
160.000000	78.277
162.500000	78.190
165.000000	78.097
167.500000	77.995
170.000000	77.889
172.500000	77.785
175.000000	77.686
177.500000	77.604
180.000000	77.556
182.500000	77.549
185.000000	77.576
187.500000	77.611
190.000000	77.634
192.500000	77.640
195.000000	77.636
197.500000	77.636
200.000000	77.638
203.000000	77.623
206.000000	77.573
209.000000	77.493
212.000000	77.394
214.000000	77.321
218.000000	77.169
220.000000	77.097
224.000000	76.975
227.000000	76.915
230.000000	76.879
233.000000	76.857
236.000000	76.845
240.000000	76.840
243.000000	76.835
247.000000	76.806
250.000000	76.763
254.000000	76.683
258.000000	76.588
262.000000	76.488
265.000000	76.412
269.000000	76.312
272.000000	76.239
276.000000	76.144
280.000000	76.052
285.000000	75.941
290.000000	75.833
295.000000	75.728
300.000000	75.627
304.000000	75.547
307.000000	75.489
311.000000	75.413
315.000000	75.337
320.000000	75.245
325.000000	75.153
330.000000	75.063
335.000000	74.974
340.000000	74.887
345.000000	74.804
350.000000	74.725
355.000000	74.653
360.000000	74.587
365.000000	74.525
370.000000	74.462
375.000000	74.398
382.000000	74.304
387.000000	74.236
395.000000	74.127
400.000000	74.060
406.000000	73.983
412.000000	73.908
418.000000	73.837
425.000000	73.755
431.000000	73.686
437.000000	73.618
444.000000	73.539
450.000000	73.472
455.000000	73.418
462.000000	73.343
468.000000	73.281
475.000000	73.211
482.000000	73.142
487.000000	73.094
494.000000	73.028
500.000000	72.974
508.000000	72.902
515.000000	72.842
522.000000	72.784
530.000000	72.720
538.000000	72.658
545.000000	72.606
552.000000	72.554
560.000000	72.498
570.000000	72.430
580.000000	72.366
590.000000	72.305
600.000000	72.247
608.000000	72.203
615.000000	72.166
622.000000	72.130
630.000000	72.091
640.000000	72.045
650.000000	72.003
660.000000	71.963
670.000000	71.926
680.000000	71.892
690.000000	71.861
700.000000	71.833
710.000000	71.809
720.000000	71.787
730.000000	71.769
740.000000	71.754
750.000000	71.742
762.000000	71.732
775.000000	71.727
788.000000	71.727
800.000000	71.732
812.000000	71.742
825.000000	71.758
838.000000	71.779
850.000000	71.804
862.000000	71.834
875.000000	71.871
885.000000	71.904
900.000000	71.958
912.000000	72.006
925.000000	72.062
938.000000	72.123
950.000000	72.182
962.000000	72.245
975.000000	72.317
988.000000	72.393
1000.000000	72.465
1015.000000	72.559
1030.000000	72.656
1044.000000	72.749
1060.000000	72.855
1075.000000	72.956
1090.000000	73.058
1106.000000	73.167
1120.000000	73.263
1138.000000	73.384
1150.000000	73.464
1172.000000	73.609
1180.000000	73.661
1206.000000	73.827
1220.000000	73.914
1241.000000	74.042
1250.000000	74.096
1265.000000	74.184
1280.000000	74.271
1315.000000	74.466
1320.000000	74.493
1340.000000	74.601
1360.000000	74.706
1380.000000	74.809
1400.000000	74.910
1430.000000	75.058
1450.000000	75.154
1475.000000	75.271
1500.000000	75.388
1525.000000	75.504
1550.000000	75.625
1575.000000	75.756
1600.000000	75.900
1625.000000	76.055
1650.000000	76.218
1675.000000	76.385
1700.000000	76.548
1725.000000	76.705
1750.000000	76.850
1775.000000	76.977
1800.000000	77.076
1825.000000	77.141
1850.000000	77.161
1875.000000	77.131
1900.000000	77.050
1925.000000	76.928
1950.000000	76.782
1975.000000	76.638
2000.000000	76.521
2030.000000	76.447
2060.000000	76.461
2090.000000	76.559
2120.000000	76.726
2140.000000	76.865
2180.000000	77.186
2200.000000	77.360
2240.000000	77.721
2270.000000	77.996
2300.000000	78.272
2330.000000	78.545
2360.000000	78.816
2400.000000	79.171
2430.000000	79.434
2470.000000	79.781
2500.000000	80.043
2540.000000	80.406
2580.000000	80.800
2620.000000	81.236
2650.000000	81.587
2690.000000	82.065
2720.000000	82.414
2760.000000	82.848
2800.000000	83.236
2850.000000	83.657
2900.000000	84.008
2950.000000	84.296
3000.000000	84.520
3040.000000	84.653
3070.000000	84.725
3110.000000	84.784
3150.000000	84.802
3200.000000	84.766
3250.000000	84.670
3300.000000	84.516
3350.000000	84.313
3400.000000	84.070
3450.000000	83.798
3500.000000	83.510
3550.000000	83.212
3600.000000	82.912
3650.000000	82.614
3700.000000	82.324
3750.000000	82.044
3820.000000	81.669
3870.000000	81.413
3950.000000	81.018
4000.000000	80.780
4060.000000	80.505
4120.000000	80.244
4180.000000	80.005
4250.000000	79.756
4310.000000	79.570
4370.000000	79.406
4440.000000	79.240
4500.000000	79.114
4550.000000	79.018
4620.000000	78.898
4680.000000	78.807
4750.000000	78.717
4820.000000	78.644
4870.000000	78.600
4940.000000	78.552
5000.000000	78.521
5080.000000	78.492
5150.000000	78.475
5220.000000	78.466
5300.000000	78.460
5380.000000	78.458
5450.000000	78.454
5520.000000	78.448
5600.000000	78.435
5700.000000	78.409
5800.000000	78.372
5900.000000	78.325
6000.000000	78.266
6080.000000	78.209
6150.000000	78.151
6220.000000	78.083
6300.000000	77.996
6400.000000	77.870
6500.000000	77.727
6600.000000	77.567
6700.000000	77.394
6800.000000	77.209
6900.000000	77.018
7000.000000	76.826
7100.000000	76.641
7200.000000	76.466
7300.000000	76.305
7400.000000	76.156
7500.000000	76.023
7620.000000	75.886
7750.000000	75.769
7880.000000	75.688
8000.000000	75.643
8120.000000	75.627
8250.000000	75.637
8380.000000	75.667
8500.000000	75.702
8620.000000	75.733
8750.000000	75.750
8850.000000	75.744
9000.000000	75.699
9120.000000	75.630
9250.000000	75.526
9380.000000	75.401
9500.000000	75.277
9620.000000	75.156
9750.000000	75.037
9880.000000	74.932
10000.000000	74.845
10150.000000	74.727
10300.000000	74.566
10440.000000	74.344
10600.000000	73.974
10750.000000	73.499
10900.000000	72.903
11060.000000	72.157
11200.000000	71.442
11380.000000	70.492
11500.000000	69.867
11720.000000	68.791
11800.000000	68.430
12060.000000	67.393
12200.000000	66.924
12410.000000	66.340
12500.000000	66.132
12650.000000	65.842
12800.000000	65.621
13150.000000	65.370
13200.000000	65.364
13400.000000	65.416
13600.000000	65.591
13800.000000	65.895
14000.000000	66.335
14300.000000	67.269
14500.000000	68.074
14750.000000	69.247
15000.000000	70.502
15250.000000	71.680
15500.000000	72.624
15750.000000	73.235
16000.000000	73.498
16250.000000	73.431
16500.000000	73.058
16750.000000	72.415
17000.000000	71.569
17250.000000	70.634
17500.000000	69.756
17750.000000	69.059
18000.000000	68.605
18250.000000	68.372
18500.000000	68.266
18750.000000	68.136
19000.000000	67.814
19250.000000	67.171
19500.000000	66.173
19750.000000	64.973
