* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Truthear Hola Cal L, Truthear Hola Cal L, Truthear Hola Cal L, Truthear Hola Cal L, Truthear Hola Cal L
* Dated: Mar 23, 2024 8:09:43 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Truthear Hola Cal L, Truthear Hola Cal L, Truthear Hola Cal L, Truthear Hola Cal L, Truthear Hola Cal L
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	70.089
20.299999	70.229
20.600000	70.364
20.900000	70.497
21.200001	70.624
21.400000	70.707
21.799999	70.864
22.000000	70.939
22.400000	71.084
22.700001	71.188
23.000000	71.290
23.299999	71.390
23.600000	71.488
24.000000	71.615
24.299999	71.705
24.700001	71.820
25.000000	71.901
25.400000	72.006
25.799999	72.108
26.200001	72.206
26.500000	72.277
26.900000	72.367
27.200001	72.431
27.600000	72.512
28.000000	72.589
28.500000	72.680
29.000000	72.766
29.500000	72.844
30.000000	72.915
30.400000	72.970
30.700001	73.010
31.100000	73.063
31.500000	73.117
32.000000	73.181
32.500000	73.239
33.000000	73.294
33.500000	73.348
34.000000	73.400
34.500000	73.450
35.000000	73.495
35.500000	73.536
36.000000	73.574
36.500000	73.613
37.000000	73.649
37.500000	73.683
38.200001	73.721
38.700001	73.744
39.500000	73.779
40.000000	73.801
40.599998	73.820
41.200001	73.829
41.799999	73.830
42.500000	73.830
43.099998	73.841
43.700001	73.866
44.400002	73.903
45.000000	73.926
45.500000	73.937
46.200001	73.945
46.799999	73.957
47.500000	73.974
48.200001	73.983
48.700001	73.980
49.400002	73.970
50.000000	73.959
50.799999	73.944
51.500000	73.930
52.200001	73.917
53.000000	73.903
53.799999	73.887
54.500000	73.874
55.200001	73.859
56.000000	73.837
57.000000	73.802
58.000000	73.777
59.000000	73.763
60.000000	73.748
60.799999	73.732
61.500000	73.717
62.200001	73.701
63.000000	73.682
64.000000	73.658
65.000000	73.633
66.000000	73.607
67.000000	73.578
68.000000	73.547
69.000000	73.515
70.000000	73.481
71.000000	73.447
72.000000	73.413
73.000000	73.379
74.000000	73.346
75.000000	73.313
76.199997	73.272
77.500000	73.228
78.800003	73.186
80.000000	73.149
81.199997	73.112
82.500000	73.066
83.800003	73.014
85.000000	72.964
86.199997	72.917
87.500000	72.868
88.500000	72.832
90.000000	72.780
91.199997	72.740
92.500000	72.696
93.800003	72.651
95.000000	72.605
96.199997	72.557
97.500000	72.506
98.800003	72.461
100.000000	72.425
101.500000	72.386
103.000000	72.347
104.400002	72.308
106.000000	72.256
107.500000	72.206
109.000000	72.161
110.599998	72.106
112.000000	72.050
113.800003	71.978
115.000000	71.935
117.199997	71.864
118.000000	71.839
120.599998	71.760
122.000000	71.721
124.099998	71.665
125.000000	71.642
126.500000	71.605
128.000000	71.570
131.500000	71.493
132.000000	71.482
134.000000	71.437
136.000000	71.396
138.000000	71.359
140.000000	71.309
143.000000	71.200
145.000000	71.113
147.500000	71.023
150.000000	70.978
152.500000	70.945
155.000000	70.903
157.500000	70.867
160.000000	70.853
162.500000	70.852
165.000000	70.810
167.500000	70.714
170.000000	70.621
172.500000	70.553
175.000000	70.496
177.500000	70.445
180.000000	70.396
182.500000	70.348
185.000000	70.302
187.500000	70.262
190.000000	70.224
192.500000	70.184
195.000000	70.147
197.500000	70.121
200.000000	70.104
203.000000	70.069
206.000000	70.010
209.000000	69.955
