* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Truthear Hola Cal R, Truthear Hola Cal R, Truthear Hola Cal R, Truthear Hola Cal R, Truthear Hola Cal R
* Dated: Mar 23, 2024 8:09:54 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Truthear Hola Cal R, Truthear Hola Cal R, Truthear Hola Cal R, Truthear Hola Cal R, Truthear Hola Cal R
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	70.955
20.299999	71.097
20.600000	71.233
20.900000	71.364
21.200001	71.491
21.400000	71.574
21.799999	71.736
22.000000	71.816
22.400000	71.974
22.700001	72.088
23.000000	72.197
23.299999	72.301
23.600000	72.399
24.000000	72.523
24.299999	72.611
24.700001	72.723
25.000000	72.803
25.400000	72.905
25.799999	73.001
26.200001	73.095
26.500000	73.167
26.900000	73.263
27.200001	73.337
27.600000	73.431
28.000000	73.517
28.500000	73.614
29.000000	73.702
29.500000	73.790
30.000000	73.875
30.400000	73.935
30.700001	73.974
31.100000	74.022
31.500000	74.067
32.000000	74.127
32.500000	74.190
33.000000	74.251
33.500000	74.309
34.000000	74.367
34.500000	74.428
35.000000	74.487
35.500000	74.545
36.000000	74.609
36.500000	74.677
37.000000	74.732
37.500000	74.752
38.200001	74.734
38.700001	74.730
39.500000	74.774
40.000000	74.795
40.599998	74.781
41.200001	74.760
41.799999	74.783
42.500000	74.851
43.099998	74.884
43.700001	74.880
44.400002	74.872
45.000000	74.883
45.500000	74.896
46.200001	74.906
46.799999	74.905
47.500000	74.907
48.200001	74.920
48.700001	74.933
49.400002	74.949
50.000000	74.956
50.799999	74.957
51.500000	74.954
52.200001	74.953
53.000000	74.955
53.799999	74.956
54.500000	74.953
55.200001	74.945
56.000000	74.931
57.000000	74.910
58.000000	74.886
59.000000	74.857
60.000000	74.821
60.799999	74.786
61.500000	74.754
62.200001	74.724
63.000000	74.691
64.000000	74.645
65.000000	74.599
66.000000	74.555
67.000000	74.515
68.000000	74.478
69.000000	74.450
70.000000	74.438
71.000000	74.450
72.000000	74.475
73.000000	74.492
74.000000	74.489
75.000000	74.461
76.199997	74.402
77.500000	74.322
78.800003	74.240
80.000000	74.176
81.199997	74.126
82.500000	74.092
83.800003	74.068
85.000000	74.039
86.199997	73.997
87.500000	73.943
88.500000	73.901
90.000000	73.841
91.199997	73.801
92.500000	73.764
93.800003	73.729
95.000000	73.695
96.199997	73.655
97.500000	73.608
98.800003	73.560
100.000000	73.516
101.500000	73.465
103.000000	73.416
104.400002	73.368
106.000000	73.308
107.500000	73.246
109.000000	73.183
110.599998	73.122
112.000000	73.076
