* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Truthear Zero Red L, Truthear Zero Red L, Truthear Zero Red L, Truthear Zero Red L, Truthear Zero Red L
* Dated: Mar 23, 2024 8:24:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Truthear Zero Red L, Truthear Zero Red L, Truthear Zero Red L, Truthear Zero Red L, Truthear Zero Red L
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	69.502
20.299999	69.657
20.600000	69.806
20.900000	69.951
21.200001	70.094
21.400000	70.188
21.799999	70.373
22.000000	70.464
22.400000	70.639
22.700001	70.763
23.000000	70.881
23.299999	70.993
23.600000	71.101
24.000000	71.242
24.299999	71.345
24.700001	71.481
25.000000	71.580
25.400000	71.706
25.799999	71.824
26.200001	71.935
26.500000	72.015
26.900000	72.120
27.200001	72.198
27.600000	72.299
28.000000	72.396
28.500000	72.509
29.000000	72.616
29.500000	72.720
30.000000	72.822
30.400000	72.902
30.700001	72.959
31.100000	73.032
31.500000	73.101
32.000000	73.182
32.500000	73.258
33.000000	73.330
33.500000	73.400
34.000000	73.467
34.500000	73.533
35.000000	73.597
35.500000	73.655
36.000000	73.707
36.500000	73.754
37.000000	73.798
37.500000	73.840
38.200001	73.901
38.700001	73.943
39.500000	74.004
40.000000	74.038
40.599998	74.076
41.200001	74.111
41.799999	74.143
42.500000	74.176
43.099998	74.201
43.700001	74.222
44.400002	74.240
45.000000	74.254
45.500000	74.264
46.200001	74.275
46.799999	74.281
47.500000	74.293
48.200001	74.317
48.700001	74.337
49.400002	74.360
50.000000	74.373
50.799999	74.385
51.500000	74.393
52.200001	74.399
53.000000	74.402
53.799999	74.403
54.500000	74.400
55.200001	74.395
56.000000	74.386
57.000000	74.374
58.000000	74.364
59.000000	74.353
60.000000	74.337
60.799999	74.318
61.500000	74.299
62.200001	74.278
63.000000	74.254
64.000000	74.225
65.000000	74.197
66.000000	74.168
67.000000	74.137
68.000000	74.105
69.000000	74.072
70.000000	74.037
71.000000	73.998
72.000000	73.957
73.000000	73.916
74.000000	73.874
75.000000	73.833
76.199997	73.784
77.500000	73.728
78.800003	73.666
80.000000	73.606
81.199997	73.546
82.500000	73.482
83.800003	73.420
85.000000	73.366
86.199997	73.311
87.500000	73.246
88.500000	73.195
90.000000	73.118
91.199997	73.052
92.500000	72.972
93.800003	72.891
95.000000	72.819
96.199997	72.749
97.500000	72.673
98.800003	72.603
100.000000	72.543
101.500000	72.468
103.000000	72.379
104.400002	72.276
106.000000	72.155
107.500000	72.057
109.000000	71.962
110.599998	71.857
112.000000	71.779
113.800003	71.694
115.000000	71.642
117.199997	71.555
118.000000	71.526
120.599998	71.421
122.000000	71.356
124.099998	71.250
125.000000	71.200
126.500000	71.112
128.000000	71.021
131.500000	70.816
132.000000	70.787
134.000000	70.670
136.000000	70.553
138.000000	70.443
140.000000	70.352
143.000000	70.239
145.000000	70.163
147.500000	70.062
150.000000	69.954
152.500000	69.847
155.000000	69.746
157.500000	69.644
160.000000	69.551
162.500000	69.475
165.000000	69.415
167.500000	69.354
170.000000	69.280
172.500000	69.209
175.000000	69.158
177.500000	69.118
180.000000	69.078
182.500000	69.040
185.000000	69.012
187.500000	68.989
190.000000	68.961
192.500000	68.928
195.000000	68.900
197.500000	68.883
200.000000	68.872
203.000000	68.860
206.000000	68.850
209.000000	68.845
212.000000	68.847
214.000000	68.851
218.000000	68.862
220.000000	68.870
224.000000	68.893
227.000000	68.920
230.000000	68.945
233.000000	68.956
236.000000	68.959
240.000000	68.972
243.000000	68.990
247.000000	69.020
250.000000	69.045
254.000000	69.079
258.000000	69.115
262.000000	69.150
265.000000	69.175
269.000000	69.208
272.000000	69.232
276.000000	69.264
280.000000	69.296
285.000000	69.335
290.000000	69.374
295.000000	69.414
300.000000	69.452
304.000000	69.481
307.000000	69.502
311.000000	69.530
315.000000	69.556
320.000000	69.586
325.000000	69.615
330.000000	69.643
335.000000	69.670
340.000000	69.695
345.000000	69.717
350.000000	69.739
355.000000	69.759
360.000000	69.777
365.000000	69.794
370.000000	69.810
375.000000	69.824
382.000000	69.842
387.000000	69.853
395.000000	69.869
400.000000	69.878
406.000000	69.888
412.000000	69.898
418.000000	69.908
425.000000	69.920
431.000000	69.931
437.000000	69.942
444.000000	69.954
450.000000	69.965
455.000000	69.973
462.000000	69.983
468.000000	69.991
475.000000	69.998
482.000000	70.003
487.000000	70.007
494.000000	70.011
500.000000	70.014
508.000000	70.018
515.000000	70.022
522.000000	70.027
530.000000	70.031
538.000000	70.035
545.000000	70.038
552.000000	70.041
560.000000	70.043
570.000000	70.047
580.000000	70.051
590.000000	70.057
600.000000	70.063
608.000000	70.070
615.000000	70.076
622.000000	70.082
630.000000	70.089
640.000000	70.099
650.000000	70.111
660.000000	70.124
670.000000	70.138
680.000000	70.152
690.000000	70.167
700.000000	70.184
710.000000	70.202
720.000000	70.221
730.000000	70.240
740.000000	70.261
750.000000	70.283
762.000000	70.312
775.000000	70.346
788.000000	70.382
800.000000	70.417
812.000000	70.455
825.000000	70.500
838.000000	70.547
850.000000	70.594
862.000000	70.644
875.000000	70.701
885.000000	70.747
900.000000	70.818
912.000000	70.878
925.000000	70.946
938.000000	71.016
950.000000	71.082
962.000000	71.149
975.000000	71.223
988.000000	71.298
1000.000000	71.369
1015.000000	71.459
1030.000000	71.550
1044.000000	71.636
1060.000000	71.734
1075.000000	71.827
1090.000000	71.919
1106.000000	72.015
1120.000000	72.098
1138.000000	72.201
1150.000000	72.268
1172.000000	72.388
1180.000000	72.431
1206.000000	72.566
1220.000000	72.636
1241.000000	72.739
1250.000000	72.782
1265.000000	72.854
1280.000000	72.924
1315.000000	73.086
1320.000000	73.109
1340.000000	73.201
1360.000000	73.294
1380.000000	73.389
1400.000000	73.487
1430.000000	73.639
1450.000000	73.744
1475.000000	73.877
1500.000000	74.011
1525.000000	74.144
1550.000000	74.272
1575.000000	74.395
1600.000000	74.512
1625.000000	74.621
1650.000000	74.725
1675.000000	74.822
1700.000000	74.916
1725.000000	75.007
1750.000000	75.095
1775.000000	75.181
1800.000000	75.268
1825.000000	75.354
1850.000000	75.440
1875.000000	75.527
1900.000000	75.615
1925.000000	75.703
1950.000000	75.792
1975.000000	75.882
2000.000000	75.972
2030.000000	76.082
2060.000000	76.193
2090.000000	76.304
2120.000000	76.416
2140.000000	76.491
2180.000000	76.640
