* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Truthear Zero Red R, Truthear Zero Red R, Truthear Zero Red R, Truthear Zero Red R, Truthear Zero Red R
* Dated: Mar 23, 2024 8:24:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Truthear Zero Red R, Truthear Zero Red R, Truthear Zero Red R, Truthear Zero Red R, Truthear Zero Red R
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	69.926
20.299999	70.088
20.600000	70.246
20.900000	70.398
21.200001	70.546
21.400000	70.641
21.799999	70.827
22.000000	70.918
22.400000	71.095
22.700001	71.223
23.000000	71.345
23.299999	71.462
23.600000	71.574
24.000000	71.715
24.299999	71.816
24.700001	71.946
25.000000	72.042
25.400000	72.167
25.799999	72.289
26.200001	72.407
26.500000	72.492
26.900000	72.602
27.200001	72.681
27.600000	72.783
28.000000	72.881
28.500000	72.999
29.000000	73.113
29.500000	73.220
30.000000	73.319
30.400000	73.392
30.700001	73.443
31.100000	73.508
31.500000	73.572
32.000000	73.649
32.500000	73.724
33.000000	73.797
33.500000	73.868
34.000000	73.935
34.500000	73.995
35.000000	74.050
35.500000	74.101
36.000000	74.151
36.500000	74.203
37.000000	74.252
37.500000	74.299
38.200001	74.357
38.700001	74.396
39.500000	74.457
40.000000	74.493
40.599998	74.531
41.200001	74.564
41.799999	74.592
42.500000	74.621
43.099998	74.646
43.700001	74.669
44.400002	74.695
45.000000	74.715
45.500000	74.729
46.200001	74.746
46.799999	74.757
47.500000	74.768
48.200001	74.775
48.700001	74.778
49.400002	74.779
50.000000	74.780
50.799999	74.783
51.500000	74.786
52.200001	74.788
53.000000	74.786
53.799999	74.780
54.500000	74.773
55.200001	74.765
56.000000	74.753
57.000000	74.733
58.000000	74.709
59.000000	74.682
60.000000	74.654
60.799999	74.631
61.500000	74.611
62.200001	74.591
63.000000	74.566
64.000000	74.533
65.000000	74.499
66.000000	74.463
67.000000	74.425
68.000000	74.385
69.000000	74.341
70.000000	74.296
71.000000	74.249
72.000000	74.204
73.000000	74.159
74.000000	74.114
75.000000	74.066
76.199997	74.006
77.500000	73.940
78.800003	73.874
80.000000	73.812
81.199997	73.748
82.500000	73.674
83.800003	73.596
85.000000	73.523
86.199997	73.451
87.500000	73.372
88.500000	73.311
90.000000	73.217
91.199997	73.144
92.500000	73.067
93.800003	72.989
95.000000	72.915
96.199997	72.839
97.500000	72.755
98.800003	72.674
100.000000	72.600
101.500000	72.502
103.000000	72.401
104.400002	72.309
106.000000	72.209
107.500000	72.118
109.000000	72.025
110.599998	71.924
112.000000	71.831
113.800003	71.708
115.000000	71.625
117.199997	71.477
118.000000	71.425
120.599998	71.264
122.000000	71.180
124.099998	71.057
125.000000	71.003
126.500000	70.914
128.000000	70.826
131.500000	70.625
132.000000	70.597
134.000000	70.484
136.000000	70.375
138.000000	70.273
140.000000	70.174
143.000000	70.029
145.000000	69.937
147.500000	69.823
150.000000	69.708
152.500000	69.597
155.000000	69.498
157.500000	69.424
160.000000	69.376
162.500000	69.320
165.000000	69.234
167.500000	69.138
170.000000	69.059
172.500000	68.999
175.000000	68.954
177.500000	68.913
180.000000	68.872
182.500000	68.831
185.000000	68.795
187.500000	68.766
190.000000	68.743
192.500000	68.727
195.000000	68.712
197.500000	68.698
200.000000	68.688
203.000000	68.689
206.000000	68.703
209.000000	68.719
212.000000	68.733
214.000000	68.742
218.000000	68.762
220.000000	68.773
224.000000	68.799
227.000000	68.820
230.000000	68.841
233.000000	68.864
236.000000	68.889
240.000000	68.927
243.000000	68.963
247.000000	69.018
250.000000	69.065
254.000000	69.132
258.000000	69.200
262.000000	69.265
265.000000	69.309
269.000000	69.362
272.000000	69.397
276.000000	69.440
280.000000	69.482
285.000000	69.534
290.000000	69.583
295.000000	69.630
300.000000	69.675
304.000000	69.709
307.000000	69.735
311.000000	69.768
315.000000	69.799
320.000000	69.837
325.000000	69.873
330.000000	69.906
335.000000	69.938
340.000000	69.969
345.000000	69.997
350.000000	70.025
355.000000	70.051
360.000000	70.076
365.000000	70.099
370.000000	70.121
375.000000	70.141
382.000000	70.166
387.000000	70.184
395.000000	70.209
400.000000	70.223
406.000000	70.239
412.000000	70.254
418.000000	70.268
425.000000	70.283
431.000000	70.296
437.000000	70.308
444.000000	70.322
450.000000	70.332
455.000000	70.340
462.000000	70.350
468.000000	70.357
475.000000	70.365
482.000000	70.373
487.000000	70.378
494.000000	70.385
500.000000	70.391
508.000000	70.398
515.000000	70.404
522.000000	70.409
530.000000	70.414
538.000000	70.418
545.000000	70.421
552.000000	70.425
560.000000	70.430
570.000000	70.436
580.000000	70.443
590.000000	70.449
600.000000	70.456
608.000000	70.461
615.000000	70.466
622.000000	70.471
630.000000	70.476
640.000000	70.484
650.000000	70.491
660.000000	70.499
670.000000	70.508
680.000000	70.517
690.000000	70.527
700.000000	70.539
710.000000	70.552
720.000000	70.567
730.000000	70.584
740.000000	70.602
750.000000	70.621
762.000000	70.646
775.000000	70.676
788.000000	70.708
800.000000	70.740
812.000000	70.775
825.000000	70.815
838.000000	70.858
850.000000	70.900
862.000000	70.945
875.000000	70.997
885.000000	71.039
900.000000	71.104
912.000000	71.159
925.000000	71.221
938.000000	71.285
950.000000	71.346
962.000000	71.409
975.000000	71.479
988.000000	71.551
1000.000000	71.618
1015.000000	71.703
1030.000000	71.789
1044.000000	71.869
1060.000000	71.960
1075.000000	72.046
1090.000000	72.131
1106.000000	72.221
1120.000000	72.298
1138.000000	72.396
1150.000000	72.460
1172.000000	72.576
1180.000000	72.618
1206.000000	72.749
1220.000000	72.818
1241.000000	72.919
1250.000000	72.962
1265.000000	73.032
1280.000000	73.101
1315.000000	73.264
1320.000000	73.288
1340.000000	73.383
1360.000000	73.480
1380.000000	73.580
1400.000000	73.683
1430.000000	73.846
1450.000000	73.958
1475.000000	74.101
1500.000000	74.243
1525.000000	74.382
1550.000000	74.515
1575.000000	74.640
1600.000000	74.757
1625.000000	74.864
1650.000000	74.965
1675.000000	75.058
1700.000000	75.147
1725.000000	75.232
1750.000000	75.315
1775.000000	75.397
1800.000000	75.478
1825.000000	75.559
1850.000000	75.639
1875.000000	75.721
1900.000000	75.803
1925.000000	75.885
1950.000000	75.969
1975.000000	76.054
2000.000000	76.139
2030.000000	76.243
2060.000000	76.348
2090.000000	76.454
2120.000000	76.560
2140.000000	76.631
2180.000000	76.774
2200.000000	76.845
2240.000000	76.988
2270.000000	77.094
2300.000000	77.199
2330.000000	77.304
2360.000000	77.408
2400.000000	77.544
2430.000000	77.643
2470.000000	77.773
2500.000000	77.868
2540.000000	77.991
2580.000000	78.109
2620.000000	78.222
2650.000000	78.302
2690.000000	78.404
2720.000000	78.476
2760.000000	78.565
2800.000000	78.646
2850.000000	78.734
2900.000000	78.808
2950.000000	78.867
3000.000000	78.911
3040.000000	78.935
3070.000000	78.946
3110.000000	78.953
3150.000000	78.952
3200.000000	78.938
3250.000000	78.911
3300.000000	78.873
3350.000000	78.824
3400.000000	78.765
3450.000000	78.697
3500.000000	78.620
3550.000000	78.536
3600.000000	78.446
3650.000000	78.351
3700.000000	78.251
3750.000000	78.149
3820.000000	78.002
3870.000000	77.896
3950.000000	77.722
4000.000000	77.610
4060.000000	77.474
4120.000000	77.336
4180.000000	77.195
4250.000000	77.029
4310.000000	76.886
4370.000000	76.743
4440.000000	76.578
4500.000000	76.437
4550.000000	76.321
4620.000000	76.161
4680.000000	76.028
4750.000000	75.878
4820.000000	75.734
4870.000000	75.633
4940.000000	75.494
5000.000000	75.377
5080.000000	75.224
5150.000000	75.094
5220.000000	74.969
5300.000000	74.835
5380.000000	74.709
5450.000000	74.606
5520.000000	74.511
5600.000000	74.412
5700.000000	74.304
5800.000000	74.216
5900.000000	74.149
6000.000000	74.106
6080.000000	74.091
6150.000000	74.091
6220.000000	74.106
6300.000000	74.140
6400.000000	74.210
6500.000000	74.312
6600.000000	74.445
6700.000000	74.609
6800.000000	74.802
6900.000000	75.024
7000.000000	75.272
7100.000000	75.543
7200.000000	75.831
7300.000000	76.128
7400.000000	76.423
7500.000000	76.702
7620.000000	76.995
7750.000000	77.231
7880.000000	77.347
8000.000000	77.317
8120.000000	77.127
8250.000000	76.705
8380.000000	76.033
8500.000000	75.189
8620.000000	74.157
8750.000000	72.893
8850.000000	71.873
9000.000000	70.363
9120.000000	69.236
9250.000000	68.135
9380.000000	67.168
9500.000000	66.389
9620.000000	65.707
9750.000000	65.066
9880.000000	64.512
10000.000000	64.069
10150.000000	63.596
10300.000000	63.203
10440.000000	62.904
10600.000000	62.634
10750.000000	62.446
10900.000000	62.315
11060.000000	62.230
11200.000000	62.192
11380.000000	62.180
11500.000000	62.187
11720.000000	62.225
11800.000000	62.252
12060.000000	62.447
12200.000000	62.665
12410.000000	63.211
12500.000000	63.538
12650.000000	64.219
12800.000000	65.082
13150.000000	67.792
13200.000000	68.245
13400.000000	70.125
13600.000000	71.929
13800.000000	73.378
14000.000000	74.224
14300.000000	74.127
14500.000000	73.268
14750.000000	71.675
15000.000000	69.924
15250.000000	68.335
15500.000000	67.056
15750.000000	66.106
16000.000000	65.442
16250.000000	65.005
16500.000000	64.743
16750.000000	64.601
17000.000000	64.531
17250.000000	64.485
17500.000000	64.419
17750.000000	64.294
18000.000000	64.081
18250.000000	63.759
18500.000000	63.317
18750.000000	62.741
19000.000000	62.015
19250.000000	61.119
19500.000000	60.058
19750.000000	58.949
