* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -31.0 dBFS, measurement signal peak level -26.9 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Jun 7, 2023 4:43:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: RE2
* Measurement: RE2 w/ Coreir Brass Tip
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.464	-81.4076
20.299999	78.567	-82.3536
20.600000	78.674	-83.1505
20.900000	78.795	-83.8371
21.200001	78.935	-84.4919
21.400000	79.037	-84.9595
21.799999	79.250	-86.0196
22.000000	79.353	-86.6219
22.400000	79.541	-87.9386
22.700001	79.662	-88.9583
23.000000	79.768	-89.9409
23.299999	79.864	-90.8560
23.600000	79.958	-91.7031
24.000000	80.085	-92.7581
24.299999	80.184	-93.5328
24.700001	80.319	-94.5864
25.000000	80.417	-95.4043
25.400000	80.542	-96.5246
25.799999	80.655	-97.6528
26.200001	80.759	-98.7597
26.500000	80.831	-99.5626
26.900000	80.923	-100.5872
27.200001	80.991	-101.3205
27.600000	81.083	-102.2595
28.000000	81.178	-103.1752
28.500000	81.301	-104.3265
29.000000	81.422	-105.5090
29.500000	81.534	-106.7042
30.000000	81.637	-107.8704
30.400000	81.715	-108.7683
30.700001	81.773	-109.4250
31.100000	81.848	-110.2889
31.500000	81.920	-111.1440
32.000000	82.004	-112.1900
32.500000	82.080	-113.1875
33.000000	82.154	-114.1318
33.500000	82.229	-115.0466
34.000000	82.304	-115.9612
34.500000	82.374	-116.8834
35.000000	82.439	-117.8019
35.500000	82.498	-118.7031
36.000000	82.555	-119.5817
36.500000	82.610	-120.4389
37.000000	82.664	-121.2791
37.500000	82.719	-122.1099
38.200001	82.795	-123.2700
38.700001	82.847	-124.0942
39.500000	82.925	-125.3814
40.000000	82.971	-126.1587
40.599998	83.022	-127.0590
41.200001	83.069	-127.9116
41.799999	83.116	-128.7116
42.500000	83.173	-129.6096
43.099998	83.222	-130.3891
43.700001	83.266	-131.1848
44.400002	83.309	-132.1060
45.000000	83.343	-132.8783
45.500000	83.372	-133.5217
46.200001	83.412	-134.4399
46.799999	83.444	-135.2407
47.500000	83.479	-136.1784
48.200001	83.512	-137.1113
48.700001	83.534	-137.7641
49.400002	83.563	-138.6455
50.000000	83.589	-139.3828
50.799999	83.614	-140.3566
51.500000	83.622	-141.1345
52.200001	83.624	-141.7617
53.000000	83.641	-142.3483
53.799999	83.672	-142.9564
54.500000	83.700	-143.5483
55.200001	83.724	-144.1670
56.000000	83.748	-144.8950
57.000000	83.775	-145.8347
58.000000	83.797	-146.7967
59.000000	83.809	-147.7542
60.000000	83.812	-148.6037
60.799999	83.817	-149.1918
61.500000	83.826	-149.6836
62.200001	83.837	-150.1769
63.000000	83.847	-150.7418
64.000000	83.855	-151.4520
65.000000	83.860	-152.1756
66.000000	83.860	-152.9035
67.000000	83.858	-153.6246
68.000000	83.856	-154.3329
69.000000	83.855	-155.0234
70.000000	83.854	-155.6936
71.000000	83.852	-156.3438
72.000000	83.849	-156.9732
73.000000	83.843	-157.5810
74.000000	83.836	-158.1713
75.000000	83.827	-158.7471
76.199997	83.814	-159.4120
77.500000	83.800	-160.0916
78.800003	83.787	-160.7369
80.000000	83.776	-161.3153
81.199997	83.766	-161.8909
82.500000	83.752	-162.5278
83.800003	83.732	-163.1554
85.000000	83.714	-163.7062
86.199997	83.696	-164.2348
87.500000	83.678	-164.7904
88.500000	83.664	-165.2055
90.000000	83.641	-165.8099
91.199997	83.621	-166.2838
92.500000	83.597	-166.7932
93.800003	83.572	-167.2967
95.000000	83.550	-167.7509
96.199997	83.528	-168.1901
97.500000	83.505	-168.6424
98.800003	83.481	-169.0663
100.000000	83.459	-169.4337
101.500000	83.428	-169.8699
103.000000	83.396	-170.3014
104.400002	83.365	-170.7123
106.000000	83.328	-171.1845
107.500000	83.295	-171.6134
109.000000	83.263	-172.0172
110.599998	83.232	-172.4239
112.000000	83.206	-172.7706
113.800003	83.174	-173.2062
115.000000	83.155	-173.4770
117.199997	83.125	-173.9376
118.000000	83.115	-174.1115
120.599998	83.061	-174.7207
122.000000	83.015	-175.0224
124.099998	82.942	-175.4207
125.000000	82.914	-175.5853
126.500000	82.870	-175.8562
128.000000	82.831	-176.1125
131.500000	82.749	-176.6353
132.000000	82.738	-176.7066
134.000000	82.696	-177.0004
136.000000	82.656	-177.3075
138.000000	82.614	-177.6048
140.000000	82.568	-177.8732
143.000000	82.493	-178.2265
145.000000	82.443	-178.4491
147.500000	82.381	-178.7240
150.000000	82.320	-178.9875
152.500000	82.260	-179.2288
155.000000	82.204	-179.4440
157.500000	82.150	-179.6369
160.000000	82.091	-179.8197
162.500000	82.027	-179.9997
165.000000	81.961	179.8255
167.500000	81.898	179.6650
170.000000	81.834	179.5405
172.500000	81.768	179.4619
175.000000	81.699	179.4192
177.500000	81.628	179.4069
180.000000	81.556	179.4307
182.500000	81.485	179.5030
185.000000	81.417	179.6403
187.500000	81.356	179.8551
190.000000	81.308	-179.8577
192.500000	81.277	-179.5370
195.000000	81.266	-179.2460
197.500000	81.270	-179.0392
200.000000	81.280	-178.9396
203.000000	81.289	-178.9521
206.000000	81.287	-179.0730
209.000000	81.270	-179.2533
212.000000	81.240	-179.4422
214.000000	81.214	-179.5551
218.000000	81.158	-179.7330
220.000000	81.127	-179.7963
224.000000	81.064	-179.8775
227.000000	81.015	-179.9000
230.000000	80.966	-179.8932
233.000000	80.917	-179.8731
236.000000	80.867	-179.8533
240.000000	80.800	-179.8167
243.000000	80.750	-179.7618
247.000000	80.687	-179.6474
250.000000	80.643	-179.5366
254.000000	80.587	-179.3655
258.000000	80.531	-179.1837
262.000000	80.474	-179.0050
265.000000	80.432	-178.8761
269.000000	80.379	-178.7052
272.000000	80.340	-178.5699
276.000000	80.291	-178.3750
280.000000	80.243	-178.1669
285.000000	80.185	-177.8975
290.000000	80.128	-177.6315
295.000000	80.072	-177.3661
300.000000	80.017	-177.0855
304.000000	79.974	-176.8459
307.000000	79.942	-176.6604
311.000000	79.900	-176.4119
315.000000	79.859	-176.1637
320.000000	79.809	-175.8471
