* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2023 6:05:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AKG N700NC M2 Wired
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.946	170.2441
20.299999	76.220	168.3504
20.600000	76.497	166.3878
20.900000	76.769	164.2959
21.200001	77.022	162.0612
21.400000	77.174	160.5377
21.799999	77.444	157.5532
22.000000	77.568	156.1587
22.400000	77.826	153.6409
22.700001	78.045	151.9191
23.000000	78.289	150.1980
23.299999	78.539	148.3816
23.600000	78.776	146.4917
24.000000	79.055	144.0419
24.299999	79.248	142.4506
24.700001	79.530	140.7438
25.000000	79.781	139.6151
25.400000	80.149	137.9292
25.799999	80.472	135.7847
26.200001	80.667	133.5420
26.500000	80.733	132.3286
26.900000	80.815	131.8894
27.200001	80.986	132.3992
27.600000	81.464	133.4085
28.000000	82.156	133.3337
28.500000	82.974	130.1922
29.000000	83.402	124.3151
29.500000	83.358	118.2106
30.000000	83.012	114.2333
30.400000	82.732	112.8456
30.700001	82.614	112.4148
31.100000	82.603	111.8493
31.500000	82.692	110.7851
32.000000	82.811	108.7596
32.500000	82.889	106.5874
33.000000	82.980	104.6886
33.500000	83.126	102.9104
34.000000	83.307	101.0086
34.500000	83.484	99.0440
35.000000	83.658	97.2162
35.500000	83.847	95.5604
36.000000	84.052	93.9240
36.500000	84.247	92.2014
37.000000	84.411	90.4583
37.500000	84.545	88.8222
38.200001	84.720	86.7171
38.700001	84.846	85.1643
39.500000	85.007	82.2948
40.000000	85.056	80.3533
40.599998	85.066	78.1126
41.200001	85.060	76.1076
41.799999	85.073	74.2740
42.500000	85.124	72.1645
43.099998	85.189	70.3114
43.700001	85.263	68.4534
44.400002	85.356	66.3416
45.000000	85.437	64.6040
45.500000	85.502	63.2147
46.200001	85.584	61.3716
46.799999	85.644	59.8848
47.500000	85.701	58.2142
48.200001	85.737	56.5480
48.700001	85.745	55.3495
49.400002	85.728	53.6989
50.000000	85.694	52.3540
50.799999	85.646	50.6673
51.500000	85.618	49.2220
52.200001	85.608	47.7260
53.000000	85.608	45.9335
53.799999	85.610	44.1386
54.500000	85.610	42.6765
55.200001	85.615	41.3773
56.000000	85.631	40.0579
57.000000	85.644	38.5612
58.000000	85.634	37.2958
59.000000	85.622	36.1148
60.000000	85.576	34.7015
60.799999	85.487	33.5660
61.500000	85.393	32.7276
62.200001	85.313	31.9984
63.000000	85.248	31.1804
64.000000	85.206	30.1215
65.000000	85.200	29.0533
66.000000	85.222	27.9621
67.000000	85.250	26.8310
68.000000	85.266	25.6874
69.000000	85.263	24.4631
70.000000	85.217	23.1290
71.000000	85.125	21.8709
72.000000	85.025	20.7905
73.000000	84.946	19.7958
74.000000	84.894	18.8461
75.000000	84.873	17.9526
76.199997	84.883	16.8616
77.500000	84.893	15.5942
78.800003	84.870	14.3275
80.000000	84.815	13.1912
81.199997	84.733	12.0952
82.500000	84.624	10.9705
83.800003	84.505	9.9838
85.000000	84.399	9.2508
86.199997	84.308	8.6803
87.500000	84.228	8.1752
88.500000	84.176	7.8014
90.000000	84.101	7.2164
91.199997	84.038	6.7789
92.500000	83.976	6.3882
93.800003	83.926	6.1013
95.000000	83.893	5.9008
96.199997	83.870	5.7278
97.500000	83.851	5.5613
98.800003	83.843	5.3822
100.000000	83.845	5.1443
101.500000	83.853	4.7561
103.000000	83.871	4.3620
104.400002	83.910	4.0048
106.000000	83.980	3.5365
107.500000	84.054	3.0084
109.000000	84.118	2.4842
110.599998	84.181	2.0109
112.000000	84.239	1.5889
113.800003	84.308	0.8235
115.000000	84.339	0.1109
117.199997	84.363	-1.4817
118.000000	84.369	-2.0932
120.599998	84.425	-4.0993
122.000000	84.472	-5.2137
124.099998	84.523	-6.8713
125.000000	84.532	-7.5535
126.500000	84.531	-8.6703
128.000000	84.511	-9.8109
131.500000	84.413	-12.6132
132.000000	84.398	-13.0150
134.000000	84.343	-14.6138
136.000000	84.285	-16.1824
138.000000	84.199	-17.6352
140.000000	84.084	-18.8944
143.000000	83.903	-20.6043
145.000000	83.801	-21.7416
147.500000	83.691	-23.1315
150.000000	83.580	-24.3875
152.500000	83.453	-25.5826
155.000000	83.303	-26.8485
157.500000	83.137	-28.1570
160.000000	82.967	-29.4086
162.500000	82.788	-30.4260
165.000000	82.609	-31.1056
167.500000	82.446	-31.6761
170.000000	82.298	-32.3843
172.500000	82.151	-33.1728
175.000000	81.995	-33.8689
177.500000	81.823	-34.4966
180.000000	81.629	-35.1676
