* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2023 6:08:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: AKG N700NC M2 Wireless
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	87.596	-116.3851
20.299999	87.733	-117.3586
20.600000	87.863	-118.3331
20.900000	87.985	-119.3084
21.200001	88.100	-120.2809
21.400000	88.173	-120.9247
21.799999	88.310	-122.1949
22.000000	88.374	-122.8194
22.400000	88.498	-124.0470
22.700001	88.586	-124.9506
23.000000	88.671	-125.8410
23.299999	88.753	-126.7178
23.600000	88.831	-127.5793
24.000000	88.932	-128.7008
24.299999	89.004	-129.5219
24.700001	89.098	-130.5955
25.000000	89.166	-131.3901
25.400000	89.251	-132.4385
25.799999	89.328	-133.4672
26.200001	89.397	-134.4590
26.500000	89.444	-135.1692
26.900000	89.504	-136.0690
27.200001	89.548	-136.7142
27.600000	89.605	-137.5509
28.000000	89.662	-138.3761
28.500000	89.727	-139.4012
29.000000	89.785	-140.4099
29.500000	89.838	-141.3904
30.000000	89.887	-142.3429
30.400000	89.924	-143.0903
30.700001	89.951	-143.6444
31.100000	89.986	-144.3745
31.500000	90.020	-145.0924
32.000000	90.060	-145.9698
32.500000	90.101	-146.8245
33.000000	90.143	-147.6611
33.500000	90.185	-148.4868
34.000000	90.227	-149.3071
34.500000	90.267	-150.1204
35.000000	90.305	-150.9203
35.500000	90.343	-151.7063
36.000000	90.381	-152.4910
36.500000	90.418	-153.2927
37.000000	90.449	-154.1174
37.500000	90.473	-154.9518
38.200001	90.493	-156.0945
38.700001	90.501	-156.8748
39.500000	90.508	-158.0630
40.000000	90.511	-158.7750
40.599998	90.515	-159.6032
41.200001	90.518	-160.4085
41.799999	90.522	-161.1954
42.500000	90.527	-162.0887
43.099998	90.530	-162.8309
43.700001	90.534	-163.5563
44.400002	90.539	-164.3920
45.000000	90.540	-165.1015
45.500000	90.540	-165.6844
46.200001	90.535	-166.4847
46.799999	90.529	-167.1599
47.500000	90.518	-167.9419
48.200001	90.504	-168.7158
48.700001	90.491	-169.2593
49.400002	90.472	-170.0069
