* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R R70xa, R R70xa, R R70xa
* Dated: Jan 26, 2025 2:35:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R R70xa, R R70xa, R R70xa
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	70.566
20.299999	70.790
20.600000	71.004
20.900000	71.207
21.200001	71.403
21.400000	71.531
21.799999	71.778
22.000000	71.898
22.400000	72.129
22.700001	72.293
23.000000	72.449
23.299999	72.599
23.600000	72.747
24.000000	72.944
24.299999	73.095
24.700001	73.299
25.000000	73.451
25.400000	73.648
25.799999	73.837
26.200001	74.019
26.500000	74.154
26.900000	74.336
27.200001	74.476
27.600000	74.664
28.000000	74.851
28.500000	75.078
29.000000	75.292
29.500000	75.493
30.000000	75.685
30.400000	75.834
30.700001	75.944
31.100000	76.091
31.500000	76.240
32.000000	76.426
32.500000	76.610
33.000000	76.784
33.500000	76.945
34.000000	77.091
34.500000	77.224
35.000000	77.349
35.500000	77.469
36.000000	77.585
36.500000	77.699
37.000000	77.810
37.500000	77.919
38.200001	78.069
38.700001	78.174
39.500000	78.338
40.000000	78.437
40.599998	78.552
41.200001	78.660
41.799999	78.760
42.500000	78.868
43.099998	78.952
43.700001	79.028
44.400002	79.106
45.000000	79.164
45.500000	79.207
46.200001	79.259
46.799999	79.300
47.500000	79.345
48.200001	79.391
48.700001	79.426
49.400002	79.478
50.000000	79.523
50.799999	79.584
51.500000	79.637
52.200001	79.689
53.000000	79.751
53.799999	79.821
54.500000	79.888
55.200001	79.963
56.000000	80.052
57.000000	80.164
58.000000	80.266
59.000000	80.351
60.000000	80.417
60.799999	80.455
61.500000	80.480
62.200001	80.498
63.000000	80.512
64.000000	80.522
65.000000	80.527
66.000000	80.529
67.000000	80.532
68.000000	80.537
69.000000	80.547
70.000000	80.564
71.000000	80.587
72.000000	80.618
73.000000	80.656
74.000000	80.701
75.000000	80.754
76.199997	80.825
77.500000	80.907
78.800003	80.991
80.000000	81.065
81.199997	81.134
82.500000	81.204
83.800003	81.267
85.000000	81.321
86.199997	81.371
87.500000	81.421
88.500000	81.455
90.000000	81.501
91.199997	81.533
92.500000	81.564
93.800003	81.590
95.000000	81.611
96.199997	81.629
97.500000	81.645
98.800003	81.657
100.000000	81.667
101.500000	81.676
103.000000	81.684
104.400002	81.690
106.000000	81.697
107.500000	81.703
109.000000	81.707
110.599998	81.711
112.000000	81.712
113.800003	81.711
115.000000	81.708
117.199997	81.699
118.000000	81.694
120.599998	81.675
122.000000	81.662
124.099998	81.640
125.000000	81.630
126.500000	81.614
128.000000	81.597
131.500000	81.561
132.000000	81.555
134.000000	81.535
136.000000	81.516
138.000000	81.497
140.000000	81.479
143.000000	81.453
