* Measurement data measured by REW V5.31.3
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L R70xa, L R70xa, L R70xa
* Dated: Jan 26, 2025 2:35:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L R70xa, L R70xa, L R70xa
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	73.020
20.299999	73.213
20.600000	73.403
20.900000	73.589
21.200001	73.766
21.400000	73.880
21.799999	74.095
22.000000	74.198
22.400000	74.399
22.700001	74.549
23.000000	74.702
23.299999	74.859
23.600000	75.022
24.000000	75.243
24.299999	75.408
24.700001	75.622
25.000000	75.773
25.400000	75.962
25.799999	76.143
26.200001	76.328
26.500000	76.476
26.900000	76.687
27.200001	76.853
27.600000	77.072
28.000000	77.270
28.500000	77.466
29.000000	77.598
29.500000	77.680
30.000000	77.740
30.400000	77.791
30.700001	77.836
31.100000	77.907
31.500000	77.991
32.000000	78.108
32.500000	78.233
33.000000	78.362
33.500000	78.492
34.000000	78.622
34.500000	78.750
35.000000	78.875
35.500000	78.995
36.000000	79.109
36.500000	79.218
37.000000	79.320
37.500000	79.418
38.200001	79.545
38.700001	79.632
39.500000	79.763
40.000000	79.842
40.599998	79.935
41.200001	80.026
41.799999	80.118
42.500000	80.227
43.099998	80.320
43.700001	80.410
44.400002	80.508
45.000000	80.582
45.500000	80.635
46.200001	80.697
46.799999	80.740
47.500000	80.782
48.200001	80.816
48.700001	80.838
49.400002	80.871
50.000000	80.902
50.799999	80.953
51.500000	81.008
52.200001	81.073
53.000000	81.160
53.799999	81.259
54.500000	81.351
55.200001	81.446
56.000000	81.552
57.000000	81.666
58.000000	81.748
59.000000	81.791
60.000000	81.794
60.799999	81.770
61.500000	81.734
62.200001	81.684
63.000000	81.615
64.000000	81.517
65.000000	81.416
66.000000	81.328
67.000000	81.265
68.000000	81.238
69.000000	81.251
70.000000	81.304
71.000000	81.390
72.000000	81.501
73.000000	81.625
74.000000	81.752
75.000000	81.874
76.199997	82.009
77.500000	82.134
78.800003	82.239
80.000000	82.319
81.199997	82.385
82.500000	82.446
83.800003	82.498
85.000000	82.540
86.199997	82.577
87.500000	82.612
88.500000	82.636
90.000000	82.666
91.199997	82.686
92.500000	82.703
93.800003	82.715
95.000000	82.722
96.199997	82.726
97.500000	82.727
98.800003	82.726
100.000000	82.724
101.500000	82.720
103.000000	82.714
104.400002	82.707
106.000000	82.697
107.500000	82.685
109.000000	82.673
110.599998	82.660
112.000000	82.649
113.800003	82.637
115.000000	82.630
117.199997	82.621
118.000000	82.619
120.599998	82.610
122.000000	82.605
124.099998	82.596
125.000000	82.593
126.500000	82.586
128.000000	82.579
131.500000	82.558
132.000000	82.554
134.000000	82.537
136.000000	82.518
138.000000	82.496
140.000000	82.473
143.000000	82.437
145.000000	82.413
147.500000	82.382
150.000000	82.352
152.500000	82.323
155.000000	82.293
157.500000	82.264
160.000000	82.233
162.500000	82.202
165.000000	82.170
167.500000	82.138
170.000000	82.103
172.500000	82.067
175.000000	82.029
177.500000	81.990
180.000000	81.950
182.500000	81.909
185.000000	81.869
187.500000	81.829
190.000000	81.791
192.500000	81.754
195.000000	81.719
197.500000	81.683
200.000000	81.647
203.000000	81.603
206.000000	81.557
209.000000	81.509
212.000000	81.460
214.000000	81.428
218.000000	81.363
220.000000	81.331
224.000000	81.269
227.000000	81.224
230.000000	81.179
233.000000	81.136
236.000000	81.092
240.000000	81.033
243.000000	80.989
247.000000	80.929
250.000000	80.884
254.000000	80.823
258.000000	80.764
262.000000	80.706
265.000000	80.663
269.000000	80.606
272.000000	80.565
276.000000	80.509
280.000000	80.454
285.000000	80.384
290.000000	80.314
295.000000	80.242
300.000000	80.170
304.000000	80.111
307.000000	80.067
311.000000	80.008
315.000000	79.948
320.000000	79.872
325.000000	79.797
330.000000	79.721
335.000000	79.646
340.000000	79.572
345.000000	79.497
350.000000	79.423
355.000000	79.349
360.000000	79.275
365.000000	79.202
370.000000	79.129
375.000000	79.056
382.000000	78.955
387.000000	78.883
395.000000	78.769
400.000000	78.698
