* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L ATH AWAS, L ATH AWAS, L ATH AWAS
* Dated: Jun 30, 2024 11:55:32 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L ATH AWAS, L ATH AWAS, L ATH AWAS
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	71.010
20.299999	71.241
20.600000	71.479
20.900000	71.734
21.200001	72.011
21.400000	72.204
21.799999	72.592
22.000000	72.776
22.400000	73.103
22.700001	73.299
23.000000	73.453
23.299999	73.575
23.600000	73.681
24.000000	73.830
24.299999	73.969
24.700001	74.204
25.000000	74.413
25.400000	74.714
25.799999	75.007
26.200001	75.269
26.500000	75.440
26.900000	75.641
27.200001	75.783
27.600000	75.980
28.000000	76.202
28.500000	76.522
29.000000	76.863
29.500000	77.190
30.000000	77.477
30.400000	77.673
30.700001	77.803
31.100000	77.960
31.500000	78.105
32.000000	78.280
32.500000	78.462
33.000000	78.660
33.500000	78.876
34.000000	79.098
34.500000	79.314
35.000000	79.517
35.500000	79.708
36.000000	79.892
36.500000	80.070
37.000000	80.243
37.500000	80.413
38.200001	80.647
38.700001	80.815
39.500000	81.081
40.000000	81.235
40.599998	81.398
41.200001	81.534
41.799999	81.654
42.500000	81.787
43.099998	81.893
43.700001	81.981
44.400002	82.053
45.000000	82.094
45.500000	82.121
46.200001	82.152
46.799999	82.171
47.500000	82.190
48.200001	82.215
48.700001	82.247
49.400002	82.322
50.000000	82.422
50.799999	82.615
51.500000	82.835
52.200001	83.087
53.000000	83.392
53.799999	83.695
54.500000	83.943
55.200001	84.167
56.000000	84.393
57.000000	84.638
58.000000	84.845
59.000000	85.011
60.000000	85.125
60.799999	85.176
61.500000	85.194
62.200001	85.191
63.000000	85.163
64.000000	85.104
65.000000	85.044
66.000000	85.014
67.000000	85.038
68.000000	85.118
69.000000	85.227
70.000000	85.326
71.000000	85.390
72.000000	85.416
73.000000	85.425
74.000000	85.446
75.000000	85.504
76.199997	85.634
77.500000	85.833
78.800003	86.061
80.000000	86.269
81.199997	86.457
82.500000	86.631
83.800003	86.767
85.000000	86.853
86.199997	86.906
87.500000	86.949
88.500000	86.985
90.000000	87.049
91.199997	87.110
92.500000	87.184
93.800003	87.260
95.000000	87.327
96.199997	87.386
97.500000	87.440
98.800003	87.483
100.000000	87.513
101.500000	87.538
103.000000	87.555
104.400002	87.569
106.000000	87.581
107.500000	87.587
109.000000	87.591
110.599998	87.611
112.000000	87.644
113.800003	87.670
115.000000	87.659
117.199997	87.603
118.000000	87.585
120.599998	87.551
122.000000	87.526
124.099998	87.464
125.000000	87.432
126.500000	87.374
128.000000	87.303
131.500000	87.082
132.000000	87.043
134.000000	86.876
136.000000	86.708
138.000000	86.569
140.000000	86.468
143.000000	86.357
145.000000	86.283
147.500000	86.169
150.000000	86.030
152.500000	85.871
155.000000	85.717
157.500000	85.609
160.000000	85.533
162.500000	85.431
165.000000	85.296
167.500000	85.169
170.000000	85.065
172.500000	84.947
175.000000	84.806
