* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R ATH AWAS, R ATH AWAS, R ATH AWAS, R ATH AWAS
* Dated: Jun 30, 2024 11:55:50 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R ATH AWAS, R ATH AWAS, R ATH AWAS, R ATH AWAS
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	71.593
20.299999	71.823
20.600000	72.058
20.900000	72.298
21.200001	72.537
21.400000	72.696
21.799999	73.010
22.000000	73.167
22.400000	73.487
22.700001	73.731
23.000000	73.977
23.299999	74.222
23.600000	74.460
24.000000	74.766
24.299999	74.985
24.700001	75.263
25.000000	75.461
25.400000	75.713
25.799999	75.953
26.200001	76.188
26.500000	76.365
26.900000	76.608
27.200001	76.794
27.600000	77.043
28.000000	77.282
28.500000	77.556
29.000000	77.807
29.500000	78.051
30.000000	78.304
30.400000	78.512
30.700001	78.670
31.100000	78.877
31.500000	79.077
32.000000	79.319
32.500000	79.553
33.000000	79.784
33.500000	80.014
34.000000	80.242
34.500000	80.464
35.000000	80.675
35.500000	80.869
36.000000	81.049
36.500000	81.220
37.000000	81.393
37.500000	81.571
38.200001	81.822
38.700001	81.988
39.500000	82.200
40.000000	82.296
40.599998	82.388
41.200001	82.471
41.799999	82.555
42.500000	82.649
43.099998	82.713
43.700001	82.759
44.400002	82.793
45.000000	82.813
45.500000	82.830
46.200001	82.879
46.799999	82.966
47.500000	83.142
48.200001	83.394
48.700001	83.606
49.400002	83.926
50.000000	84.202
50.799999	84.555
51.500000	84.841
52.200001	85.104
53.000000	85.377
53.799999	85.614
54.500000	85.794
55.200001	85.957
56.000000	86.127
57.000000	86.310
58.000000	86.451
59.000000	86.557
60.000000	86.635
60.799999	86.677
61.500000	86.699
62.200001	86.709
63.000000	86.706
64.000000	86.688
65.000000	86.654
66.000000	86.617
67.000000	86.591
68.000000	86.592
69.000000	86.638
70.000000	86.740
71.000000	86.886
72.000000	87.045
73.000000	87.188
74.000000	87.295
75.000000	87.364
76.199997	87.406
77.500000	87.415
78.800003	87.408
80.000000	87.401
81.199997	87.412
82.500000	87.456
83.800003	87.554
85.000000	87.709
86.199997	87.898
87.500000	88.082
88.500000	88.187
90.000000	88.295
91.199997	88.363
92.500000	88.442
93.800003	88.535
95.000000	88.623
96.199997	88.701
97.500000	88.771
98.800003	88.829
100.000000	88.873
101.500000	88.916
103.000000	88.953
104.400002	88.989
106.000000	89.030
107.500000	89.053
109.000000	89.064
110.599998	89.070
112.000000	89.066
113.800003	89.049
115.000000	89.031
117.199997	88.968
118.000000	88.934
120.599998	88.819
122.000000	88.763
124.099998	88.671
125.000000	88.618
126.500000	88.498
128.000000	88.326
131.500000	87.772
132.000000	87.691
134.000000	87.402
136.000000	87.207
138.000000	87.121
140.000000	87.125
143.000000	87.247
145.000000	87.344
147.500000	87.410
150.000000	87.403
152.500000	87.350
155.000000	87.278
157.500000	87.185
160.000000	87.067
162.500000	86.936
165.000000	86.803
167.500000	86.641
170.000000	86.433
172.500000	86.232
175.000000	86.095
177.500000	86.008
180.000000	85.913
182.500000	85.760
185.000000	85.547
187.500000	85.330
190.000000	85.168
192.500000	85.061
195.000000	84.966
197.500000	84.831
200.000000	84.617
203.000000	84.259
206.000000	83.889
209.000000	83.604
212.000000	83.386
214.000000	83.236
218.000000	82.889
220.000000	82.720
224.000000	82.468
227.000000	82.354
230.000000	82.255
233.000000	82.141
236.000000	82.044
240.000000	82.030
243.000000	82.124
247.000000	82.348
250.000000	82.545
254.000000	82.826
258.000000	83.121
262.000000	83.462
265.000000	83.751
269.000000	84.136
272.000000	84.414
276.000000	84.799
280.000000	85.205
285.000000	85.652
290.000000	85.984
295.000000	86.307
300.000000	86.699
304.000000	87.017
307.000000	87.237
311.000000	87.481
315.000000	87.656
320.000000	87.807
325.000000	87.896
330.000000	87.937
335.000000	87.967
340.000000	87.996
345.000000	88.023
350.000000	88.033
355.000000	88.007
360.000000	87.957
365.000000	87.901
370.000000	87.850
375.000000	87.809
382.000000	87.752
387.000000	87.709
395.000000	87.652
400.000000	87.615
406.000000	87.576
412.000000	87.540
418.000000	87.490
425.000000	87.433
