* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Australis (Ruck), L Australis (Ruck), L Australis (Ruck)
* Dated: Jun 30, 2024 11:57:04 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L Australis (Ruck), L Australis (Ruck), L Australis (Ruck)
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	85.236
20.299999	85.369
20.600000	85.499
20.900000	85.627
21.200001	85.758
21.400000	85.846
21.799999	86.022
22.000000	86.106
22.400000	86.263
22.700001	86.370
23.000000	86.468
23.299999	86.563
23.600000	86.663
24.000000	86.807
24.299999	86.924
24.700001	87.084
25.000000	87.199
25.400000	87.336
25.799999	87.454
26.200001	87.558
26.500000	87.635
26.900000	87.739
27.200001	87.820
27.600000	87.928
28.000000	88.031
28.500000	88.150
29.000000	88.264
29.500000	88.375
30.000000	88.480
30.400000	88.553
30.700001	88.601
31.100000	88.660
31.500000	88.721
32.000000	88.805
32.500000	88.894
33.000000	88.974
33.500000	89.035
34.000000	89.076
34.500000	89.106
35.000000	89.129
35.500000	89.145
36.000000	89.152
36.500000	89.155
37.000000	89.158
37.500000	89.168
38.200001	89.199
38.700001	89.227
39.500000	89.276
40.000000	89.306
40.599998	89.344
41.200001	89.391
41.799999	89.452
42.500000	89.546
43.099998	89.636
43.700001	89.723
44.400002	89.816
45.000000	89.887
45.500000	89.941
46.200001	90.006
46.799999	90.053
47.500000	90.102
48.200001	90.145
48.700001	90.173
49.400002	90.216
50.000000	90.261
50.799999	90.332
51.500000	90.397
52.200001	90.457
53.000000	90.516
53.799999	90.570
54.500000	90.612
55.200001	90.649
56.000000	90.683
57.000000	90.717
58.000000	90.744
59.000000	90.768
60.000000	90.793
60.799999	90.813
61.500000	90.833
62.200001	90.855
63.000000	90.883
64.000000	90.921
65.000000	90.961
66.000000	91.000
67.000000	91.041
68.000000	91.081
69.000000	91.120
70.000000	91.159
71.000000	91.198
72.000000	91.235
73.000000	91.270
74.000000	91.302
75.000000	91.336
76.199997	91.379
77.500000	91.432
78.800003	91.492
80.000000	91.550
81.199997	91.608
82.500000	91.668
83.800003	91.722
85.000000	91.765
86.199997	91.803
87.500000	91.841
88.500000	91.869
90.000000	91.909
91.199997	91.940
92.500000	91.971
93.800003	92.002
95.000000	92.030
96.199997	92.055
97.500000	92.075
98.800003	92.089
100.000000	92.098
101.500000	92.108
103.000000	92.118
104.400002	92.128
106.000000	92.138
107.500000	92.147
109.000000	92.155
110.599998	92.162
112.000000	92.166
113.800003	92.168
115.000000	92.165
117.199997	92.155
118.000000	92.150
120.599998	92.137
122.000000	92.131
124.099998	92.121
125.000000	92.114
126.500000	92.099
128.000000	92.078
131.500000	92.022
132.000000	92.014
134.000000	91.985
136.000000	91.971
138.000000	91.979
140.000000	92.011
143.000000	92.080
145.000000	92.122
147.500000	92.154
150.000000	92.161
152.500000	92.150
155.000000	92.126
157.500000	92.094
160.000000	92.062
162.500000	92.034
165.000000	92.014
167.500000	92.003
170.000000	91.998
172.500000	91.994
175.000000	91.990
177.500000	91.983
180.000000	91.970
182.500000	91.950
185.000000	91.927
187.500000	91.904
190.000000	91.882
192.500000	91.860
195.000000	91.836
197.500000	91.810
200.000000	91.784
203.000000	91.755
206.000000	91.729
209.000000	91.703
212.000000	91.670
214.000000	91.644
218.000000	91.590
220.000000	91.565
224.000000	91.522
227.000000	91.488
230.000000	91.452
233.000000	91.414
236.000000	91.373
240.000000	91.327
243.000000	91.299
247.000000	91.256
250.000000	91.214
254.000000	91.149
258.000000	91.086
262.000000	91.029
265.000000	90.988
269.000000	90.933
272.000000	90.889
276.000000	90.823
280.000000	90.750
285.000000	90.664
290.000000	90.594
295.000000	90.530
300.000000	90.453
304.000000	90.381
307.000000	90.323
311.000000	90.236
315.000000	90.140
320.000000	90.023
325.000000	89.926
330.000000	89.828
335.000000	89.727
340.000000	89.649
345.000000	89.590
350.000000	89.525
