* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R Australis (Ruck), R Australis (Ruck), R Australis (Ruck)
* Dated: Jun 30, 2024 11:57:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R Australis (Ruck), R Australis (Ruck), R Australis (Ruck)
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	84.502
20.299999	84.627
20.600000	84.757
20.900000	84.890
21.200001	85.024
21.400000	85.113
21.799999	85.296
22.000000	85.391
22.400000	85.588
22.700001	85.740
23.000000	85.889
23.299999	86.030
23.600000	86.159
24.000000	86.311
24.299999	86.416
24.700001	86.554
25.000000	86.664
25.400000	86.822
25.799999	86.983
26.200001	87.134
26.500000	87.232
26.900000	87.343
27.200001	87.415
27.600000	87.504
28.000000	87.596
28.500000	87.716
29.000000	87.832
29.500000	87.937
30.000000	88.031
30.400000	88.102
30.700001	88.154
31.100000	88.222
31.500000	88.286
32.000000	88.361
32.500000	88.434
33.000000	88.503
33.500000	88.565
34.000000	88.613
34.500000	88.644
35.000000	88.667
35.500000	88.691
36.000000	88.719
36.500000	88.751
37.000000	88.783
37.500000	88.815
38.200001	88.862
38.700001	88.900
39.500000	88.964
40.000000	89.006
40.599998	89.056
41.200001	89.106
41.799999	89.157
42.500000	89.218
43.099998	89.275
43.700001	89.337
44.400002	89.416
45.000000	89.492
45.500000	89.562
46.200001	89.665
46.799999	89.750
47.500000	89.835
48.200001	89.897
48.700001	89.929
49.400002	89.966
50.000000	90.004
50.799999	90.077
51.500000	90.149
52.200001	90.205
53.000000	90.240
53.799999	90.261
54.500000	90.280
55.200001	90.299
56.000000	90.317
57.000000	90.336
58.000000	90.354
59.000000	90.371
60.000000	90.387
60.799999	90.401
61.500000	90.414
62.200001	90.425
63.000000	90.435
64.000000	90.445
65.000000	90.452
66.000000	90.460
67.000000	90.468
68.000000	90.474
69.000000	90.481
70.000000	90.493
71.000000	90.514
72.000000	90.543
73.000000	90.578
74.000000	90.616
75.000000	90.659
76.199997	90.717
77.500000	90.783
78.800003	90.852
80.000000	90.918
81.199997	90.985
82.500000	91.052
83.800003	91.114
85.000000	91.166
86.199997	91.214
87.500000	91.264
88.500000	91.300
90.000000	91.347
91.199997	91.377
92.500000	91.403
93.800003	91.423
95.000000	91.439
96.199997	91.453
97.500000	91.466
98.800003	91.473
100.000000	91.475
101.500000	91.469
103.000000	91.455
104.400002	91.433
106.000000	91.404
107.500000	91.379
109.000000	91.357
110.599998	91.336
112.000000	91.321
113.800003	91.312
115.000000	91.310
117.199997	91.311
118.000000	91.312
120.599998	91.315
122.000000	91.313
124.099998	91.306
125.000000	91.303
126.500000	91.301
128.000000	91.302
131.500000	91.317
132.000000	91.321
134.000000	91.341
136.000000	91.360
138.000000	91.372
140.000000	91.375
143.000000	91.365
145.000000	91.353
147.500000	91.341
150.000000	91.336
152.500000	91.337
155.000000	91.338
157.500000	91.333
160.000000	91.326
162.500000	91.327
165.000000	91.331
167.500000	91.327
170.000000	91.314
172.500000	91.304
175.000000	91.294
177.500000	91.276
180.000000	91.244
182.500000	91.197
185.000000	91.145
187.500000	91.090
190.000000	91.034
192.500000	90.979
195.000000	90.926
197.500000	90.873
200.000000	90.817
203.000000	90.749
206.000000	90.692
209.000000	90.651
212.000000	90.623
214.000000	90.609
218.000000	90.590
220.000000	90.582
224.000000	90.550
227.000000	90.509
230.000000	90.470
233.000000	90.451
236.000000	90.448
240.000000	90.440
243.000000	90.419
247.000000	90.377
250.000000	90.342
254.000000	90.299
258.000000	90.255
262.000000	90.209
265.000000	90.175
269.000000	90.129
272.000000	90.097
276.000000	90.055
280.000000	90.007
285.000000	89.941
290.000000	89.873
295.000000	89.803
300.000000	89.727
304.000000	89.661
307.000000	89.614
311.000000	89.555
315.000000	89.502
320.000000	89.419
325.000000	89.295
330.000000	89.163
335.000000	89.058
340.000000	88.972
345.000000	88.877
350.000000	88.764
355.000000	88.645
360.000000	88.525
365.000000	88.397
370.000000	88.262
375.000000	88.124
382.000000	87.930
387.000000	87.791
395.000000	87.562
400.000000	87.412
406.000000	87.216
412.000000	86.997
418.000000	86.764
425.000000	86.501
431.000000	86.294
437.000000	86.091
444.000000	85.844
450.000000	85.629
455.000000	85.446
462.000000	85.187
468.000000	84.967
475.000000	84.709
482.000000	84.459
487.000000	84.293
494.000000	84.090
500.000000	83.954
508.000000	83.832
515.000000	83.776
522.000000	83.764
530.000000	83.799
538.000000	83.886
545.000000	84.006
552.000000	84.161
560.000000	84.374
570.000000	84.689
580.000000	85.028
590.000000	85.349
600.000000	85.608
