* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L Borealis (Ruck), L Borealis (Ruck), L Borealis (Ruck)
* Dated: Jun 30, 2024 11:58:35 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L Borealis (Ruck), L Borealis (Ruck), L Borealis (Ruck)
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	76.334
20.299999	76.520
20.600000	76.695
20.900000	76.867
21.200001	77.043
21.400000	77.166
21.799999	77.426
22.000000	77.561
22.400000	77.831
22.700001	78.023
23.000000	78.199
23.299999	78.356
23.600000	78.496
24.000000	78.660
24.299999	78.771
24.700001	78.907
25.000000	78.999
25.400000	79.114
25.799999	79.225
26.200001	79.349
26.500000	79.461
26.900000	79.643
27.200001	79.802
27.600000	80.030
28.000000	80.251
28.500000	80.488
29.000000	80.681
29.500000	80.863
30.000000	81.072
30.400000	81.258
30.700001	81.398
31.100000	81.565
31.500000	81.694
32.000000	81.806
32.500000	81.892
33.000000	81.986
33.500000	82.099
34.000000	82.216
34.500000	82.321
35.000000	82.414
35.500000	82.503
36.000000	82.593
36.500000	82.682
37.000000	82.769
37.500000	82.859
38.200001	82.997
38.700001	83.099
39.500000	83.252
40.000000	83.340
40.599998	83.442
41.200001	83.544
41.799999	83.641
42.500000	83.740
43.099998	83.812
43.700001	83.870
44.400002	83.922
45.000000	83.961
45.500000	83.996
46.200001	84.050
46.799999	84.100
47.500000	84.160
48.200001	84.224
48.700001	84.274
49.400002	84.350
50.000000	84.416
50.799999	84.495
51.500000	84.552
52.200001	84.598
53.000000	84.645
53.799999	84.691
54.500000	84.730
55.200001	84.766
56.000000	84.808
57.000000	84.872
58.000000	84.956
59.000000	85.058
60.000000	85.157
60.799999	85.220
61.500000	85.261
62.200001	85.291
63.000000	85.314
64.000000	85.334
65.000000	85.347
66.000000	85.357
67.000000	85.369
68.000000	85.387
69.000000	85.408
70.000000	85.426
71.000000	85.440
72.000000	85.452
73.000000	85.465
74.000000	85.480
75.000000	85.496
76.199997	85.512
77.500000	85.522
78.800003	85.528
80.000000	85.536
81.199997	85.544
82.500000	85.550
83.800003	85.554
85.000000	85.560
86.199997	85.569
87.500000	85.586
88.500000	85.600
90.000000	85.617
91.199997	85.626
92.500000	85.631
93.800003	85.628
95.000000	85.619
96.199997	85.607
97.500000	85.597
98.800003	85.593
100.000000	85.597
101.500000	85.603
103.000000	85.613
104.400002	85.620
106.000000	85.611
107.500000	85.583
109.000000	85.552
110.599998	85.529
112.000000	85.519
113.800003	85.512
115.000000	85.506
117.199997	85.485
118.000000	85.476
120.599998	85.454
122.000000	85.450
124.099998	85.449
125.000000	85.448
126.500000	85.445
128.000000	85.441
131.500000	85.440
132.000000	85.441
134.000000	85.446
136.000000	85.453
138.000000	85.462
140.000000	85.472
143.000000	85.492
145.000000	85.505
147.500000	85.517
150.000000	85.521
152.500000	85.518
155.000000	85.510
157.500000	85.494
160.000000	85.471
162.500000	85.440
165.000000	85.405
167.500000	85.365
170.000000	85.320
172.500000	85.272
175.000000	85.222
177.500000	85.175
180.000000	85.137
182.500000	85.105
185.000000	85.072
187.500000	85.041
190.000000	85.015
192.500000	84.995
195.000000	84.977
197.500000	84.958
200.000000	84.940
203.000000	84.920
206.000000	84.893
209.000000	84.863
212.000000	84.840
214.000000	84.825
218.000000	84.790
220.000000	84.771
224.000000	84.718
227.000000	84.678
230.000000	84.658
233.000000	84.653
236.000000	84.652
240.000000	84.652
243.000000	84.648
247.000000	84.635
250.000000	84.623
254.000000	84.605
258.000000	84.587
262.000000	84.578
265.000000	84.576
269.000000	84.571
272.000000	84.562
276.000000	84.548
280.000000	84.538
285.000000	84.543
290.000000	84.557
295.000000	84.562
300.000000	84.555
304.000000	84.550
307.000000	84.550
311.000000	84.553
315.000000	84.557
320.000000	84.570
325.000000	84.583
330.000000	84.583
335.000000	84.584
340.000000	84.598
345.000000	84.618
350.000000	84.631
355.000000	84.635
360.000000	84.631
365.000000	84.630
370.000000	84.639
375.000000	84.663
382.000000	84.715
387.000000	84.746
395.000000	84.775
400.000000	84.801
406.000000	84.836
412.000000	84.866
418.000000	84.891
425.000000	84.918
431.000000	84.942
437.000000	84.966
444.000000	84.995
450.000000	85.035
455.000000	85.088
462.000000	85.168
468.000000	85.223
475.000000	85.274
482.000000	85.303
487.000000	85.293
494.000000	85.252
500.000000	85.253
508.000000	85.338
515.000000	85.424
522.000000	85.474
530.000000	85.502
538.000000	85.541
545.000000	85.591
552.000000	85.646
560.000000	85.705
570.000000	85.776
580.000000	85.855
590.000000	85.938
600.000000	86.014
608.000000	86.073
615.000000	86.126
622.000000	86.179
630.000000	86.236
640.000000	86.306
650.000000	86.381
660.000000	86.458
670.000000	86.538
680.000000	86.628
690.000000	86.730
700.000000	86.837
710.000000	86.921
720.000000	86.974
730.000000	87.024
740.000000	87.096
750.000000	87.187
762.000000	87.302
775.000000	87.425
788.000000	87.540
800.000000	87.642
812.000000	87.742
825.000000	87.849
838.000000	87.957
850.000000	88.061
862.000000	88.166
875.000000	88.279
885.000000	88.361
900.000000	88.474
912.000000	88.562
925.000000	88.654
938.000000	88.736
950.000000	88.801
962.000000	88.861
975.000000	88.925
988.000000	88.989
1000.000000	89.051
1015.000000	89.145
1030.000000	89.263
1044.000000	89.385
1060.000000	89.516
1075.000000	89.615
1090.000000	89.684
1106.000000	89.727
1120.000000	89.746
1138.000000	89.740
1150.000000	89.716
1172.000000	89.651
1180.000000	89.625
1206.000000	89.527
1220.000000	89.479
1241.000000	89.426
1250.000000	89.408
1265.000000	89.375
1280.000000	89.333
1315.000000	89.226
1320.000000	89.213
1340.000000	89.172
1360.000000	89.134
1380.000000	89.101
1400.000000	89.069
1430.000000	89.015
1450.000000	88.972
1475.000000	88.907
1500.000000	88.831
1525.000000	88.752
1550.000000	88.684
1575.000000	88.613
1600.000000	88.534
1625.000000	88.473
1650.000000	88.440
1675.000000	88.427
1700.000000	88.426
1725.000000	88.438
1750.000000	88.446
1775.000000	88.432
1800.000000	88.406
1825.000000	88.377
1850.000000	88.352
1875.000000	88.340
1900.000000	88.336
1925.000000	88.344
1950.000000	88.383
1975.000000	88.461
2000.000000	88.569
2030.000000	88.726
2060.000000	88.909
2090.000000	89.104
2120.000000	89.298
2140.000000	89.424
2180.000000	89.679
2200.000000	89.816
2240.000000	90.120
2270.000000	90.378
2300.000000	90.655
2330.000000	90.943
2360.000000	91.238
2400.000000	91.625
2430.000000	91.895
2470.000000	92.225
2500.000000	92.456
2540.000000	92.755
2580.000000	93.046
2620.000000	93.327
2650.000000	93.529
2690.000000	93.785
2720.000000	93.968
2760.000000	94.198
2800.000000	94.409
2850.000000	94.650
2900.000000	94.876
2950.000000	95.109
3000.000000	95.372
3040.000000	95.589
3070.000000	95.738
3110.000000	95.902
3150.000000	96.025
3200.000000	96.125
3250.000000	96.176
3300.000000	96.178
3350.000000	96.124
3400.000000	96.022
3450.000000	95.899
3500.000000	95.788
3550.000000	95.703
3600.000000	95.634
3650.000000	95.566
3700.000000	95.488
3750.000000	95.383
3820.000000	95.167
3870.000000	94.956
3950.000000	94.531
4000.000000	94.224
4060.000000	93.831
4120.000000	93.430
4180.000000	93.044
4250.000000	92.635
4310.000000	92.334
4370.000000	92.085
4440.000000	91.864
4500.000000	91.729
4550.000000	91.651
4620.000000	91.589
4680.000000	91.581
4750.000000	91.633
4820.000000	91.765
4870.000000	91.920
4940.000000	92.237
5000.000000	92.617
5080.000000	93.293
5150.000000	94.047
5220.000000	94.934
5300.000000	96.038
5380.000000	97.105
5450.000000	97.877
5520.000000	98.388
5600.000000	98.562
5700.000000	98.110
5800.000000	96.980
5900.000000	95.359
6000.000000	93.486
6080.000000	91.943
6150.000000	90.624
6220.000000	89.381
6300.000000	88.111
6400.000000	86.839
6500.000000	85.948
6600.000000	85.354
6700.000000	84.921
6800.000000	84.544
6900.000000	84.166
7000.000000	83.797
7100.000000	83.524
7200.000000	83.478
7300.000000	83.718
7400.000000	84.155
7500.000000	84.610
7620.000000	84.960
7750.000000	84.961
7880.000000	84.662
8000.000000	84.473
8120.000000	84.777
8250.000000	85.696
8380.000000	86.733
8500.000000	87.324
8620.000000	87.371
8750.000000	86.878
8850.000000	86.264
9000.000000	85.216
9120.000000	84.375
9250.000000	83.453
9380.000000	82.443
9500.000000	81.347
9620.000000	80.019
9750.000000	78.268
9880.000000	76.226
10000.000000	74.277
10150.000000	72.385
10300.000000	71.825
10440.000000	72.498
10600.000000	74.095
10750.000000	75.926
10900.000000	77.780
11060.000000	79.525
11200.000000	80.670
11380.000000	81.433
11500.000000	81.458
11720.000000	80.511
11800.000000	79.877
12060.000000	77.165
12200.000000	75.809
12410.000000	75.203
12500.000000	75.558
12650.000000	76.551
12800.000000	77.590
13150.000000	79.068
13200.000000	79.155
13400.000000	79.286
13600.000000	79.204
13800.000000	79.030
14000.000000	78.853
14300.000000	78.827
14500.000000	79.139
14750.000000	80.126
15000.000000	81.761
15250.000000	83.430
15500.000000	84.420
15750.000000	84.579
16000.000000	84.288
16250.000000	84.042
16500.000000	84.166
16750.000000	84.633
17000.000000	85.189
17250.000000	85.516
17500.000000	85.340
17750.000000	84.539
18000.000000	83.185
18250.000000	81.627
18500.000000	80.507
18750.000000	80.190
19000.000000	80.305
19250.000000	80.339
19500.000000	80.089
19750.000000	79.640
