* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R Borealis (Ruck), R Borealis (Ruck), R Borealis (Ruck)
* Dated: Jun 30, 2024 11:58:21 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R Borealis (Ruck), R Borealis (Ruck), R Borealis (Ruck)
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	77.488
20.299999	77.677
20.600000	77.862
20.900000	78.044
21.200001	78.224
21.400000	78.341
21.799999	78.566
22.000000	78.673
22.400000	78.877
22.700001	79.021
23.000000	79.159
23.299999	79.291
23.600000	79.421
24.000000	79.594
24.299999	79.725
24.700001	79.899
25.000000	80.025
25.400000	80.176
25.799999	80.303
26.200001	80.415
26.500000	80.501
26.900000	80.634
27.200001	80.752
27.600000	80.931
28.000000	81.112
28.500000	81.311
29.000000	81.467
29.500000	81.601
30.000000	81.742
30.400000	81.865
30.700001	81.959
31.100000	82.080
31.500000	82.193
32.000000	82.325
32.500000	82.453
33.000000	82.585
33.500000	82.716
34.000000	82.840
34.500000	82.949
35.000000	83.044
35.500000	83.131
36.000000	83.217
36.500000	83.303
37.000000	83.390
37.500000	83.473
38.200001	83.590
38.700001	83.674
39.500000	83.805
40.000000	83.879
40.599998	83.959
41.200001	84.034
41.799999	84.107
42.500000	84.185
43.099998	84.248
43.700001	84.312
44.400002	84.392
45.000000	84.460
45.500000	84.512
46.200001	84.577
46.799999	84.630
47.500000	84.690
48.200001	84.748
48.700001	84.787
49.400002	84.838
50.000000	84.881
50.799999	84.934
51.500000	84.976
52.200001	85.022
53.000000	85.083
53.799999	85.145
54.500000	85.193
55.200001	85.235
56.000000	85.278
57.000000	85.330
58.000000	85.376
59.000000	85.412
60.000000	85.445
60.799999	85.470
61.500000	85.491
62.200001	85.509
63.000000	85.532
64.000000	85.565
65.000000	85.600
66.000000	85.630
67.000000	85.651
68.000000	85.669
69.000000	85.688
70.000000	85.704
71.000000	85.715
72.000000	85.722
73.000000	85.729
74.000000	85.738
75.000000	85.747
76.199997	85.755
77.500000	85.767
78.800003	85.784
80.000000	85.797
81.199997	85.805
82.500000	85.808
83.800003	85.811
85.000000	85.811
86.199997	85.812
87.500000	85.816
88.500000	85.824
90.000000	85.836
91.199997	85.842
92.500000	85.846
93.800003	85.855
95.000000	85.865
96.199997	85.873
97.500000	85.873
98.800003	85.866
100.000000	85.857
101.500000	85.849
103.000000	85.844
104.400002	85.838
106.000000	85.824
107.500000	85.806
109.000000	85.786
110.599998	85.767
112.000000	85.757
113.800003	85.749
115.000000	85.743
117.199997	85.725
118.000000	85.717
120.599998	85.697
122.000000	85.688
124.099998	85.675
125.000000	85.669
126.500000	85.656
128.000000	85.640
131.500000	85.604
132.000000	85.601
134.000000	85.595
136.000000	85.589
138.000000	85.579
140.000000	85.573
143.000000	85.578
145.000000	85.580
147.500000	85.579
150.000000	85.589
152.500000	85.608
155.000000	85.626
157.500000	85.643
160.000000	85.656
162.500000	85.665
165.000000	85.669
167.500000	85.671
170.000000	85.678
172.500000	85.687
175.000000	85.688
177.500000	85.668
180.000000	85.637
182.500000	85.616
185.000000	85.603
187.500000	85.585
190.000000	85.557
192.500000	85.518
195.000000	85.468
197.500000	85.412
200.000000	85.358
203.000000	85.304
206.000000	85.266
209.000000	85.238
212.000000	85.216
214.000000	85.203
218.000000	85.167
220.000000	85.138
224.000000	85.071
227.000000	85.038
230.000000	85.026
233.000000	85.022
236.000000	85.008
240.000000	84.983
243.000000	84.973
247.000000	84.968
250.000000	84.963
254.000000	84.954
258.000000	84.945
262.000000	84.932
265.000000	84.919
269.000000	84.907
272.000000	84.907
276.000000	84.921
280.000000	84.939
285.000000	84.943
290.000000	84.924
295.000000	84.910
300.000000	84.901
304.000000	84.886
307.000000	84.870
311.000000	84.853
315.000000	84.848
320.000000	84.856
325.000000	84.870
330.000000	84.888
335.000000	84.903
340.000000	84.907
345.000000	84.910
350.000000	84.912
355.000000	84.913
360.000000	84.925
365.000000	84.945
370.000000	84.971
375.000000	85.001
382.000000	85.030
387.000000	85.042
395.000000	85.066
400.000000	85.087
406.000000	85.108
412.000000	85.123
418.000000	85.140
425.000000	85.175
431.000000	85.219
437.000000	85.264
444.000000	85.291
450.000000	85.303
455.000000	85.332
462.000000	85.398
468.000000	85.444
475.000000	85.477
482.000000	85.510
487.000000	85.539
494.000000	85.580
500.000000	85.613
508.000000	85.664
515.000000	85.712
522.000000	85.762
530.000000	85.827
538.000000	85.902
545.000000	85.970
552.000000	86.043
560.000000	86.125
570.000000	86.177
580.000000	86.184
590.000000	86.210
600.000000	86.248
608.000000	86.287
615.000000	86.333
622.000000	86.387
630.000000	86.446
640.000000	86.509
650.000000	86.570
660.000000	86.647
670.000000	86.739
680.000000	86.823
690.000000	86.898
700.000000	86.974
710.000000	87.056
720.000000	87.140
730.000000	87.220
740.000000	87.295
750.000000	87.369
762.000000	87.464
775.000000	87.579
788.000000	87.700
800.000000	87.813
812.000000	87.927
825.000000	88.048
838.000000	88.160
850.000000	88.254
862.000000	88.343
875.000000	88.440
885.000000	88.513
900.000000	88.611
912.000000	88.683
925.000000	88.761
938.000000	88.837
950.000000	88.898
962.000000	88.946
975.000000	88.991
988.000000	89.042
1000.000000	89.098
1015.000000	89.196
1030.000000	89.348
1044.000000	89.523
1060.000000	89.703
1075.000000	89.812
1090.000000	89.853
1106.000000	89.838
1120.000000	89.794
1138.000000	89.718
1150.000000	89.665
1172.000000	89.594
1180.000000	89.582
1206.000000	89.562
1220.000000	89.554
1241.000000	89.545
1250.000000	89.541
1265.000000	89.527
1280.000000	89.504
1315.000000	89.440
1320.000000	89.435
1340.000000	89.428
1360.000000	89.441
1380.000000	89.463
1400.000000	89.471
1430.000000	89.427
1450.000000	89.365
1475.000000	89.270
1500.000000	89.173
1525.000000	89.099
1550.000000	89.074
1575.000000	89.094
1600.000000	89.121
1625.000000	89.118
1650.000000	89.071
1675.000000	88.991
1700.000000	88.896
1725.000000	88.801
1750.000000	88.730
1775.000000	88.708
1800.000000	88.743
1825.000000	88.820
1850.000000	88.910
1875.000000	88.987
1900.000000	89.038
1925.000000	89.067
1950.000000	89.092
1975.000000	89.142
2000.000000	89.237
2030.000000	89.415
2060.000000	89.625
2090.000000	89.813
2120.000000	89.948
2140.000000	90.018
2180.000000	90.170
2200.000000	90.275
2240.000000	90.551
2270.000000	90.788
2300.000000	91.031
2330.000000	91.273
2360.000000	91.514
2400.000000	91.829
2430.000000	92.049
2470.000000	92.310
2500.000000	92.485
2540.000000	92.707
2580.000000	92.937
2620.000000	93.188
2650.000000	93.388
2690.000000	93.659
2720.000000	93.850
2760.000000	94.079
2800.000000	94.282
2850.000000	94.510
2900.000000	94.704
2950.000000	94.851
3000.000000	94.955
3040.000000	95.012
3070.000000	95.041
3110.000000	95.055
3150.000000	95.037
3200.000000	94.977
3250.000000	94.903
3300.000000	94.841
3350.000000	94.790
3400.000000	94.745
3450.000000	94.721
3500.000000	94.736
3550.000000	94.793
3600.000000	94.873
3650.000000	94.945
3700.000000	94.981
3750.000000	94.966
3820.000000	94.851
3870.000000	94.699
3950.000000	94.333
4000.000000	94.035
4060.000000	93.627
4120.000000	93.188
4180.000000	92.756
4250.000000	92.305
4310.000000	91.984
4370.000000	91.722
4440.000000	91.481
4500.000000	91.320
4550.000000	91.213
4620.000000	91.103
4680.000000	91.049
4750.000000	91.041
4820.000000	91.107
4870.000000	91.205
4940.000000	91.418
5000.000000	91.676
5080.000000	92.139
5150.000000	92.664
5220.000000	93.303
5300.000000	94.153
5380.000000	95.068
5450.000000	95.840
5520.000000	96.492
5600.000000	96.985
5700.000000	97.105
5800.000000	96.652
5900.000000	95.698
6000.000000	94.369
6080.000000	93.141
6150.000000	92.018
6220.000000	90.896
6300.000000	89.650
6400.000000	88.164
6500.000000	86.757
6600.000000	85.432
6700.000000	84.183
6800.000000	82.968
6900.000000	81.699
7000.000000	80.316
7100.000000	78.956
7200.000000	78.100
7300.000000	78.174
7400.000000	78.889
7500.000000	79.702
7620.000000	80.478
7750.000000	81.051
7880.000000	81.473
8000.000000	81.878
8120.000000	82.443
8250.000000	83.347
8380.000000	84.487
8500.000000	85.510
8620.000000	86.241
8750.000000	86.522
8850.000000	86.362
9000.000000	85.624
9120.000000	84.712
9250.000000	83.426
9380.000000	81.762
9500.000000	79.867
9620.000000	77.771
