* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -32.6 dBFS, measurement signal peak level -32.6 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Jun 8, 2023 9:37:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Australis Capra Headband
* Measurement: Australis Capra Headband
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.887	-87.6692
20.299999	79.011	-88.7985
20.600000	79.127	-89.9104
20.900000	79.235	-90.9949
21.200001	79.335	-92.0428
21.400000	79.400	-92.7187
21.799999	79.524	-94.0200
22.000000	79.584	-94.6495
22.400000	79.703	-95.8792
22.700001	79.788	-96.7845
23.000000	79.870	-97.6775
23.299999	79.948	-98.5531
23.600000	80.022	-99.4059
24.000000	80.117	-100.5026
24.299999	80.186	-101.2977
24.700001	80.274	-102.3292
25.000000	80.338	-103.0815
25.400000	80.418	-104.0417
25.799999	80.496	-104.9250
26.200001	80.579	-105.7213
26.500000	80.651	-106.2834
26.900000	80.760	-107.0432
27.200001	80.849	-107.6651
27.600000	80.967	-108.5956
28.000000	81.073	-109.6167
28.500000	81.179	-110.8996
29.000000	81.268	-112.0550
29.500000	81.359	-113.0684
30.000000	81.464	-114.0377
30.400000	81.552	-114.8432
30.700001	81.617	-115.4715
31.100000	81.698	-116.3239
31.500000	81.774	-117.1723
32.000000	81.864	-118.2149
32.500000	81.951	-119.2535
33.000000	82.033	-120.3093
33.500000	82.105	-121.3845
34.000000	82.165	-122.4641
34.500000	82.211	-123.5170
35.000000	82.242	-124.4961
35.500000	82.267	-125.3510
36.000000	82.298	-126.0739
36.500000	82.347	-126.7223
37.000000	82.416	-127.3972
37.500000	82.494	-128.1720
38.200001	82.597	-129.4295
38.700001	82.657	-130.3891
39.500000	82.733	-131.9226
40.000000	82.771	-132.8710
40.599998	82.806	-133.9967
41.200001	82.827	-135.0817
41.799999	82.837	-136.0984
42.500000	82.841	-137.1949
43.099998	82.838	-138.0607
43.700001	82.832	-138.8427
44.400002	82.826	-139.6476
45.000000	82.826	-140.2722
45.500000	82.829	-140.7547
46.200001	82.840	-141.3582
46.799999	82.862	-141.8326
47.500000	82.903	-142.4428
48.200001	82.938	-143.1589
48.700001	82.951	-143.6786
49.400002	82.959	-144.3247
50.000000	82.968	-144.8116
50.799999	82.987	-145.4683
51.500000	83.003	-146.0957
52.200001	83.016	-146.7663
53.000000	83.026	-147.5942
53.799999	83.029	-148.4916
54.500000	83.024	-149.2949
55.200001	83.014	-150.0599
56.000000	83.008	-150.8445
57.000000	83.029	-151.7534
58.000000	83.070	-152.7905
59.000000	83.079	-153.9307
60.000000	83.040	-154.8152
60.799999	83.003	-155.2475
61.500000	82.980	-155.5252
62.200001	82.961	-155.7937
