* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260. Timing signal peak level -31.2 dBFS, measurement signal peak level -31.0 dBFS
* Format: 256k Log Swept Sine, 1 sweep at -20.0 dBFS using an acoustic timing reference
* Dated: Jun 8, 2023 9:39:59 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Australis Capra Headband
* Measurement: Australis Stock Headband
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	76.026	-83.3199
20.299999	76.159	-84.3746
20.600000	76.288	-85.4363
20.900000	76.410	-86.4897
21.200001	76.527	-87.5114
21.400000	76.603	-88.1650
21.799999	76.755	-89.4099
22.000000	76.834	-90.0106
22.400000	76.997	-91.2060
22.700001	77.121	-92.1296
23.000000	77.241	-93.0915
23.299999	77.352	-94.0750
23.600000	77.452	-95.0479
24.000000	77.571	-96.2714
24.299999	77.655	-97.1059
24.700001	77.771	-98.1176
25.000000	77.865	-98.8399
25.400000	77.999	-99.8189
25.799999	78.135	-100.8674
26.200001	78.264	-101.9915
26.500000	78.352	-102.8680
26.900000	78.458	-104.0597
27.200001	78.529	-104.9614
27.600000	78.611	-106.1654
28.000000	78.677	-107.3483
28.500000	78.739	-108.7294
29.000000	78.792	-109.9319
29.500000	78.857	-110.9803
30.000000	78.944	-112.0118
30.400000	79.022	-112.9148
30.700001	79.078	-113.6495
31.100000	79.142	-114.6697
31.500000	79.192	-115.6772
32.000000	79.242	-116.8443
32.500000	79.292	-117.9036
33.000000	79.347	-118.9156
33.500000	79.401	-119.9263
34.000000	79.449	-120.9286
34.500000	79.489	-121.8894
35.000000	79.523	-122.7961
35.500000	79.553	-123.6588
36.000000	79.577	-124.4822
36.500000	79.594	-125.2512
37.000000	79.607	-125.9474
37.500000	79.620	-126.5710
38.200001	79.644	-127.3576
38.700001	79.667	-127.8818
39.500000	79.711	-128.6870
40.000000	79.745	-129.1885
