* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 20, 2023 4:41:05 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CA800
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	59.298	-40.2814
20.299999	59.500	-41.7751
20.600000	59.676	-43.3338
20.900000	59.819	-44.8449
21.200001	59.937	-46.1497
21.400000	60.018	-46.8603
21.799999	60.216	-48.0085
22.000000	60.341	-48.5508
22.400000	60.635	-49.8771
22.700001	60.856	-51.2528
23.000000	61.034	-52.9413
23.299999	61.148	-54.7070
23.600000	61.203	-56.2770
24.000000	61.238	-57.7232
24.299999	61.298	-58.2976
24.700001	61.487	-58.7577
25.000000	61.707	-59.3114
25.400000	62.038	-60.7935
25.799999	62.298	-63.1587
26.200001	62.414	-65.8527
26.500000	62.412	-67.5915
26.900000	62.350	-69.0726
27.200001	62.330	-69.5036
27.600000	62.419	-69.5085
28.000000	62.660	-69.5835
28.500000	63.062	-70.7121
29.000000	63.378	-73.0976
29.500000	63.510	-75.8794
30.000000	63.495	-77.9548
30.400000	63.463	-78.7730
30.700001	63.473	-78.9724
31.100000	63.566	-79.0091
31.500000	63.742	-79.1507
32.000000	64.018	-79.8893
32.500000	64.277	-81.3390
33.000000	64.460	-83.2429
33.500000	64.557	-85.2426
34.000000	64.587	-87.0267
34.500000	64.583	-88.4306
35.000000	64.582	-89.4516
35.500000	64.611	-90.2067
36.000000	64.679	-90.8477
36.500000	64.781	-91.4839
37.000000	64.909	-92.1748
37.500000	65.056	-92.9532
38.200001	65.275	-94.2529
38.700001	65.423	-95.3481
39.500000	65.618	-97.2853
40.000000	65.709	-98.5267
40.599998	65.788	-100.0025
41.200001	65.837	-101.4533
41.799999	65.857	-102.8593
