* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 4, 2023 12:13:22 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: CA800v3 Yaxi
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.881	131.4564
20.299999	65.247	129.3098
20.600000	65.515	126.3220
20.900000	65.606	122.9569
21.200001	65.492	120.0510
21.400000	65.317	118.8440
21.799999	64.897	118.8003
22.000000	64.760	119.8931
22.400000	64.822	123.2261
22.700001	65.188	125.2610
23.000000	65.686	125.8448
23.299999	66.145	124.6044
23.600000	66.442	121.7993
24.000000	66.487	116.9016
24.299999	66.258	113.4639
24.700001	65.669	110.4778
25.000000	65.113	109.8369
25.400000	64.393	110.9308
25.799999	63.888	113.2981
26.200001	63.678	115.8176
26.500000	63.694	117.3787
26.900000	63.900	118.7661
27.200001	64.174	119.1442
27.600000	64.646	118.4467
28.000000	65.144	116.0793
28.500000	65.615	110.9027
29.000000	65.776	104.7008
29.500000	65.657	99.5269
30.000000	65.497	96.6807
30.400000	65.529	95.7607
30.700001	65.689	95.2800
31.100000	66.025	94.2294
31.500000	66.375	92.3818
32.000000	66.683	89.3871
32.500000	66.815	86.7041
33.000000	66.868	85.1505
33.500000	66.966	84.6353
34.000000	67.149	84.4530
34.500000	67.356	84.0531
35.000000	67.508	83.4791
35.500000	67.593	83.1794
36.000000	67.679	83.4410
36.500000	67.845	83.9895
37.000000	68.091	84.1511
37.500000	68.332	83.4545
38.200001	68.502	81.3884
38.700001	68.489	79.8313
39.500000	68.355	77.9215
40.000000	68.257	76.9858
40.599998	68.141	76.0454
41.200001	68.061	75.3020
41.799999	68.050	74.5059
42.500000	68.088	73.1865
43.099998	68.119	72.0022
43.700001	68.191	71.1658
44.400002	68.407	70.3124
45.000000	68.657	69.0791
45.500000	68.828	67.6702
46.200001	68.957	65.7354
46.799999	68.996	64.6646
47.500000	69.032	64.2571
48.200001	69.114	64.4924
48.700001	69.213	64.8098
49.400002	69.393	65.0542
50.000000	69.543	64.8489
50.799999	69.672	64.0399
51.500000	69.706	63.1288
52.200001	69.693	62.2520
53.000000	69.668	61.3750
53.799999	69.678	60.5037
54.500000	69.718	59.5667
55.200001	69.758	58.4883
56.000000	69.786	57.3802
57.000000	69.842	56.5726
58.000000	69.979	56.1179
59.000000	70.120	55.3109
60.000000	70.127	54.4657
60.799999	70.067	54.3553
61.500000	70.037	54.6217
62.200001	70.055	54.9338
63.000000	70.129	55.0615
64.000000	70.260	54.6564
65.000000	70.381	53.7784
66.000000	70.488	52.8544
67.000000	70.606	52.0020
68.000000	70.718	51.2002
69.000000	70.805	50.5697
70.000000	70.878	50.1909
71.000000	70.957	49.9225
72.000000	71.042	49.5122
73.000000	71.116	48.8154
74.000000	71.162	47.8292
75.000000	71.169	46.6938
76.199997	71.145	45.4277
77.500000	71.129	44.3025
78.800003	71.143	43.2803
80.000000	71.157	42.3712
81.199997	71.160	41.6399
82.500000	71.170	41.0950
83.800003	71.196	40.6543
85.000000	71.223	40.2686
86.199997	71.250	39.9133
87.500000	71.286	39.5532
88.500000	71.322	39.2714
90.000000	71.392	38.8241
91.199997	71.459	38.4385
92.500000	71.533	37.9927
93.800003	71.599	37.5167
95.000000	71.643	37.0336
96.199997	71.663	36.4995
97.500000	71.657	35.8833
98.800003	71.632	35.2828
100.000000	71.611	34.7859
101.500000	71.609	34.2321
103.000000	71.637	33.7330
104.400002	71.683	33.3308
106.000000	71.747	32.8774
107.500000	71.795	32.3918
109.000000	71.817	31.9205
110.599998	71.836	31.5562
112.000000	71.873	31.2802
113.800003	71.935	30.8878
115.000000	71.977	30.6553
117.199997	72.058	30.2767
118.000000	72.089	30.1146
120.599998	72.182	29.3010
122.000000	72.218	28.7197
124.099998	72.264	27.8566
125.000000	72.284	27.5164
126.500000	72.317	27.0005
128.000000	72.348	26.5441
131.500000	72.424	25.5140
132.000000	72.436	25.3513
134.000000	72.489	24.6451
136.000000	72.542	23.8820
138.000000	72.585	23.1237
140.000000	72.612	22.4060
143.000000	72.630	21.3560
145.000000	72.631	20.6443
147.500000	72.624	19.8010
150.000000	72.615	19.0919
152.500000	72.607	18.5430
155.000000	72.601	18.1337
157.500000	72.598	17.7981
160.000000	72.602	17.4337
162.500000	72.620	16.9476
165.000000	72.645	16.3147
167.500000	72.667	15.6483
170.000000	72.688	15.0251
172.500000	72.706	14.4270
175.000000	72.713	13.8190
177.500000	72.706	13.1882
180.000000	72.686	12.5641
182.500000	72.661	11.9763
185.000000	72.629	11.4503
187.500000	72.588	11.0256
190.000000	72.540	10.7600
192.500000	72.498	10.6704
195.000000	72.474	10.6848
197.500000	72.469	10.6979
200.000000	72.481	10.6501
203.000000	72.515	10.5197
206.000000	72.556	10.3385
209.000000	72.590	10.0845
212.000000	72.618	9.7350
214.000000	72.638	9.4656
218.000000	72.677	8.9260
220.000000	72.694	8.6760
224.000000	72.721	8.2061
227.000000	72.738	7.8511
230.000000	72.754	7.4738
233.000000	72.766	7.0903
236.000000	72.771	6.7256
240.000000	72.781	6.2488
243.000000	72.804	5.8434
247.000000	72.841	5.2347
250.000000	72.859	4.7750
254.000000	72.877	4.2114
258.000000	72.892	3.6979
262.000000	72.903	3.1821
265.000000	72.913	2.7911
269.000000	72.929	2.2736
272.000000	72.945	1.8781
276.000000	72.964	1.3328
280.000000	72.969	0.7927
285.000000	72.956	0.1786
290.000000	72.942	-0.4089
295.000000	72.931	-0.9762
300.000000	72.913	-1.5164
304.000000	72.886	-1.9252
307.000000	72.864	-2.2109
311.000000	72.843	-2.5750
315.000000	72.834	-2.9451
320.000000	72.829	-3.4282
325.000000	72.819	-3.9015
330.000000	72.806	-4.3513
335.000000	72.793	-4.7958
340.000000	72.782	-5.2485
345.000000	72.769	-5.6973
350.000000	72.752	-6.1169
355.000000	72.733	-6.5100
360.000000	72.715	-6.8838
365.000000	72.698	-7.2444
370.000000	72.685	-7.6119
375.000000	72.672	-7.9800
382.000000	72.649	-8.4586
387.000000	72.631	-8.8119
395.000000	72.602	-9.4602
400.000000	72.580	-9.9191
406.000000	72.551	-10.5103
412.000000	72.518	-11.0472
