* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 5, 2023 8:34:40 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: V-Moda Crossfade
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	74.031	165.7893
20.299999	74.292	164.2468
20.600000	74.544	162.6125
20.900000	74.780	160.9158
21.200001	75.001	159.1990
21.400000	75.142	158.0587
21.799999	75.413	155.7820
22.000000	75.543	154.6347
22.400000	75.792	152.3015
22.700001	75.962	150.5245
23.000000	76.113	148.7648
23.299999	76.250	147.0776
23.600000	76.377	145.5127
24.000000	76.552	143.6462
24.299999	76.701	142.3674
24.700001	76.930	140.6976
25.000000	77.119	139.3799
25.400000	77.374	137.4686
25.799999	77.614	135.4128
26.200001	77.828	133.3254
26.500000	77.975	131.8062
26.900000	78.161	129.8772
27.200001	78.299	128.4922
27.600000	78.480	126.6808
28.000000	78.653	124.8746
28.500000	78.846	122.6336
29.000000	79.010	120.4909
29.500000	79.153	118.5043
30.000000	79.286	116.6603
30.400000	79.387	115.2596
30.700001	79.462	114.2437
31.100000	79.561	112.9310
31.500000	79.664	111.6497
32.000000	79.803	110.0279
32.500000	79.948	108.2958
33.000000	80.083	106.4289
33.500000	80.199	104.5125
34.000000	80.305	102.6635
34.500000	80.419	100.8974
35.000000	80.549	99.1028
35.500000	80.679	97.1723
36.000000	80.785	95.1371
36.500000	80.856	93.1534
37.000000	80.901	91.3651
37.500000	80.938	89.7975
38.200001	80.990	87.8487
38.700001	81.022	86.5868
39.500000	81.074	84.8193
40.000000	81.123	83.7779
40.599998	81.192	82.3751
41.200001	81.243	80.7258
41.799999	81.252	78.9708
42.500000	81.221	77.0511
43.099998	81.187	75.5907
43.700001	81.165	74.2622
44.400002	81.166	72.8010
45.000000	81.187	71.5458
45.500000	81.204	70.4744
46.200001	81.204	69.0626
46.799999	81.182	68.1558
47.500000	81.166	67.5839
48.200001	81.197	67.3520
48.700001	81.247	67.2420
49.400002	81.346	67.0475
50.000000	81.454	66.7539
50.799999	81.613	65.9567
51.500000	81.728	64.7956
52.200001	81.794	63.3796
53.000000	81.828	61.7411
53.799999	81.854	60.1823
54.500000	81.887	58.8533
55.200001	81.929	57.5549
56.000000	81.984	56.1449
57.000000	82.060	54.5321
58.000000	82.133	53.0613
59.000000	82.178	51.6531
60.000000	82.167	50.3463
60.799999	82.121	49.4987
61.500000	82.074	48.9139
62.200001	82.035	48.4052
63.000000	82.002	47.8503
64.000000	81.985	47.2077
65.000000	82.009	46.6497
66.000000	82.084	46.0976
67.000000	82.192	45.4733
68.000000	82.316	44.7877
69.000000	82.453	44.0252
70.000000	82.596	43.0738
71.000000	82.728	41.8588
72.000000	82.832	40.4299
73.000000	82.902	38.9182
74.000000	82.947	37.4812
75.000000	82.985	36.1680
76.199997	83.027	34.6470
77.500000	83.044	33.0193
78.800003	83.034	31.4973
80.000000	83.021	30.1796
81.199997	83.019	28.8449
82.500000	83.009	27.3165
83.800003	82.954	25.8712
85.000000	82.852	24.8293
86.199997	82.712	24.1672
87.500000	82.544	23.8829
88.500000	82.438	23.9531
90.000000	82.396	24.1751
91.199997	82.467	24.0538
92.500000	82.603	23.5547
93.800003	82.762	22.7458
95.000000	82.903	21.7320
96.199997	83.024	20.4238
97.500000	83.119	18.6078
98.800003	83.153	16.4919
100.000000	83.121	14.6162
101.500000	83.008	12.9006
103.000000	82.827	12.2544
104.400002	82.625	12.5883
106.000000	82.400	13.3430
107.500000	82.180	13.6729
109.000000	81.969	13.7026
110.599998	81.860	13.6592
112.000000	81.903	13.5813
113.800003	82.077	13.4525
115.000000	82.208	13.3456
117.199997	82.394	12.9270
118.000000	82.443	12.6721
120.599998	82.608	11.4534
122.000000	82.714	10.5725
124.099998	82.859	9.2162
125.000000	82.908	8.6846
126.500000	82.969	7.8558
128.000000	83.015	7.0434
131.500000	83.137	4.9656
132.000000	83.158	4.6382
134.000000	83.233	3.2623
136.000000	83.277	1.7739
138.000000	83.277	0.2303
140.000000	83.258	-1.1396
143.000000	83.286	-2.8156
145.000000	83.318	-3.9106
147.500000	83.320	-5.3638
150.000000	83.284	-6.8846
152.500000	83.240	-8.2886
155.000000	83.218	-9.4141
157.500000	83.233	-10.4742
160.000000	83.262	-11.8126
162.500000	83.276	-13.4723
165.000000	83.274	-15.3574
167.500000	83.262	-17.3602
170.000000	83.230	-19.2899
172.500000	83.166	-20.9723
175.000000	83.071	-22.4678
177.500000	82.952	-23.9838
180.000000	82.816	-25.5978
182.500000	82.662	-27.2230
185.000000	82.483	-28.7026
187.500000	82.285	-29.9138
190.000000	82.088	-30.8491
192.500000	81.910	-31.5760
195.000000	81.757	-32.1764
197.500000	81.629	-32.7396
200.000000	81.520	-33.3547
203.000000	81.402	-34.2485
206.000000	81.278	-35.2986
209.000000	81.137	-36.3792
212.000000	80.977	-37.3582
214.000000	80.865	-37.9348
218.000000	80.648	-39.0016
220.000000	80.544	-39.5498
224.000000	80.329	-40.7280
227.000000	80.148	-41.6311
230.000000	79.943	-42.4830
233.000000	79.719	-43.2380
236.000000	79.487	-43.8477
240.000000	79.172	-44.2832
243.000000	78.947	-44.2363
247.000000	78.706	-43.8350
250.000000	78.586	-43.5525
254.000000	78.483	-43.5498
258.000000	78.383	-44.0436
262.000000	78.244	-44.8066
265.000000	78.111	-45.4070
269.000000	77.908	-46.1583
272.000000	77.738	-46.6711
276.000000	77.489	-47.2625
280.000000	77.213	-47.6663
285.000000	76.842	-47.7269
290.000000	76.471	-47.1456
295.000000	76.159	-45.9660
300.000000	75.969	-44.4894
304.000000	75.914	-43.4579
307.000000	75.915	-42.9730
311.000000	75.936	-42.8364
315.000000	75.934	-43.2217
320.000000	75.859	-44.1042
325.000000	75.700	-45.0287
330.000000	75.482	-45.7568
335.000000	75.231	-46.2214
340.000000	74.963	-46.4279
345.000000	74.690	-46.4062
350.000000	74.420	-46.2017
355.000000	74.160	-45.8522
360.000000	73.911	-45.3846
365.000000	73.670	-44.8225
370.000000	73.437	-44.1871
375.000000	73.214	-43.4926
382.000000	72.917	-42.4312
387.000000	72.717	-41.6133
395.000000	72.417	-40.2138
400.000000	72.242	-39.2862
406.000000	72.042	-38.1252
412.000000	71.857	-36.9167
418.000000	71.684	-35.6715
425.000000	71.495	-34.2141
431.000000	71.344	-32.9651
437.000000	71.207	-31.6892
444.000000	71.060	-30.1393
450.000000	70.938	-28.7548
455.000000	70.839	-27.5666
462.000000	70.706	-25.8706
468.000000	70.594	-24.4471
475.000000	70.466	-22.8678
482.000000	70.356	-21.3172
487.000000	70.290	-20.1879
494.000000	70.214	-18.5656
500.000000	70.163	-17.1443
508.000000	70.113	-15.2090
515.000000	70.083	-13.5002
522.000000	70.066	-11.8188
530.000000	70.062	-9.9359
538.000000	70.072	-8.0818
545.000000	70.090	-6.4995
552.000000	70.118	-4.9602
560.000000	70.160	-3.2308
570.000000	70.229	-1.0936
580.000000	70.315	0.9839
590.000000	70.416	2.9844
600.000000	70.532	4.9181
608.000000	70.636	6.4194
615.000000	70.734	7.6963
622.000000	70.841	8.9301
630.000000	70.971	10.2751
640.000000	71.142	11.8489
650.000000	71.316	13.3158
660.000000	71.494	14.7092
670.000000	71.681	16.0503
680.000000	71.879	17.3280
690.000000	72.085	18.5212
700.000000	72.297	19.6213
710.000000	72.513	20.6283
720.000000	72.734	21.5402
730.000000	72.958	22.3502
740.000000	73.182	23.0594
750.000000	73.405	23.6778
762.000000	73.671	24.3120
775.000000	73.956	24.8707
788.000000	74.236	25.2972
800.000000	74.488	25.5791
812.000000	74.734	25.7622
825.000000	74.989	25.8651
838.000000	75.234	25.8940
850.000000	75.454	25.8632
862.000000	75.668	25.7733
875.000000	75.890	25.6119
885.000000	76.055	25.4492
900.000000	76.293	25.1490
912.000000	76.475	24.8629
925.000000	76.664	24.5132
938.000000	76.843	24.1269
950.000000	77.002	23.7416
962.000000	77.154	23.3332
975.000000	77.310	22.8698
988.000000	77.457	22.3894
1000.000000	77.585	21.9359
1015.000000	77.737	21.3571
1030.000000	77.881	20.7618
1044.000000	78.008	20.1893
1060.000000	78.143	19.5161
1075.000000	78.260	18.8715
1090.000000	78.367	18.2204
1106.000000	78.469	17.5311
1120.000000	78.549	16.9443
1138.000000	78.641	16.2205
1150.000000	78.695	15.7607
1172.000000	78.785	14.9922
1180.000000	78.817	14.7368
1206.000000	78.922	13.9142
1220.000000	78.974	13.4427
1241.000000	79.037	12.7219
1250.000000	79.057	12.4280
1265.000000	79.082	11.9870
1280.000000	79.101	11.6304
1315.000000	79.152	11.1583
1320.000000	79.163	11.1228
1340.000000	79.227	10.9902
1360.000000	79.314	10.7583
1380.000000	79.404	10.3329
1400.000000	79.477	9.7343
1430.000000	79.533	8.7352
1450.000000	79.538	8.1403
1475.000000	79.519	7.5624
1500.000000	79.486	7.1896
1525.000000	79.447	7.0079
1550.000000	79.411	6.9954
1575.000000	79.381	7.1318
1600.000000	79.361	7.3978
1625.000000	79.351	7.7767
1650.000000	79.354	8.2529
1675.000000	79.372	8.8086
1700.000000	79.405	9.4261
1725.000000	79.456	10.0930
1750.000000	79.526	10.7917
1775.000000	79.616	11.4920
1800.000000	79.723	12.1628
1825.000000	79.844	12.7858
1850.000000	79.975	13.3574
1875.000000	80.114	13.8827
1900.000000	80.259	14.3685
1925.000000	80.410	14.8207
1950.000000	80.566	15.2446
1975.000000	80.730	15.6467
2000.000000	80.901	16.0319
2030.000000	81.121	16.4659
2060.000000	81.358	16.8503
2090.000000	81.612	17.1685
2120.000000	81.888	17.4047
2140.000000	82.085	17.4932
2180.000000	82.511	17.3853
2200.000000	82.733	17.1335
2240.000000	83.169	16.1382
2270.000000	83.461	14.9464
2300.000000	83.694	13.4733
2330.000000	83.861	11.9457
2360.000000	83.976	10.5956
2400.000000	84.106	9.1391
2430.000000	84.197	8.1650
2470.000000	84.292	6.9792
2500.000000	84.343	6.3093
2540.000000	84.423	5.8400
2580.000000	84.565	5.7044
2620.000000	84.784	5.5486
2650.000000	84.984	5.2358
2690.000000	85.264	4.4658
2720.000000	85.468	3.6464
2760.000000	85.717	2.3184
2800.000000	85.934	0.8245
2850.000000	86.163	-1.1399
2900.000000	86.352	-3.1028
2950.000000	86.508	-4.9702
3000.000000	86.647	-6.6198
3040.000000	86.774	-7.7330
3070.000000	86.895	-8.5024
3110.000000	87.099	-9.6242
3150.000000	87.336	-11.0774
3200.000000	87.617	-13.5260
3250.000000	87.824	-16.4673
3300.000000	87.954	-19.4634
3350.000000	88.050	-22.3283
3400.000000	88.142	-25.1630
3450.000000	88.233	-28.1442
3500.000000	88.308	-31.4039
3550.000000	88.346	-34.9946
3600.000000	88.323	-38.8822
3650.000000	88.219	-42.9513
3700.000000	88.024	-47.0326
3750.000000	87.737	-50.9457
3820.000000	87.190	-55.8329
3870.000000	86.713	-58.6957
3950.000000	85.858	-61.8564
4000.000000	85.327	-62.9904
4060.000000	84.742	-63.8282
4120.000000	84.216	-64.3947
4180.000000	83.729	-64.7952
4250.000000	83.203	-65.1072
4310.000000	82.780	-65.3462
4370.000000	82.367	-65.6109
