* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 5, 2023 8:40:37 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: V-Moda Crossfade Wireless
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	56.157	-118.0833
20.299999	56.493	-119.0698
20.600000	56.818	-119.9946
20.900000	57.135	-120.8208
21.200001	57.454	-121.5309
21.400000	57.670	-121.9449
21.799999	58.119	-122.6914
22.000000	58.350	-123.0577
22.400000	58.821	-123.8419
22.700001	59.171	-124.5135
23.000000	59.507	-125.2536
23.299999	59.823	-126.0299
23.600000	60.117	-126.7906
24.000000	60.479	-127.6811
24.299999	60.737	-128.2054
24.700001	61.081	-128.7016
25.000000	61.349	-128.9706
25.400000	61.721	-129.3068
25.799999	62.103	-129.7549
26.200001	62.472	-130.3869
26.500000	62.731	-130.9642
26.900000	63.047	-131.7903
27.200001	63.266	-132.3965
27.600000	63.545	-133.1421
28.000000	63.819	-133.8270
28.500000	64.165	-134.6745
29.000000	64.510	-135.5878
29.500000	64.853	-136.5809
30.000000	65.193	-137.6542
30.400000	65.461	-138.5844
30.700001	65.656	-139.3251
31.100000	65.905	-140.3455
31.500000	66.139	-141.3442
32.000000	66.422	-142.4692
32.500000	66.715	-143.4397
33.000000	67.028	-144.3696
33.500000	67.352	-145.4019
34.000000	67.664	-146.5866
34.500000	67.948	-147.8518
35.000000	68.207	-149.0768
35.500000	68.456	-150.1970
36.000000	68.710	-151.2501
36.500000	68.975	-152.3431
37.000000	69.240	-153.5776
37.500000	69.489	-154.9801
38.200001	69.791	-157.0792
38.700001	69.977	-158.5214
39.500000	70.263	-160.5741
40.000000	70.450	-161.7367
40.599998	70.685	-163.0957
41.200001	70.925	-164.4710
41.799999	71.162	-165.9003
42.500000	71.420	-167.6692
43.099998	71.610	-169.2572
43.700001	71.763	-170.8456
44.400002	71.902	-172.6093
45.000000	71.998	-174.0229
45.500000	72.069	-175.1483
46.200001	72.158	-176.6689
46.799999	72.233	-177.9365
47.500000	72.326	-179.4118
48.200001	72.425	179.0646
48.700001	72.493	177.9497
49.400002	72.576	176.4377
50.000000	72.639	175.2879
50.799999	72.729	174.0513
51.500000	72.829	173.1971
52.200001	72.952	172.4299
53.000000	73.109	171.4977
53.799999	73.264	170.3738
54.500000	73.381	169.2086
55.200001	73.478	167.9044
56.000000	73.572	166.2583
57.000000	73.672	163.9978
58.000000	73.766	161.5143
59.000000	73.804	158.8777
60.000000	73.749	156.9753
60.799999	73.732	156.3967
61.500000	73.790	156.2049
62.200001	73.886	155.9448
63.000000	73.988	155.5104
64.000000	74.075	154.9396
65.000000	74.123	154.3900
66.000000	74.147	153.8242
67.000000	74.169	153.1482
68.000000	74.198	152.2487
69.000000	74.228	151.1467
70.000000	74.260	149.9598
71.000000	74.296	148.7620
72.000000	74.329	147.5869
73.000000	74.346	146.4923
74.000000	74.345	145.5742
75.000000	74.340	144.8526
76.199997	74.347	144.0800
77.500000	74.360	143.1526
78.800003	74.358	142.0995
80.000000	74.334	141.0823
81.199997	74.287	140.0702
82.500000	74.205	139.0368
83.800003	74.095	138.1323
85.000000	73.969	137.4554
86.199997	73.824	137.0219
87.500000	73.662	136.9421
88.500000	73.558	137.1669
90.000000	73.469	137.7595
91.199997	73.463	138.2059
92.500000	73.499	138.4954
93.800003	73.557	138.5532
95.000000	73.611	138.4376
96.199997	73.654	138.2097
97.500000	73.686	137.8829
98.800003	73.706	137.4741
100.000000	73.716	137.0084
101.500000	73.713	136.3881
103.000000	73.695	135.8952
104.400002	73.665	135.6172
106.000000	73.602	135.4478
107.500000	73.511	135.3210
109.000000	73.411	135.1343
110.599998	73.344	134.8435
112.000000	73.343	134.5350
113.800003	73.379	134.3216
115.000000	73.390	134.5029
117.199997	73.337	135.6488
118.000000	73.305	136.2175
120.599998	73.261	137.3425
122.000000	73.270	137.0952
124.099998	73.298	136.1255
125.000000	73.312	135.6754
126.500000	73.332	134.9890
128.000000	73.347	134.3868
131.500000	73.397	133.3011
132.000000	73.411	133.2427
134.000000	73.489	133.3695
136.000000	73.584	133.8035
138.000000	73.641	134.1030
140.000000	73.637	134.1429
143.000000	73.560	134.0568
145.000000	73.491	134.0850
147.500000	73.464	134.0289
150.000000	73.539	133.6595
152.500000	73.636	133.5668
155.000000	73.678	134.1166
157.500000	73.703	134.3366
160.000000	73.757	133.2970
162.500000	73.825	131.8458
165.000000	73.874	131.3224
167.500000	73.911	131.7181
170.000000	73.946	132.1012
172.500000	73.983	132.0499
175.000000	74.021	131.6872
177.500000	74.052	131.2184
180.000000	74.072	130.7460
182.500000	74.090	130.3091
185.000000	74.105	129.8951
187.500000	74.116	129.4785
190.000000	74.123	129.0660
192.500000	74.129	128.7010
195.000000	74.132	128.4073
197.500000	74.132	128.1464
200.000000	74.134	127.8530
203.000000	74.157	127.4014
206.000000	74.201	126.8344
209.000000	74.242	126.1676
212.000000	74.264	125.4001
214.000000	74.267	124.8513
218.000000	74.259	123.7699
220.000000	74.251	123.2570
224.000000	74.221	122.2488
227.000000	74.177	121.4547
230.000000	74.116	120.6085
233.000000	74.048	119.7428
236.000000	73.980	118.8839
240.000000	73.874	117.7372
243.000000	73.770	116.8859
247.000000	73.596	115.8912
250.000000	73.446	115.3509
254.000000	73.240	114.9456
258.000000	73.046	114.7867
262.000000	72.870	114.7284
265.000000	72.755	114.7526
269.000000	72.634	114.9086
272.000000	72.576	115.0551
276.000000	72.540	115.1048
280.000000	72.523	114.8366
285.000000	72.480	114.0410
290.000000	72.381	112.9295
295.000000	72.219	111.7611
300.000000	71.986	110.7427
304.000000	71.752	110.1895
307.000000	71.560	109.9926
311.000000	71.308	110.0400
315.000000	71.084	110.3812
320.000000	70.862	110.9779
325.000000	70.691	111.4511
330.000000	70.539	111.6758
335.000000	70.376	111.7326
340.000000	70.193	111.7469
345.000000	69.991	111.8083
350.000000	69.779	111.9623
355.000000	69.562	112.2049
360.000000	69.343	112.5255
365.000000	69.119	112.9366
370.000000	68.892	113.4438
375.000000	68.666	114.0421
382.000000	68.360	115.0212
387.000000	68.148	115.8177
395.000000	67.817	117.2310
400.000000	67.614	118.1903
406.000000	67.375	119.4257
412.000000	67.146	120.7538
418.000000	66.926	122.1557
425.000000	66.683	123.8373
431.000000	66.488	125.3235
437.000000	66.305	126.8719
444.000000	66.105	128.7431
450.000000	65.945	130.3844
455.000000	65.818	131.7755
462.000000	65.648	133.7582
468.000000	65.512	135.4812
475.000000	65.368	137.5114
482.000000	65.238	139.5688
487.000000	65.151	141.0541
494.000000	65.038	143.1564
500.000000	64.950	144.9894
508.000000	64.846	147.4664
515.000000	64.769	149.6408
522.000000	64.700	151.8212
530.000000	64.630	154.3277
538.000000	64.575	156.8373
545.000000	64.543	159.0206
552.000000	64.523	161.1920
560.000000	64.509	163.6786
570.000000	64.508	166.8156
580.000000	64.523	169.9619
590.000000	64.555	173.0854
600.000000	64.606	176.1776
608.000000	64.665	178.6251
615.000000	64.730	-179.2554
622.000000	64.805	-177.1609
630.000000	64.900	-174.8131
640.000000	65.029	-171.9696
650.000000	65.164	-169.2107
660.000000	65.303	-166.4890
670.000000	65.452	-163.7872
680.000000	65.614	-161.1141
690.000000	65.794	-158.4825
700.000000	65.988	-155.9101
710.000000	66.196	-153.4280
720.000000	66.414	-151.0574
730.000000	66.639	-148.7894
740.000000	66.869	-146.6110
750.000000	67.102	-144.5237
762.000000	67.387	-142.1452
775.000000	67.698	-139.7149
788.000000	68.010	-137.4306
800.000000	68.296	-135.4561
812.000000	68.580	-133.6029
825.000000	68.882	-131.7021
838.000000	69.178	-129.8893
850.000000	69.444	-128.2983
862.000000	69.703	-126.7949
875.000000	69.976	-125.2566
885.000000	70.181	-124.1236
900.000000	70.476	-122.4892
912.000000	70.700	-121.2316
925.000000	70.932	-119.9082
938.000000	71.155	-118.6171
950.000000	71.355	-117.4561
