* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L DCA E3, L DCA E3, L DCA E3
* Dated: Jun 30, 2024 11:59:43 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L DCA E3, L DCA E3, L DCA E3
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	79.768
20.299999	79.905
20.600000	80.023
20.900000	80.119
21.200001	80.196
21.400000	80.241
21.799999	80.323
22.000000	80.362
22.400000	80.436
22.700001	80.488
23.000000	80.536
23.299999	80.584
23.600000	80.634
24.000000	80.701
24.299999	80.749
24.700001	80.797
25.000000	80.815
25.400000	80.815
25.799999	80.796
26.200001	80.778
26.500000	80.777
26.900000	80.799
27.200001	80.834
27.600000	80.900
28.000000	80.978
28.500000	81.080
29.000000	81.170
29.500000	81.229
30.000000	81.249
30.400000	81.246
30.700001	81.244
31.100000	81.259
31.500000	81.302
32.000000	81.385
32.500000	81.465
33.000000	81.512
33.500000	81.530
34.000000	81.540
34.500000	81.555
35.000000	81.571
35.500000	81.575
36.000000	81.565
36.500000	81.550
37.000000	81.548
37.500000	81.570
38.200001	81.650
38.700001	81.740
39.500000	81.910
40.000000	82.005
40.599998	82.089
41.200001	82.147
41.799999	82.195
42.500000	82.253
43.099998	82.289
43.700001	82.303
44.400002	82.308
45.000000	82.325
45.500000	82.349
46.200001	82.381
46.799999	82.404
47.500000	82.438
48.200001	82.487
48.700001	82.525
49.400002	82.574
50.000000	82.615
50.799999	82.669
51.500000	82.710
52.200001	82.731
53.000000	82.722
53.799999	82.688
54.500000	82.647
55.200001	82.596
56.000000	82.524
57.000000	82.422
58.000000	82.332
59.000000	82.294
60.000000	82.317
60.799999	82.347
61.500000	82.359
62.200001	82.357
63.000000	82.345
64.000000	82.328
65.000000	82.306
66.000000	82.282
67.000000	82.271
68.000000	82.283
69.000000	82.323
70.000000	82.383
71.000000	82.446
72.000000	82.496
73.000000	82.531
74.000000	82.553
75.000000	82.564
76.199997	82.568
77.500000	82.567
78.800003	82.559
80.000000	82.545
81.199997	82.527
82.500000	82.502
83.800003	82.467
85.000000	82.422
86.199997	82.367
87.500000	82.295
88.500000	82.231
90.000000	82.124
91.199997	82.034
92.500000	81.936
93.800003	81.837
95.000000	81.747
96.199997	81.656
97.500000	81.551
98.800003	81.440
100.000000	81.331
101.500000	81.194
103.000000	81.058
104.400002	80.927
106.000000	80.774
107.500000	80.631
109.000000	80.496
110.599998	80.366
112.000000	80.267
113.800003	80.170
115.000000	80.122
117.199997	80.058
118.000000	80.034
120.599998	79.881
122.000000	79.787
124.099998	79.697
125.000000	79.666
126.500000	79.601
128.000000	79.513
131.500000	79.292
132.000000	79.269
134.000000	79.213
136.000000	79.211
138.000000	79.244
140.000000	79.286
143.000000	79.290
145.000000	79.230
147.500000	79.128
150.000000	79.067
152.500000	79.054
155.000000	79.051
157.500000	79.029
160.000000	78.994
162.500000	78.952
165.000000	78.909
167.500000	78.892
170.000000	78.883
172.500000	78.849
175.000000	78.786
177.500000	78.726
180.000000	78.697
182.500000	78.707
185.000000	78.738
187.500000	78.772
190.000000	78.804
192.500000	78.834
195.000000	78.862
197.500000	78.895
200.000000	78.938
203.000000	78.992
206.000000	79.040
209.000000	79.079
212.000000	79.113
214.000000	79.135
218.000000	79.185
220.000000	79.210
224.000000	79.262
227.000000	79.305
230.000000	79.345
233.000000	79.383
236.000000	79.428
240.000000	79.512
243.000000	79.589
247.000000	79.683
250.000000	79.734
254.000000	79.792
258.000000	79.861
262.000000	79.934
265.000000	79.982
269.000000	80.032
272.000000	80.060
276.000000	80.096
280.000000	80.137
285.000000	80.194
290.000000	80.249
295.000000	80.295
300.000000	80.298
304.000000	80.279
307.000000	80.275
311.000000	80.289
315.000000	80.308
320.000000	80.331
325.000000	80.353
330.000000	80.356
335.000000	80.345
340.000000	80.347
345.000000	80.362
350.000000	80.372
355.000000	80.363
360.000000	80.347
365.000000	80.338
370.000000	80.336
375.000000	80.342
382.000000	80.343
387.000000	80.323
395.000000	80.282
400.000000	80.280
