* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R DCA E3, R DCA E3, R DCA E3
* Dated: Jun 30, 2024 11:59:57 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R DCA E3, R DCA E3, R DCA E3
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	79.999
20.299999	80.079
20.600000	80.159
20.900000	80.245
21.200001	80.344
21.400000	80.418
21.799999	80.578
22.000000	80.658
22.400000	80.808
22.700001	80.909
23.000000	81.006
23.299999	81.115
23.600000	81.248
24.000000	81.473
24.299999	81.671
24.700001	81.940
25.000000	82.119
25.400000	82.301
25.799999	82.412
26.200001	82.466
26.500000	82.485
26.900000	82.496
27.200001	82.498
27.600000	82.493
28.000000	82.480
28.500000	82.470
29.000000	82.485
29.500000	82.521
30.000000	82.542
30.400000	82.529
30.700001	82.500
31.100000	82.446
31.500000	82.388
32.000000	82.328
32.500000	82.283
33.000000	82.248
33.500000	82.221
34.000000	82.208
34.500000	82.212
35.000000	82.232
35.500000	82.267
36.000000	82.314
36.500000	82.372
37.000000	82.435
37.500000	82.500
38.200001	82.592
38.700001	82.659
39.500000	82.760
40.000000	82.811
40.599998	82.861
41.200001	82.907
41.799999	82.952
42.500000	83.010
43.099998	83.064
43.700001	83.125
44.400002	83.202
45.000000	83.269
45.500000	83.322
46.200001	83.393
46.799999	83.447
47.500000	83.497
48.200001	83.529
48.700001	83.540
49.400002	83.538
50.000000	83.517
50.799999	83.459
51.500000	83.381
52.200001	83.290
53.000000	83.186
53.799999	83.096
54.500000	83.035
55.200001	82.996
56.000000	82.987
57.000000	83.026
58.000000	83.105
59.000000	83.209
60.000000	83.312
60.799999	83.374
61.500000	83.411
62.200001	83.436
63.000000	83.459
64.000000	83.483
65.000000	83.499
66.000000	83.515
67.000000	83.544
68.000000	83.590
69.000000	83.642
70.000000	83.689
71.000000	83.727
72.000000	83.756
73.000000	83.779
74.000000	83.798
75.000000	83.813
76.199997	83.827
77.500000	83.833
78.800003	83.830
80.000000	83.817
81.199997	83.794
82.500000	83.759
83.800003	83.713
85.000000	83.659
86.199997	83.594
87.500000	83.513
88.500000	83.447
90.000000	83.342
91.199997	83.256
92.500000	83.165
93.800003	83.073
95.000000	82.984
96.199997	82.892
97.500000	82.792
98.800003	82.696
100.000000	82.609
101.500000	82.502
103.000000	82.392
104.400002	82.286
106.000000	82.154
107.500000	82.020
109.000000	81.882
110.599998	81.739
112.000000	81.622
113.800003	81.485
115.000000	81.403
117.199997	81.266
118.000000	81.221
120.599998	81.086
122.000000	81.012
124.099998	80.877
125.000000	80.809
126.500000	80.689
128.000000	80.575
131.500000	80.394
132.000000	80.379
134.000000	80.327
136.000000	80.263
138.000000	80.182
140.000000	80.090
143.000000	79.923
145.000000	79.797
147.500000	79.682
150.000000	79.622
152.500000	79.581
155.000000	79.536
157.500000	79.481
160.000000	79.410
