* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 25, 2023 5:06:38 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DT770 L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	75.175	148.0086
20.299999	75.386	146.5745
20.600000	75.597	145.2655
20.900000	75.806	143.9715
21.200001	76.001	142.6075
21.400000	76.115	141.6525
21.799999	76.301	139.7397
22.000000	76.377	138.8336
22.400000	76.524	137.1450
22.700001	76.654	135.8729
23.000000	76.805	134.3972
23.299999	76.962	132.5493
23.600000	77.094	130.2752
24.000000	77.190	126.8154
24.299999	77.206	124.2430
24.700001	77.220	121.2357
25.000000	77.300	119.2333
25.400000	77.558	116.3228
25.799999	77.924	112.2148
26.200001	78.214	106.4821
26.500000	78.274	101.4835
26.900000	78.072	95.2361
27.200001	77.719	91.9460
27.600000	77.140	90.6027
28.000000	76.768	92.6190
28.500000	77.055	97.0735
29.000000	77.921	99.4578
29.500000	78.746	98.3802
30.000000	79.267	95.6161
30.400000	79.514	93.5495
30.700001	79.658	92.3631
31.100000	79.841	91.1368
31.500000	80.021	89.9908
32.000000	80.206	88.3974
32.500000	80.319	86.7314
33.000000	80.388	85.1820
33.500000	80.452	83.6603
34.000000	80.515	81.9266
34.500000	80.551	79.9195
35.000000	80.547	77.8243
35.500000	80.515	75.8657
36.000000	80.490	74.1342
36.500000	80.494	72.5809
37.000000	80.537	71.1008
37.500000	80.612	69.6044
38.200001	80.747	67.4000
38.700001	80.849	65.7321
39.500000	80.999	62.8803
40.000000	81.074	60.9528
40.599998	81.133	58.4772
41.200001	81.149	55.8628
41.799999	81.122	53.1733
42.500000	81.048	50.0116
43.099998	80.957	47.3209
43.700001	80.846	44.6742
44.400002	80.693	41.7056
45.000000	80.542	39.3704
45.500000	80.410	37.6319
46.200001	80.232	35.4622
46.799999	80.080	33.7003
47.500000	79.872	31.6644
48.200001	79.601	29.7292
48.700001	79.360	28.4569
49.400002	78.949	26.9095
50.000000	78.523	25.9752
50.799999	77.900	25.4701
51.500000	77.381	25.3696
52.200001	76.889	25.1265
53.000000	76.283	24.8878
53.799999	75.621	25.4116
54.500000	75.069	26.7104
55.200001	74.608	28.6595
56.000000	74.246	31.3902
57.000000	74.061	34.8130
58.000000	74.045	37.4365
59.000000	73.980	39.6483
60.000000	73.883	42.8940
60.799999	73.947	46.1918
61.500000	74.130	48.8889
62.200001	74.372	51.1270
63.000000	74.668	53.2710
64.000000	75.060	55.6885
65.000000	75.495	57.9729
66.000000	75.983	60.0172
67.000000	76.508	61.6416
68.000000	77.049	62.7559
69.000000	77.595	63.3253
70.000000	78.138	63.3063
71.000000	78.664	62.6238
72.000000	79.143	61.2670
73.000000	79.552	59.4043
74.000000	79.895	57.2882
75.000000	80.185	55.0609
76.199997	80.473	52.3376
77.500000	80.727	49.4120
78.800003	80.921	46.4082
80.000000	81.010	43.5662
81.199997	80.995	40.8707
