* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), no input selected, 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Sep 25, 2023 5:07:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: DT770 R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	78.082	136.5028
20.299999	78.304	134.3810
20.600000	78.522	132.1883
20.900000	78.723	129.9446
21.200001	78.898	127.7357
21.400000	79.000	126.3462
21.799999	79.194	123.8747
22.000000	79.297	122.7950
22.400000	79.533	120.8207
22.700001	79.732	119.3198
23.000000	79.929	117.6868
23.299999	80.101	115.9252
23.600000	80.231	114.1502
24.000000	80.350	112.0545
24.299999	80.431	110.7845
24.700001	80.574	109.3228
25.000000	80.710	108.0942
25.400000	80.872	105.9359
25.799999	80.916	103.3242
26.200001	80.791	101.0991
26.500000	80.626	100.3062
26.900000	80.474	100.6982
27.200001	80.540	101.7208
27.600000	80.926	102.7505
28.000000	81.503	102.0585
28.500000	82.123	98.0273
29.000000	82.370	92.0373
29.500000	82.260	86.5289
30.000000	82.014	82.9264
30.400000	81.883	81.1893
30.700001	81.864	80.1289
31.100000	81.922	78.5947
31.500000	82.015	76.7445
32.000000	82.111	74.1801
32.500000	82.173	71.6711
33.000000	82.218	69.3318
33.500000	82.249	67.1187
34.000000	82.257	65.0705
34.500000	82.253	63.2786
35.000000	82.260	61.7138
35.500000	82.292	60.2166
36.000000	82.340	58.6451
36.500000	82.394	56.9693
37.000000	82.452	55.2032
37.500000	82.519	53.3006
38.200001	82.609	50.2421
38.700001	82.638	47.7861
39.500000	82.582	43.8687
40.000000	82.503	41.7320
40.599998	82.412	39.5356
41.200001	82.350	37.5127
41.799999	82.304	35.4448
42.500000	82.234	32.9455
43.099998	82.148	30.8305
43.700001	82.047	28.7764
44.400002	81.917	26.3831
45.000000	81.787	24.2684
45.500000	81.656	22.4735
46.200001	81.432	20.0148
46.799999	81.207	18.0480
47.500000	80.926	15.9060
48.200001	80.631	13.7849
48.700001	80.402	12.1920
49.400002	80.019	9.8569
50.000000	79.591	8.0183
50.799999	78.860	6.5850
51.500000	78.156	6.6498
52.200001	77.519	7.4099
53.000000	76.892	8.2766
53.799999	76.276	9.3790
54.500000	75.770	11.0590
55.200001	75.404	13.1199
56.000000	75.186	15.0621
57.000000	75.042	16.5348
58.000000	74.914	17.6953
59.000000	74.746	19.1050
60.000000	74.515	21.6422
60.799999	74.384	24.7150
61.500000	74.363	27.6713
62.200001	74.400	30.4979
63.000000	74.467	33.5180
64.000000	74.569	37.1478
65.000000	74.715	40.7510
66.000000	74.953	44.3196
67.000000	75.315	47.6150
68.000000	75.786	50.4057
69.000000	76.334	52.6017
70.000000	76.926	54.1586
71.000000	77.528	55.0883
72.000000	78.126	55.4528
73.000000	78.715	55.2537
74.000000	79.284	54.4449
75.000000	79.819	53.0116
76.199997	80.394	50.5118
77.500000	80.905	46.9945
78.800003	81.262	42.8576
80.000000	81.423	38.8067
81.199997	81.418	34.8829
82.500000	81.224	31.2108
83.800003	80.854	28.7941
85.000000	80.423	28.3185
86.199997	80.038	29.7115
87.500000	79.830	32.7066
88.500000	79.867	35.3941
90.000000	80.209	38.7768
91.199997	80.611	40.1263
92.500000	81.066	40.2209
93.800003	81.519	39.3669
95.000000	81.933	38.1215
96.199997	82.333	36.7036
97.500000	82.736	35.1229
98.800003	83.093	33.4557
100.000000	83.375	31.6718
101.500000	83.666	28.9073
103.000000	83.899	25.5332
104.400002	84.057	22.1332
106.000000	84.169	18.7488
107.500000	84.273	16.3961
109.000000	84.397	14.1892
110.599998	84.508	11.4309
112.000000	84.593	8.5876
113.800003	84.711	4.4012
115.000000	84.779	1.5132
117.199997	84.859	-3.3044
118.000000	84.868	-4.9421
120.599998	84.730	-10.3469
122.000000	84.521	-13.2206
124.099998	84.048	-16.6239
125.000000	83.812	-17.4824
126.500000	83.411	-18.0191
128.000000	83.017	-17.6586
131.500000	82.298	-16.3224
132.000000	82.249	-16.5023
134.000000	82.202	-18.5991
136.000000	82.326	-21.7802
138.000000	82.436	-24.3625
140.000000	82.356	-25.2333
143.000000	81.985	-25.3188
145.000000	81.575	-26.9481
147.500000	80.856	-29.5433
150.000000	80.247	-31.3782
152.500000	79.825	-33.0724
155.000000	79.419	-34.6600
157.500000	79.014	-35.4760
160.000000	78.655	-35.3765
162.500000	78.266	-34.8603
165.000000	77.805	-34.3300
167.500000	77.352	-33.7297
170.000000	76.993	-32.8000
172.500000	76.735	-31.4388
175.000000	76.555	-29.8904
177.500000	76.429	-28.5140
180.000000	76.337	-27.4825
182.500000	76.248	-26.8622
185.000000	76.122	-26.5465
187.500000	75.944	-26.2521
190.000000	75.731	-25.8060
192.500000	75.506	-25.1771
195.000000	75.288	-24.3089
197.500000	75.098	-23.1446
200.000000	74.941	-21.7678
203.000000	74.773	-20.0786
206.000000	74.600	-18.4998
209.000000	74.424	-16.8577
212.000000	74.287	-14.9240
214.000000	74.240	-13.4595
218.000000	74.284	-10.3647
220.000000	74.367	-8.9171
224.000000	74.593	-6.5629
227.000000	74.764	-5.2607
230.000000	74.914	-4.3287
233.000000	75.039	-3.8351
236.000000	75.138	-3.7194
240.000000	75.221	-3.7579
243.000000	75.244	-3.6523
247.000000	75.254	-3.1923
250.000000	75.267	-2.6456
254.000000	75.311	-1.7178
258.000000	75.402	-0.6741
262.000000	75.545	0.2418
265.000000	75.675	0.7026
269.000000	75.853	0.9686
272.000000	75.976	0.9407
276.000000	76.112	0.6781
280.000000	76.213	0.2828
285.000000	76.298	-0.1814
290.000000	76.355	-0.4746
295.000000	76.397	-0.6022
300.000000	76.436	-0.6683
304.000000	76.467	-0.7446
307.000000	76.492	-0.8060
311.000000	76.527	-0.8604
315.000000	76.562	-0.8758
320.000000	76.608	-0.8892
325.000000	76.657	-0.9579
330.000000	76.708	-1.0665
335.000000	76.759	-1.1923
340.000000	76.803	-1.3578
345.000000	76.839	-1.5784
350.000000	76.870	-1.8273
355.000000	76.898	-2.0644
360.000000	76.922	-2.2772
365.000000	76.941	-2.4672
370.000000	76.955	-2.6332
375.000000	76.965	-2.7850
382.000000	76.976	-2.9996
387.000000	76.983	-3.1521
395.000000	76.993	-3.3641
400.000000	76.997	-3.4813
406.000000	77.002	-3.6216
412.000000	77.009	-3.7610
418.000000	77.014	-3.8846
425.000000	77.019	-3.9935
431.000000	77.025	-4.0781
437.000000	77.032	-4.1721
444.000000	77.040	-4.2858
450.000000	77.046	-4.3821
455.000000	77.052	-4.4623
462.000000	77.060	-4.5834
468.000000	77.063	-4.7072
475.000000	77.064	-4.8696
482.000000	77.066	-5.0345
487.000000	77.066	-5.1508
494.000000	77.064	-5.3143
500.000000	77.058	-5.4562
508.000000	77.047	-5.6431
515.000000	77.035	-5.7969
522.000000	77.018	-5.9332
530.000000	76.994	-6.0610
538.000000	76.966	-6.1613
545.000000	76.943	-6.2324
552.000000	76.918	-6.2848
560.000000	76.888	-6.3143
570.000000	76.851	-6.3030
580.000000	76.819	-6.2481
590.000000	76.789	-6.1717
600.000000	76.760	-6.0758
608.000000	76.740	-5.9780
615.000000	76.722	-5.8812
622.000000	76.705	-5.7812
630.000000	76.685	-5.6653
640.000000	76.662	-5.5061
650.000000	76.642	-5.3185
660.000000	76.623	-5.1121
670.000000	76.604	-4.8960
680.000000	76.587	-4.6631
690.000000	76.571	-4.4088
