* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 17, 2023 5:02:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Denon AH-D2000
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	66.113	166.7543
20.299999	66.282	164.6868
20.600000	66.452	162.7148
20.900000	66.624	160.7809
21.200001	66.795	158.8356
21.400000	66.904	157.5196
21.799999	67.102	154.8708
22.000000	67.190	153.5669
22.400000	67.347	151.0795
22.700001	67.460	149.3781
23.000000	67.584	147.8195
23.299999	67.732	146.3511
23.600000	67.909	144.8758
24.000000	68.182	142.6961
24.299999	68.393	140.7974
24.700001	68.646	137.8963
25.000000	68.792	135.5543
25.400000	68.919	132.4635
25.799999	68.988	129.7137
26.200001	69.044	127.4672
26.500000	69.105	126.0699
26.900000	69.231	124.3807
27.200001	69.357	123.0892
27.600000	69.536	121.1877
28.000000	69.697	119.0856
28.500000	69.844	116.4013
29.000000	69.942	113.9685
29.500000	70.028	111.8904
30.000000	70.130	110.0217
30.400000	70.221	108.5449
30.700001	70.287	107.4085
31.100000	70.365	105.8589
31.500000	70.424	104.3212
32.000000	70.472	102.5267
32.500000	70.511	100.9568
33.000000	70.567	99.5707
33.500000	70.653	98.2037
34.000000	70.756	96.6706
34.500000	70.848	94.9181
35.000000	70.908	93.0657
35.500000	70.937	91.2888
36.000000	70.955	89.6794
36.500000	70.979	88.2049
37.000000	71.014	86.7798
37.500000	71.054	85.3583
38.200001	71.109	83.4078
38.700001	71.148	82.0741
39.500000	71.220	80.0110
40.000000	71.266	78.7231
40.599998	71.316	77.1584
41.200001	71.349	75.5984
41.799999	71.362	74.1082
42.500000	71.362	72.5388
43.099998	71.365	71.3202
43.700001	71.374	70.1268
44.400002	71.384	68.7038
45.000000	71.383	67.5063
45.500000	71.379	66.5703
46.200001	71.378	65.3856
46.799999	71.392	64.4970
47.500000	71.441	63.5468
48.200001	71.525	62.4660
48.700001	71.580	61.5117
49.400002	71.604	60.0710
50.000000	71.573	59.0258
50.799999	71.513	58.0800
51.500000	71.476	57.4210
52.200001	71.439	56.6989
53.000000	71.378	55.8290
53.799999	71.318	54.9407
54.500000	71.282	54.0693
55.200001	71.268	53.0540
56.000000	71.283	51.6779
57.000000	71.339	49.6813
58.000000	71.426	47.4883
59.000000	71.472	45.0955
60.000000	71.366	43.3926
60.799999	71.244	43.2628
61.500000	71.200	43.7727
62.200001	71.219	44.3310
63.000000	71.267	44.7134
64.000000	71.311	44.7986
65.000000	71.327	44.5079
66.000000	71.323	43.9180
67.000000	71.319	43.1227
68.000000	71.331	42.2054
69.000000	71.364	41.2514
70.000000	71.408	40.3430
71.000000	71.453	39.5275
72.000000	71.481	38.8284
73.000000	71.488	38.2660
74.000000	71.482	37.7885
75.000000	71.470	37.3070
76.199997	71.458	36.6532
77.500000	71.455	35.8208
78.800003	71.461	34.9488
80.000000	71.477	34.2014
81.199997	71.498	33.5291
82.500000	71.521	32.8475
83.800003	71.537	32.1421
85.000000	71.542	31.4482
86.199997	71.545	30.7290
87.500000	71.555	29.9014
88.500000	71.565	29.2194
90.000000	71.569	28.2068
91.199997	71.562	27.4982
92.500000	71.549	26.8711
93.800003	71.539	26.3608
95.000000	71.537	25.9172
96.199997	71.539	25.4342
97.500000	71.543	24.8286
98.800003	71.542	24.1296
100.000000	71.532	23.4421
101.500000	71.506	22.6328
103.000000	71.475	21.9601
104.400002	71.449	21.4285
106.000000	71.421	20.8255
107.500000	71.389	20.1973
109.000000	71.351	19.5288
110.599998	71.313	18.8464
112.000000	71.288	18.3270
113.800003	71.258	17.8464
115.000000	71.239	17.6509
117.199997	71.219	17.2202
118.000000	71.216	16.9386
120.599998	71.206	15.4688
122.000000	71.189	14.6184
124.099998	71.166	13.8773
125.000000	71.163	13.7869
126.500000	71.164	13.8049
128.000000	71.156	13.8559
131.500000	71.086	13.6361
132.000000	71.074	13.5665
134.000000	71.029	13.2548
136.000000	70.979	12.9477
138.000000	70.911	12.6531
140.000000	70.827	12.3278
143.000000	70.730	11.7729
145.000000	70.704	11.3495
147.500000	70.688	10.8994
150.000000	70.678	10.6105
152.500000	70.672	10.3333
155.000000	70.666	9.9882
157.500000	70.661	9.6530
160.000000	70.654	9.3905
162.500000	70.636	9.2319
165.000000	70.620	9.0745
167.500000	70.612	8.7634
170.000000	70.600	8.3520
172.500000	70.582	8.0270
175.000000	70.560	7.8174
177.500000	70.534	7.6405
180.000000	70.506	7.4424
182.500000	70.479	7.2242
185.000000	70.455	7.0083
187.500000	70.434	6.7926
190.000000	70.421	6.5725
192.500000	70.417	6.3571
195.000000	70.414	6.1399
197.500000	70.399	5.9042
200.000000	70.368	5.6543
203.000000	70.326	5.3793
