* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 31, 2023 5:54:10 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: EAE Audio DH100
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	52.169	-123.8312
20.299999	52.370	-124.5328
20.600000	52.709	-124.6565
20.900000	53.201	-124.8954
21.200001	53.771	-125.9580
21.400000	54.131	-127.2945
21.799999	54.718	-131.2208
22.000000	54.917	-133.5555
22.400000	55.117	-138.1953
22.700001	55.135	-141.0976
23.000000	55.106	-143.2185
23.299999	55.089	-144.6599
23.600000	55.114	-145.6713
24.000000	55.217	-146.7797
24.299999	55.317	-147.6151
24.700001	55.441	-148.6415
25.000000	55.532	-149.1463
25.400000	55.700	-149.3122
25.799999	55.984	-149.1269
26.200001	56.390	-149.1579
26.500000	56.728	-149.6237
26.900000	57.154	-150.9164
27.200001	57.419	-152.2190
27.600000	57.694	-154.0265
28.000000	57.915	-155.5553
28.500000	58.190	-156.9684
29.000000	58.503	-158.2064
29.500000	58.824	-159.6484
30.000000	59.100	-161.2955
30.400000	59.280	-162.5806
30.700001	59.400	-163.4479
31.100000	59.552	-164.4511
31.500000	59.705	-165.3094
32.000000	59.906	-166.2502
32.500000	60.121	-167.1078
33.000000	60.352	-167.9532
33.500000	60.592	-168.8680
34.000000	60.828	-169.8863
34.500000	61.047	-170.9383
35.000000	61.258	-171.9255
35.500000	61.477	-172.8376
36.000000	61.710	-173.7771
36.500000	61.943	-174.8371
37.000000	62.157	-175.9890
37.500000	62.348	-177.1042
38.200001	62.601	-178.4174
38.700001	62.786	-179.1780
39.500000	63.095	179.8701
40.000000	63.303	179.5019
40.599998	63.593	179.2637
41.200001	63.931	178.9783
41.799999	64.272	178.3853
42.500000	64.605	177.3830
43.099998	64.831	176.5729
43.700001	65.030	175.9109
44.400002	65.244	175.1567
45.000000	65.397	174.4487
45.500000	65.504	173.8813
46.200001	65.653	173.1599
46.799999	65.799	172.4920
47.500000	65.987	171.5092
48.200001	66.186	170.3496
48.700001	66.338	169.4534
49.400002	66.557	168.0943
50.000000	66.731	166.8813
50.799999	66.920	165.5282
51.500000	67.075	164.9138
52.200001	67.267	164.7949
53.000000	67.537	164.8204
53.799999	67.808	164.6708
54.500000	68.023	164.4083
55.200001	68.227	163.9924
56.000000	68.445	163.1187
57.000000	68.661	161.3403
58.000000	68.791	159.0947
59.000000	68.824	157.3135
60.000000	68.951	157.1696
60.799999	69.278	157.5410
61.500000	69.655	157.3092
62.200001	70.001	156.4857
63.000000	70.315	155.3727
64.000000	70.633	154.3319
65.000000	70.921	153.6318
66.000000	71.187	152.9781
67.000000	71.427	152.2135
68.000000	71.644	151.3072
69.000000	71.846	150.2736
70.000000	72.035	149.1596
71.000000	72.207	148.0219
72.000000	72.356	146.9405
73.000000	72.480	146.0399
74.000000	72.600	145.3740
75.000000	72.731	144.8240
76.199997	72.892	144.1639
77.500000	73.065	143.5479
78.800003	73.270	143.1284
80.000000	73.501	142.8038
81.199997	73.757	142.4484
82.500000	74.039	141.9861
83.800003	74.295	141.4981
85.000000	74.509	141.1504
86.199997	74.720	140.9133
87.500000	74.969	140.6472
88.500000	75.178	140.2594
