* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2023 5:51:57 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: ESP95x Dekoni Elite Fenestrated Sheepskin
* Measurement: ESP95x Dekoni Fen Sheep
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	48.866	-158.0592
20.299999	50.031	-157.2349
20.600000	51.016	-158.2628
20.900000	51.795	-160.5264
21.200001	52.351	-163.5273
21.400000	52.591	-165.6808
21.799999	52.776	-169.5149
22.000000	52.748	-170.8314
22.400000	52.553	-171.8228
22.700001	52.417	-171.2085
23.000000	52.378	-169.9822
23.299999	52.453	-168.8142
23.600000	52.593	-168.2241
24.000000	52.746	-168.5161
24.299999	52.787	-169.1882
24.700001	52.767	-170.0867
25.000000	52.757	-170.6678
25.400000	52.808	-171.6620
25.799999	52.901	-173.3888
26.200001	52.953	-175.7183
26.500000	52.949	-177.3756
26.900000	52.984	-178.8217
27.200001	53.144	-179.2700
27.600000	53.633	-179.7308
28.000000	54.360	178.8536
28.500000	55.283	174.6229
29.000000	55.931	168.3183
29.500000	56.236	161.7858
30.000000	56.292	156.6071
30.400000	56.239	153.7779
30.700001	56.178	152.3839
31.100000	56.094	151.3912
31.500000	56.038	151.2793
32.000000	56.074	152.0804
32.500000	56.286	153.2786
33.000000	56.647	153.9537
33.500000	57.052	153.5202
34.000000	57.393	151.9802
34.500000	57.620	149.7328
35.000000	57.737	147.2792
35.500000	57.778	144.9729
36.000000	57.786	142.9276
36.500000	57.786	141.0892
37.000000	57.772	139.4646
37.500000	57.741	138.2974
38.200001	57.772	137.9813
38.700001	57.971	138.4966
39.500000	58.620	138.7059
40.000000	59.073	137.6299
40.599998	59.508	135.3044
41.200001	59.798	132.5926
41.799999	59.978	130.0063
42.500000	60.089	127.3707
43.099998	60.134	125.5256
43.700001	60.175	124.0180
44.400002	60.241	122.3375
45.000000	60.286	120.7791
45.500000	60.296	119.5427
46.200001	60.303	118.2188
46.799999	60.363	117.3582
47.500000	60.490	116.1214
48.200001	60.571	114.5253
48.700001	60.565	113.5388
49.400002	60.512	112.9152
50.000000	60.502	113.0668
50.799999	60.598	113.6243
51.500000	60.758	113.8291
52.200001	60.923	113.4421
53.000000	61.046	112.3754
53.799999	61.114	111.0297
54.500000	61.186	109.6487
55.200001	61.294	107.8553
56.000000	61.445	105.2734
57.000000	61.698	101.7558
58.000000	62.076	97.9482
59.000000	62.376	93.4506
60.000000	62.364	90.2292
60.799999	62.299	90.0665
61.500000	62.369	91.0008
62.200001	62.535	91.8665
63.000000	62.721	92.3525
64.000000	62.884	92.4988
65.000000	62.990	92.1921
66.000000	63.047	91.3315
67.000000	63.063	90.0565
68.000000	63.064	88.6603
69.000000	63.093	87.3620
70.000000	63.166	86.1588
71.000000	63.260	85.0010
