* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jul 4, 2023 6:13:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Koss ESP95X Stock Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	67.398	-101.6008
20.299999	67.510	-102.0863
20.600000	67.628	-102.5847
20.900000	67.744	-103.1104
21.200001	67.847	-103.6345
21.400000	67.910	-103.9586
21.799999	68.024	-104.5362
22.000000	68.078	-104.8002
22.400000	68.183	-105.3418
22.700001	68.252	-105.8206
23.000000	68.301	-106.3822
23.299999	68.322	-106.9687
23.600000	68.315	-107.4930
24.000000	68.282	-107.9845
24.299999	68.267	-108.2182
24.700001	68.286	-108.5822
25.000000	68.324	-109.1494
25.400000	68.354	-110.5315
25.799999	68.277	-112.4614
26.200001	68.039	-114.2097
26.500000	67.774	-114.8217
26.900000	67.408	-114.2632
27.200001	67.238	-112.9419
27.600000	67.276	-110.7408
28.000000	67.602	-109.2679
28.500000	68.151	-109.6528
29.000000	68.567	-112.1488
29.500000	68.766	-115.3097
30.000000	68.826	-117.9289
30.400000	68.848	-119.4355
30.700001	68.872	-120.2972
31.100000	68.918	-121.2049
31.500000	68.980	-121.8969
32.000000	69.087	-122.5196
32.500000	69.231	-123.0334
33.000000	69.393	-123.6777
33.500000	69.534	-124.5340
34.000000	69.623	-125.4483
34.500000	69.667	-126.1963
35.000000	69.693	-126.6953
35.500000	69.727	-127.0292
36.000000	69.775	-127.3501
36.500000	69.830	-127.7757
37.000000	69.875	-128.3493
37.500000	69.896	-129.0227
38.200001	69.883	-129.9276
38.700001	69.857	-130.4465
39.500000	69.814	-131.1081
40.000000	69.784	-131.4541
40.599998	69.741	-131.7289
41.200001	69.711	-131.7909
41.799999	69.715	-131.7653
42.500000	69.753	-131.8992
43.099998	69.780	-132.2197
43.700001	69.786	-132.6058
44.400002	69.778	-133.0126
45.000000	69.772	-133.3378
45.500000	69.770	-133.6312
46.200001	69.765	-134.0704
46.799999	69.763	-134.4346
47.500000	69.773	-134.8659
48.200001	69.786	-135.3900
48.700001	69.778	-135.7901
49.400002	69.724	-136.1307
50.000000	69.657	-135.9382
50.799999	69.617	-134.9026
51.500000	69.676	-133.7069
52.200001	69.783	-132.7069
53.000000	69.887	-131.6956
53.799999	70.012	-130.4310
54.500000	70.209	-129.5222
55.200001	70.441	-129.5774
56.000000	70.608	-130.9732
57.000000	70.603	-133.6852
58.000000	70.420	-136.7333
