* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 18, 2023 11:29:12 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ESP95x Yaxi
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	52.601	-159.5570
20.299999	52.495	-161.3422
20.600000	52.425	-161.4207
20.900000	52.534	-160.3641
21.200001	52.864	-159.1929
21.400000	53.160	-158.8430
21.799999	53.744	-159.5209
22.000000	53.973	-160.4083
22.400000	54.273	-162.5184
22.700001	54.398	-163.7061
23.000000	54.510	-164.3214
23.299999	54.666	-164.5021
23.600000	54.888	-164.5856
24.000000	55.244	-165.0839
24.299999	55.509	-165.8531
24.700001	55.821	-167.2056
25.000000	56.033	-168.2711
25.400000	56.318	-169.6909
25.799999	56.616	-171.3063
26.200001	56.894	-173.3072
26.500000	57.059	-174.9945
26.900000	57.214	-177.1519
27.200001	57.305	-178.4680
27.600000	57.457	-179.7148
28.000000	57.700	179.3671
28.500000	58.123	177.9614
29.000000	58.562	175.8320
29.500000	58.932	173.3633
30.000000	59.270	171.1886
30.400000	59.569	169.6782
30.700001	59.814	168.4916
31.100000	60.136	166.6037
31.500000	60.396	164.3288
32.000000	60.579	161.3658
32.500000	60.625	158.9451
33.000000	60.623	157.3760
33.500000	60.650	156.3701
34.000000	60.718	155.4604
34.500000	60.806	154.4225
35.000000	60.911	153.1810
35.500000	61.030	151.6158
36.000000	61.145	149.6827
36.500000	61.248	147.5818
37.000000	61.385	145.5284
37.500000	61.610	143.3370
38.200001	61.988	139.1371
38.700001	62.143	135.4104
39.500000	62.065	130.8580
40.000000	61.987	130.1458
40.599998	62.113	130.8359
41.200001	62.458	131.5970
41.799999	62.837	131.7020
42.500000	63.185	131.3820
43.099998	63.379	131.1065
43.700001	63.475	131.1824
44.400002	63.583	132.2067
45.000000	63.833	133.2909
45.500000	64.136	133.2706
46.200001	64.486	131.0329
46.799999	64.579	127.8635
47.500000	64.520	124.2115
48.200001	64.446	120.8674
48.700001	64.400	118.5179
49.400002	64.330	115.7114
50.000000	64.341	114.1063
50.799999	64.556	112.2759
51.500000	64.777	109.9915
52.200001	64.849	107.6457
53.000000	64.798	106.3387
53.799999	64.806	106.4852
54.500000	64.904	106.9863
55.200001	65.043	107.4653
56.000000	65.223	107.9442
57.000000	65.484	108.5310
58.000000	65.859	108.9869
59.000000	66.309	108.2137
60.000000	66.585	106.0970
60.799999	66.659	104.6494
61.500000	66.725	103.9387
62.200001	66.846	103.4180
63.000000	67.032	102.6668
64.000000	67.283	101.4438
65.000000	67.541	100.0817
66.000000	67.810	98.4720
67.000000	68.020	96.3333
68.000000	68.079	94.0052
69.000000	68.010	92.1801
70.000000	67.906	90.9877
71.000000	67.837	90.1215
72.000000	67.832	89.2830
73.000000	67.899	88.2310
74.000000	68.005	86.7880
75.000000	68.080	85.1427
76.199997	68.108	83.6526
77.500000	68.149	82.9362
78.800003	68.240	82.5508
80.000000	68.335	82.0427
81.199997	68.416	81.3328
82.500000	68.506	80.4803
83.800003	68.623	79.5903
85.000000	68.752	78.7121
86.199997	68.880	77.7936
87.500000	69.010	76.8036
88.500000	69.118	75.9434
90.000000	69.269	74.1635
91.199997	69.348	72.4224
92.500000	69.393	70.5624
93.800003	69.415	68.9498
95.000000	69.425	67.7225
96.199997	69.433	66.6078
97.500000	69.421	65.3015
98.800003	69.374	63.9128
100.000000	69.333	62.6566
101.500000	69.330	60.9087
103.000000	69.334	58.9748
104.400002	69.316	57.5064
106.000000	69.297	56.5300
107.500000	69.299	56.0699
109.000000	69.314	55.7479
110.599998	69.345	55.3231
112.000000	69.386	54.7921
113.800003	69.446	53.9227
115.000000	69.484	53.3318
117.199997	69.548	52.4058
118.000000	69.573	52.0836
120.599998	69.631	50.6302
122.000000	69.619	49.5619
124.099998	69.554	48.0182
125.000000	69.527	47.4640
126.500000	69.495	46.6946
128.000000	69.478	46.0878
131.500000	69.465	44.8907
132.000000	69.463	44.6956
134.000000	69.457	43.8398
136.000000	69.474	42.9803
138.000000	69.531	42.1795
140.000000	69.591	41.4595
143.000000	69.612	40.8571
145.000000	69.604	40.6911
147.500000	69.599	40.3994
150.000000	69.618	39.9171
152.500000	69.655	39.2842
155.000000	69.689	38.5243
157.500000	69.694	37.6813
160.000000	69.670	36.9174
162.500000	69.644	36.3242
165.000000	69.635	35.7998
167.500000	69.638	35.2129
170.000000	69.638	34.5939
172.500000	69.630	34.0062
175.000000	69.613	33.4213
177.500000	69.594	32.8223
180.000000	69.584	32.2994
182.500000	69.593	31.9053
185.000000	69.614	31.5639
187.500000	69.632	31.2040
190.000000	69.644	30.8143
192.500000	69.653	30.4248
195.000000	69.661	30.0607
197.500000	69.666	29.7145
200.000000	69.666	29.3577
203.000000	69.659	28.9099
206.000000	69.652	28.4764
209.000000	69.649	28.0807
212.000000	69.650	27.7087
214.000000	69.650	27.4651
218.000000	69.651	27.0137
220.000000	69.652	26.8218
224.000000	69.656	26.4773
227.000000	69.668	26.2001
230.000000	69.689	25.8785
233.000000	69.716	25.5106
236.000000	69.745	25.1125
240.000000	69.768	24.6159
243.000000	69.763	24.3366
247.000000	69.741	24.0405
250.000000	69.730	23.8049
254.000000	69.727	23.4647
258.000000	69.736	23.1262
262.000000	69.754	22.7864
265.000000	69.776	22.5205
269.000000	69.819	22.1505
272.000000	69.854	21.8834
276.000000	69.868	21.5861
280.000000	69.829	21.3700
285.000000	69.768	21.1118
290.000000	69.739	20.8150
295.000000	69.731	20.5140
300.000000	69.735	20.2653
304.000000	69.735	20.1317
307.000000	69.733	20.0581
311.000000	69.730	19.9741
315.000000	69.729	19.8991
320.000000	69.730	19.8040
325.000000	69.731	19.6838
330.000000	69.734	19.5217
335.000000	69.743	19.3383
340.000000	69.755	19.1871
345.000000	69.768	19.1000
350.000000	69.779	19.0731
355.000000	69.792	19.0739
360.000000	69.805	19.0430
365.000000	69.813	18.9490
370.000000	69.819	18.8370
375.000000	69.824	18.7579
382.000000	69.834	18.7083
387.000000	69.846	18.7058
395.000000	69.876	18.7631
400.000000	69.893	18.8246
406.000000	69.909	18.9131
412.000000	69.927	18.9879
418.000000	69.954	19.0441
425.000000	69.995	19.1615
