* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L ETA Gen G (Carlos), L ETA Gen G (Carlos), L ETA Gen G (Carlos)
* Dated: Jun 30, 2024 12:01:11 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L ETA Gen G (Carlos), L ETA Gen G (Carlos), L ETA Gen G (Carlos)
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	72.835
20.299999	73.007
20.600000	73.187
20.900000	73.378
21.200001	73.575
21.400000	73.703
21.799999	73.938
22.000000	74.039
22.400000	74.206
22.700001	74.310
23.000000	74.412
23.299999	74.525
23.600000	74.658
24.000000	74.864
24.299999	75.027
24.700001	75.237
25.000000	75.379
25.400000	75.548
25.799999	75.705
26.200001	75.864
26.500000	75.987
26.900000	76.150
27.200001	76.265
27.600000	76.403
28.000000	76.522
28.500000	76.661
29.000000	76.812
29.500000	76.984
30.000000	77.165
30.400000	77.299
30.700001	77.389
31.100000	77.492
31.500000	77.582
32.000000	77.685
32.500000	77.791
33.000000	77.902
33.500000	78.019
34.000000	78.139
34.500000	78.262
35.000000	78.382
35.500000	78.494
36.000000	78.595
36.500000	78.688
37.000000	78.778
37.500000	78.869
38.200001	78.995
38.700001	79.078
39.500000	79.205
40.000000	79.284
40.599998	79.379
41.200001	79.470
41.799999	79.552
42.500000	79.638
43.099998	79.711
43.700001	79.783
44.400002	79.866
45.000000	79.930
45.500000	79.978
46.200001	80.038
46.799999	80.085
47.500000	80.136
48.200001	80.184
48.700001	80.220
49.400002	80.276
50.000000	80.332
50.799999	80.413
51.500000	80.479
52.200001	80.535
53.000000	80.586
53.799999	80.629
54.500000	80.663
55.200001	80.691
56.000000	80.713
57.000000	80.731
58.000000	80.748
59.000000	80.764
60.000000	80.777
60.799999	80.781
61.500000	80.780
62.200001	80.777
63.000000	80.773
64.000000	80.772
65.000000	80.775
66.000000	80.780
67.000000	80.783
68.000000	80.785
69.000000	80.788
70.000000	80.791
71.000000	80.793
72.000000	80.789
73.000000	80.780
74.000000	80.768
75.000000	80.752
76.199997	80.729
77.500000	80.698
78.800003	80.662
80.000000	80.627
81.199997	80.591
82.500000	80.551
83.800003	80.510
85.000000	80.476
86.199997	80.447
87.500000	80.418
88.500000	80.394
90.000000	80.352
91.199997	80.312
92.500000	80.266
93.800003	80.219
95.000000	80.176
96.199997	80.135
97.500000	80.091
98.800003	80.047
100.000000	80.005
101.500000	79.952
103.000000	79.901
104.400002	79.861
106.000000	79.822
107.500000	79.790
109.000000	79.756
110.599998	79.717
112.000000	79.685
113.800003	79.650
115.000000	79.631
117.199997	79.600
118.000000	79.589
120.599998	79.557
122.000000	79.544
124.099998	79.534
125.000000	79.531
126.500000	79.525
128.000000	79.512
131.500000	79.446
132.000000	79.434
134.000000	79.388
136.000000	79.350
138.000000	79.317
140.000000	79.283
143.000000	79.227
145.000000	79.192
147.500000	79.153
150.000000	79.120
152.500000	79.076
155.000000	79.009
157.500000	78.919
160.000000	78.825
162.500000	78.751
165.000000	78.702
167.500000	78.663
170.000000	78.619
172.500000	78.565
175.000000	78.507
177.500000	78.447
180.000000	78.382
182.500000	78.310
185.000000	78.230
187.500000	78.147
190.000000	78.064
192.500000	77.986
195.000000	77.918
197.500000	77.866
200.000000	77.828
203.000000	77.794
206.000000	77.765
209.000000	77.746
212.000000	77.735
214.000000	77.729
218.000000	77.701
220.000000	77.678
224.000000	77.619
227.000000	77.570
230.000000	77.521
233.000000	77.473
236.000000	77.426
240.000000	77.363
243.000000	77.314
247.000000	77.257
250.000000	77.229
254.000000	77.218
258.000000	77.231
262.000000	77.252
265.000000	77.260
269.000000	77.249
272.000000	77.222
276.000000	77.164
280.000000	77.087
285.000000	76.989
290.000000	76.919
295.000000	76.886
300.000000	76.875
304.000000	76.875
307.000000	76.876
311.000000	76.872
315.000000	76.860
320.000000	76.831
325.000000	76.788
330.000000	76.747
335.000000	76.740
340.000000	76.785
345.000000	76.850
350.000000	76.874
355.000000	76.834
360.000000	76.765
365.000000	76.712
370.000000	76.690
375.000000	76.694
382.000000	76.736
387.000000	76.796
395.000000	76.947
400.000000	77.065
406.000000	77.206
412.000000	77.320
418.000000	77.392
425.000000	77.410
431.000000	77.366
437.000000	77.273
444.000000	77.136
450.000000	77.036
455.000000	76.988
462.000000	76.993
468.000000	77.063
475.000000	77.192
482.000000	77.305
487.000000	77.338
494.000000	77.305
500.000000	77.235
508.000000	77.151
515.000000	77.117
522.000000	77.121
530.000000	77.156
538.000000	77.204
545.000000	77.242
552.000000	77.274
560.000000	77.309
570.000000	77.358
580.000000	77.401
590.000000	77.426
600.000000	77.425
608.000000	77.397
615.000000	77.352
622.000000	77.299
630.000000	77.246
640.000000	77.203
650.000000	77.175
660.000000	77.149
670.000000	77.128
680.000000	77.127
690.000000	77.164
700.000000	77.242
710.000000	77.350
720.000000	77.465
730.000000	77.573
740.000000	77.673
750.000000	77.761
762.000000	77.825
775.000000	77.828
788.000000	77.805
800.000000	77.805
812.000000	77.834
825.000000	77.884
838.000000	77.942
850.000000	78.000
862.000000	78.058
875.000000	78.111
885.000000	78.141
900.000000	78.169
912.000000	78.183
925.000000	78.196
938.000000	78.203
950.000000	78.198
962.000000	78.183
975.000000	78.167
988.000000	78.167
1000.000000	78.189
1015.000000	78.246
1030.000000	78.320
1044.000000	78.379
1060.000000	78.409
1075.000000	78.396
1090.000000	78.354
1106.000000	78.293
1120.000000	78.230
1138.000000	78.145
1150.000000	78.094
1172.000000	78.025
1180.000000	78.007
1206.000000	77.950
1220.000000	77.908
1241.000000	77.821
1250.000000	77.777
1265.000000	77.702
1280.000000	77.626
1315.000000	77.489
1320.000000	77.477
1340.000000	77.451
1360.000000	77.456
1380.000000	77.486
1400.000000	77.541
1430.000000	77.660
1450.000000	77.750
1475.000000	77.875
1500.000000	78.023
1525.000000	78.196
1550.000000	78.376
1575.000000	78.553
1600.000000	78.737
1625.000000	78.932
1650.000000	79.138
1675.000000	79.356
1700.000000	79.590
1725.000000	79.849
1750.000000	80.131
1775.000000	80.426
1800.000000	80.723
1825.000000	81.009
1850.000000	81.272
1875.000000	81.498
1900.000000	81.677
1925.000000	81.803
1950.000000	81.870
1975.000000	81.873
2000.000000	81.815
2030.000000	81.682
2060.000000	81.519
2090.000000	81.371
2120.000000	81.268
2140.000000	81.230
2180.000000	81.222
2200.000000	81.246
2240.000000	81.324
2270.000000	81.392
2300.000000	81.463
2330.000000	81.537
2360.000000	81.618
2400.000000	81.739
2430.000000	81.838
2470.000000	81.980
2500.000000	82.096
2540.000000	82.277
2580.000000	82.506
2620.000000	82.797
2650.000000	83.054
2690.000000	83.433
2720.000000	83.729
2760.000000	84.124
2800.000000	84.508
2850.000000	84.970
2900.000000	85.416
2950.000000	85.847
3000.000000	86.258
3040.000000	86.566
3070.000000	86.782
3110.000000	87.046
3150.000000	87.279
3200.000000	87.525
3250.000000	87.719
3300.000000	87.860
3350.000000	87.950
3400.000000	87.990
3450.000000	87.983
3500.000000	87.930
3550.000000	87.838
3600.000000	87.711
3650.000000	87.558
3700.000000	87.386
3750.000000	87.205
3820.000000	86.945
3870.000000	86.759
3950.000000	86.459
4000.000000	86.265
4060.000000	86.021
4120.000000	85.762
4180.000000	85.490
4250.000000	85.159
4310.000000	84.872
4370.000000	84.589
4440.000000	84.273
4500.000000	84.018
4550.000000	83.817
4620.000000	83.553
4680.000000	83.346
4750.000000	83.139
4820.000000	82.979
4870.000000	82.897
4940.000000	82.829
5000.000000	82.813
5080.000000	82.844
5150.000000	82.912
5220.000000	83.010
5300.000000	83.151
5380.000000	83.317
5450.000000	83.479
5520.000000	83.654
5600.000000	83.858
5700.000000	84.097
5800.000000	84.290
5900.000000	84.426
6000.000000	84.507
6080.000000	84.537
6150.000000	84.533
6220.000000	84.497
6300.000000	84.413
6400.000000	84.242
6500.000000	84.009
6600.000000	83.733
6700.000000	83.432
6800.000000	83.116
6900.000000	82.789
7000.000000	82.441
7100.000000	82.055
7200.000000	81.606
7300.000000	81.071
7400.000000	80.437
7500.000000	79.700
7620.000000	78.695
7750.000000	77.482
7880.000000	76.154
8000.000000	74.821
8120.000000	73.411
8250.000000	71.974
8380.000000	71.056
8500.000000	70.983
8620.000000	71.490
8750.000000	72.228
8850.000000	72.729
9000.000000	73.269
9120.000000	73.520
9250.000000	73.634
9380.000000	73.599
9500.000000	73.441
9620.000000	73.172
9750.000000	72.778
9880.000000	72.330
10000.000000	71.959
10150.000000	71.754
10300.000000	72.051
10440.000000	72.787
10600.000000	73.879
10750.000000	74.829
10900.000000	75.558
11060.000000	76.108
11200.000000	76.485
11380.000000	76.912
11500.000000	77.144
11720.000000	77.286
11800.000000	77.203
12060.000000	76.380
12200.000000	75.669
12410.000000	74.594
12500.000000	74.264
12650.000000	74.041
12800.000000	74.248
13150.000000	75.506
13200.000000	75.674
13400.000000	76.134
13600.000000	76.160
13800.000000	75.716
14000.000000	74.847
14300.000000	73.000
14500.000000	71.702
14750.000000	70.520
15000.000000	70.242
15250.000000	70.793
15500.000000	71.836
15750.000000	73.234
16000.000000	74.908
16250.000000	76.600
16500.000000	77.998
16750.000000	78.909
17000.000000	79.288
17250.000000	79.200
17500.000000	78.764
17750.000000	78.089
18000.000000	77.257
18250.000000	76.345
18500.000000	75.437
18750.000000	74.600
19000.000000	73.845
19250.000000	73.147
19500.000000	72.499
19750.000000	71.955
20000.000000	71.632
