* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R ETA Gen G (Carlos), R ETA Gen G (Carlos), R ETA Gen G (Carlos)
* Dated: Jun 30, 2024 12:01:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R ETA Gen G (Carlos), R ETA Gen G (Carlos), R ETA Gen G (Carlos)
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	72.237
20.299999	72.427
20.600000	72.621
20.900000	72.821
21.200001	73.020
21.400000	73.150
21.799999	73.399
22.000000	73.516
22.400000	73.740
22.700001	73.905
23.000000	74.071
23.299999	74.237
23.600000	74.398
24.000000	74.596
24.299999	74.724
24.700001	74.866
25.000000	74.959
25.400000	75.082
25.799999	75.218
26.200001	75.373
26.500000	75.496
26.900000	75.654
27.200001	75.760
27.600000	75.878
28.000000	75.974
28.500000	76.081
29.000000	76.198
29.500000	76.340
30.000000	76.505
30.400000	76.648
30.700001	76.758
31.100000	76.904
31.500000	77.045
32.000000	77.211
32.500000	77.367
33.000000	77.515
33.500000	77.656
34.000000	77.788
34.500000	77.909
35.000000	78.018
35.500000	78.118
36.000000	78.216
36.500000	78.314
37.000000	78.415
37.500000	78.515
38.200001	78.649
38.700001	78.736
39.500000	78.867
40.000000	78.948
40.599998	79.047
41.200001	79.145
41.799999	79.236
42.500000	79.332
43.099998	79.404
43.700001	79.468
44.400002	79.536
45.000000	79.590
45.500000	79.634
46.200001	79.695
46.799999	79.748
47.500000	79.811
48.200001	79.875
48.700001	79.921
49.400002	79.984
50.000000	80.039
50.799999	80.113
51.500000	80.174
52.200001	80.225
53.000000	80.264
53.799999	80.289
54.500000	80.305
55.200001	80.320
56.000000	80.337
57.000000	80.360
58.000000	80.381
59.000000	80.399
60.000000	80.419
60.799999	80.437
61.500000	80.453
62.200001	80.469
63.000000	80.485
64.000000	80.498
65.000000	80.506
66.000000	80.511
67.000000	80.514
68.000000	80.515
69.000000	80.515
70.000000	80.512
71.000000	80.505
72.000000	80.491
73.000000	80.472
74.000000	80.451
75.000000	80.429
76.199997	80.404
77.500000	80.378
78.800003	80.354
80.000000	80.334
81.199997	80.314
