* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L ETA Mini C (Carlos), L ETA Mini C (Carlos), L ETA Mini C (Carlos)
* Dated: Jun 30, 2024 12:02:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L ETA Mini C (Carlos), L ETA Mini C (Carlos), L ETA Mini C (Carlos)
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	82.169
20.299999	82.288
20.600000	82.401
20.900000	82.510
21.200001	82.614
21.400000	82.680
21.799999	82.806
22.000000	82.869
22.400000	83.001
22.700001	83.113
23.000000	83.239
23.299999	83.375
23.600000	83.511
24.000000	83.676
24.299999	83.779
24.700001	83.889
25.000000	83.959
25.400000	84.053
25.799999	84.163
26.200001	84.291
26.500000	84.391
26.900000	84.516
27.200001	84.599
27.600000	84.690
28.000000	84.764
28.500000	84.842
29.000000	84.911
29.500000	84.978
30.000000	85.044
30.400000	85.098
30.700001	85.139
31.100000	85.191
31.500000	85.240
32.000000	85.299
32.500000	85.360
33.000000	85.420
33.500000	85.468
34.000000	85.497
34.500000	85.507
35.000000	85.511
35.500000	85.518
36.000000	85.527
36.500000	85.528
37.000000	85.514
37.500000	85.484
38.200001	85.427
38.700001	85.388
39.500000	85.339
40.000000	85.317
40.599998	85.299
41.200001	85.288
41.799999	85.278
42.500000	85.268
43.099998	85.260
43.700001	85.259
44.400002	85.261
45.000000	85.262
45.500000	85.260
46.200001	85.257
46.799999	85.254
47.500000	85.247
48.200001	85.234
48.700001	85.224
49.400002	85.214
50.000000	85.213
50.799999	85.232
51.500000	85.276
52.200001	85.345
53.000000	85.438
53.799999	85.533
54.500000	85.619
55.200001	85.704
56.000000	85.796
57.000000	85.901
58.000000	85.992
59.000000	86.070
60.000000	86.139
60.799999	86.190
61.500000	86.233
62.200001	86.275
63.000000	86.324
64.000000	86.394
65.000000	86.470
66.000000	86.544
67.000000	86.614
68.000000	86.689
69.000000	86.771
70.000000	86.855
71.000000	86.935
72.000000	87.008
73.000000	87.074
74.000000	87.134
75.000000	87.190
76.199997	87.250
77.500000	87.305
78.800003	87.348
80.000000	87.378
81.199997	87.404
82.500000	87.430
83.800003	87.449
85.000000	87.459
86.199997	87.464
87.500000	87.470
88.500000	87.477
90.000000	87.490
91.199997	87.497
92.500000	87.499
93.800003	87.491
95.000000	87.475
96.199997	87.453
97.500000	87.428
98.800003	87.406
100.000000	87.396
101.500000	87.400
103.000000	87.418
104.400002	87.436
106.000000	87.451
107.500000	87.458
109.000000	87.461
110.599998	87.462
112.000000	87.465
113.800003	87.474
115.000000	87.484
117.199997	87.502
118.000000	87.508
120.599998	87.518
122.000000	87.516
124.099998	87.513
125.000000	87.512
126.500000	87.513
128.000000	87.517
131.500000	87.548
132.000000	87.554
134.000000	87.574
136.000000	87.591
138.000000	87.608
140.000000	87.626
143.000000	87.648
145.000000	87.660
147.500000	87.671
150.000000	87.675
152.500000	87.667
155.000000	87.648
157.500000	87.621
160.000000	87.589
162.500000	87.555
165.000000	87.519
167.500000	87.482
170.000000	87.445
172.500000	87.403
175.000000	87.359
177.500000	87.312
180.000000	87.265
182.500000	87.224
185.000000	87.196
187.500000	87.174
190.000000	87.152
192.500000	87.132
195.000000	87.116
197.500000	87.102
200.000000	87.086
203.000000	87.059
206.000000	87.024
209.000000	86.989
212.000000	86.962
214.000000	86.953
218.000000	86.948
220.000000	86.948
224.000000	86.949
227.000000	86.947
230.000000	86.943
233.000000	86.934
236.000000	86.920
240.000000	86.904
243.000000	86.896
247.000000	86.887
250.000000	86.875
254.000000	86.854
258.000000	86.831
262.000000	86.813
265.000000	86.801
269.000000	86.790
272.000000	86.790
276.000000	86.794
280.000000	86.792
285.000000	86.774
290.000000	86.746
295.000000	86.719
300.000000	86.700
304.000000	86.697
307.000000	86.702
311.000000	86.714
315.000000	86.721
320.000000	86.718
325.000000	86.697
330.000000	86.662
335.000000	86.617
340.000000	86.572
345.000000	86.533
350.000000	86.493
355.000000	86.444
360.000000	86.389
365.000000	86.340
370.000000	86.310
375.000000	86.290
382.000000	86.243
387.000000	86.191
395.000000	86.106
400.000000	86.054
406.000000	85.987
412.000000	85.918
418.000000	85.850
425.000000	85.771
431.000000	85.701
437.000000	85.632
444.000000	85.556
450.000000	85.494
455.000000	85.442
462.000000	85.371
468.000000	85.310
