* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R ETA Mini C (Carlos), R ETA Mini C (Carlos), R ETA Mini C (Carlos)
* Dated: Jun 30, 2024 12:02:45 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R ETA Mini C (Carlos), R ETA Mini C (Carlos), R ETA Mini C (Carlos)
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	82.294
20.299999	82.428
20.600000	82.554
20.900000	82.674
21.200001	82.790
21.400000	82.866
21.799999	83.018
22.000000	83.093
22.400000	83.235
22.700001	83.331
23.000000	83.418
23.299999	83.496
23.600000	83.569
24.000000	83.670
24.299999	83.753
24.700001	83.882
25.000000	83.990
25.400000	84.147
25.799999	84.302
26.200001	84.440
26.500000	84.523
26.900000	84.603
27.200001	84.646
27.600000	84.696
28.000000	84.758
28.500000	84.874
29.000000	85.023
29.500000	85.172
30.000000	85.299
30.400000	85.386
30.700001	85.448
31.100000	85.528
31.500000	85.605
32.000000	85.688
32.500000	85.754
33.000000	85.804
33.500000	85.847
34.000000	85.885
34.500000	85.912
35.000000	85.929
35.500000	85.937
36.000000	85.944
36.500000	85.950
37.000000	85.952
37.500000	85.946
38.200001	85.916
38.700001	85.879
39.500000	85.819
40.000000	85.797
40.599998	85.793
41.200001	85.802
41.799999	85.811
42.500000	85.819
43.099998	85.822
43.700001	85.817
44.400002	85.799
45.000000	85.776
45.500000	85.754
46.200001	85.723
46.799999	85.696
47.500000	85.666
48.200001	85.646
48.700001	85.643
49.400002	85.661
50.000000	85.693
50.799999	85.748
51.500000	85.804
52.200001	85.867
53.000000	85.934
53.799999	85.987
54.500000	86.031
55.200001	86.085
56.000000	86.163
57.000000	86.275
58.000000	86.397
59.000000	86.520
60.000000	86.635
60.799999	86.716
61.500000	86.779
62.200001	86.836
63.000000	86.895
64.000000	86.964
65.000000	87.029
66.000000	87.091
67.000000	87.148
68.000000	87.200
69.000000	87.247
70.000000	87.295
71.000000	87.342
72.000000	87.384
73.000000	87.420
74.000000	87.445
75.000000	87.458
76.199997	87.456
77.500000	87.436
78.800003	87.410
80.000000	87.392
81.199997	87.388
82.500000	87.407
83.800003	87.444
85.000000	87.485
86.199997	87.531
87.500000	87.583
88.500000	87.624
90.000000	87.683
91.199997	87.728
92.500000	87.773
93.800003	87.813
95.000000	87.845
96.199997	87.873
97.500000	87.896
98.800003	87.914
100.000000	87.926
101.500000	87.938
103.000000	87.947
104.400002	87.952
106.000000	87.956
107.500000	87.960
109.000000	87.962
110.599998	87.964
112.000000	87.969
113.800003	87.986
115.000000	88.007
117.199997	88.065
118.000000	88.089
120.599998	88.171
122.000000	88.212
124.099998	88.266
125.000000	88.285
126.500000	88.314
128.000000	88.339
131.500000	88.385
132.000000	88.391
134.000000	88.419
136.000000	88.451
138.000000	88.487
140.000000	88.528
143.000000	88.598
145.000000	88.643
147.500000	88.688
150.000000	88.709
152.500000	88.703
155.000000	88.672
157.500000	88.625
160.000000	88.572
162.500000	88.516
165.000000	88.457
167.500000	88.396
170.000000	88.339
172.500000	88.292
175.000000	88.260
177.500000	88.243
180.000000	88.237
182.500000	88.236
185.000000	88.236
187.500000	88.236
190.000000	88.232
192.500000	88.225
195.000000	88.214
197.500000	88.198
200.000000	88.177
203.000000	88.152
206.000000	88.128
209.000000	88.105
212.000000	88.079
214.000000	88.064
218.000000	88.041
220.000000	88.034
224.000000	88.031
227.000000	88.040
230.000000	88.054
233.000000	88.066
236.000000	88.070
240.000000	88.064
243.000000	88.051
247.000000	88.024
250.000000	88.006
254.000000	87.992
258.000000	87.995
262.000000	88.009
265.000000	88.014
269.000000	88.004
272.000000	87.986
276.000000	87.958
