* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R L TA O2 (Carlos), R L TA O2 (Carlos), R L TA O2 (Carlos)
* Dated: Jun 30, 2024 12:04:12 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R L TA O2 (Carlos), R L TA O2 (Carlos), R L TA O2 (Carlos)
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	83.106
20.299999	83.309
20.600000	83.511
20.900000	83.714
21.200001	83.918
21.400000	84.053
21.799999	84.317
22.000000	84.442
22.400000	84.674
22.700001	84.828
23.000000	84.966
23.299999	85.094
23.600000	85.216
24.000000	85.383
24.299999	85.517
24.700001	85.709
25.000000	85.859
25.400000	86.054
25.799999	86.234
26.200001	86.396
26.500000	86.511
26.900000	86.667
27.200001	86.792
27.600000	86.971
28.000000	87.152
28.500000	87.356
29.000000	87.522
29.500000	87.667
30.000000	87.831
30.400000	87.985
30.700001	88.108
31.100000	88.259
31.500000	88.381
32.000000	88.486
32.500000	88.570
33.000000	88.682
33.500000	88.840
34.000000	89.018
34.500000	89.167
35.000000	89.258
35.500000	89.297
36.000000	89.323
36.500000	89.379
37.000000	89.491
37.500000	89.642
38.200001	89.840
38.700001	89.924
39.500000	89.957
40.000000	89.958
40.599998	89.986
41.200001	90.055
41.799999	90.153
42.500000	90.280
43.099998	90.384
43.700001	90.466
44.400002	90.520
45.000000	90.532
45.500000	90.528
46.200001	90.524
46.799999	90.532
47.500000	90.554
48.200001	90.583
48.700001	90.605
49.400002	90.636
50.000000	90.664
50.799999	90.711
51.500000	90.765
52.200001	90.831
53.000000	90.919
53.799999	91.013
54.500000	91.088
55.200001	91.147
56.000000	91.188
57.000000	91.204
58.000000	91.200
59.000000	91.191
60.000000	91.190
60.799999	91.200
61.500000	91.217
62.200001	91.238
63.000000	91.262
64.000000	91.288
65.000000	91.309
66.000000	91.323
67.000000	91.333
68.000000	91.341
69.000000	91.350
70.000000	91.357
71.000000	91.360
72.000000	91.356
73.000000	91.341
74.000000	91.317
75.000000	91.287
76.199997	91.249
77.500000	91.218
78.800003	91.201
80.000000	91.197
81.199997	91.195
82.500000	91.187
83.800003	91.170
85.000000	91.146
86.199997	91.118
87.500000	91.091
88.500000	91.076
