* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R ETA O2 (Carlos), R ETA O2 (Carlos), R ETA O2 (Carlos)
* Dated: Jun 30, 2024 12:04:23 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R ETA O2 (Carlos), R ETA O2 (Carlos), R ETA O2 (Carlos)
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	81.747
20.299999	81.969
20.600000	82.166
20.900000	82.346
21.200001	82.517
21.400000	82.631
21.799999	82.861
22.000000	82.977
22.400000	83.201
22.700001	83.356
23.000000	83.496
23.299999	83.628
23.600000	83.760
24.000000	83.947
24.299999	84.103
24.700001	84.324
25.000000	84.490
25.400000	84.697
25.799999	84.881
26.200001	85.050
26.500000	85.175
26.900000	85.350
27.200001	85.490
27.600000	85.682
28.000000	85.869
28.500000	86.085
29.000000	86.281
29.500000	86.462
30.000000	86.636
30.400000	86.767
30.700001	86.859
31.100000	86.975
31.500000	87.083
32.000000	87.214
32.500000	87.342
33.000000	87.467
33.500000	87.585
34.000000	87.696
34.500000	87.802
35.000000	87.905
35.500000	88.007
36.000000	88.103
36.500000	88.195
37.000000	88.287
37.500000	88.385
38.200001	88.536
38.700001	88.645
39.500000	88.809
40.000000	88.904
40.599998	89.008
41.200001	89.102
41.799999	89.190
42.500000	89.292
43.099998	89.385
43.700001	89.479
44.400002	89.583
45.000000	89.665
45.500000	89.729
46.200001	89.809
46.799999	89.870
47.500000	89.931
48.200001	89.987
48.700001	90.025
49.400002	90.076
50.000000	90.118
50.799999	90.172
51.500000	90.216
52.200001	90.253
53.000000	90.288
53.799999	90.320
54.500000	90.349
55.200001	90.377
56.000000	90.403
57.000000	90.428
58.000000	90.443
59.000000	90.458
60.000000	90.475
60.799999	90.489
61.500000	90.501
62.200001	90.511
63.000000	90.520
64.000000	90.525
65.000000	90.529
66.000000	90.531
67.000000	90.530
68.000000	90.525
69.000000	90.515
70.000000	90.503
71.000000	90.490
72.000000	90.476
73.000000	90.458
74.000000	90.435
75.000000	90.409
76.199997	90.377
77.500000	90.346
78.800003	90.319
80.000000	90.295
81.199997	90.270
82.500000	90.242
83.800003	90.217
85.000000	90.195
86.199997	90.175
87.500000	90.153
88.500000	90.135
90.000000	90.109
91.199997	90.085
92.500000	90.056
93.800003	90.023
95.000000	89.990
96.199997	89.955
97.500000	89.920
98.800003	89.888
100.000000	89.864
101.500000	89.840
103.000000	89.819
104.400002	89.801
106.000000	89.781
107.500000	89.759
109.000000	89.736
110.599998	89.709
112.000000	89.686
113.800003	89.659
115.000000	89.645
117.199997	89.629
118.000000	89.627
120.599998	89.625
122.000000	89.626
124.099998	89.630
125.000000	89.632
126.500000	89.636
128.000000	89.643
131.500000	89.684
132.000000	89.693
134.000000	89.738
136.000000	89.788
138.000000	89.839
140.000000	89.887
143.000000	89.957
145.000000	89.993
147.500000	90.020
150.000000	90.032
152.500000	90.025
155.000000	90.001
157.500000	89.980
160.000000	89.965
162.500000	89.943
165.000000	89.911
167.500000	89.877
170.000000	89.847
172.500000	89.809
175.000000	89.752
177.500000	89.676
180.000000	89.582
182.500000	89.482
185.000000	89.403
187.500000	89.359
190.000000	89.336
192.500000	89.307
195.000000	89.267
197.500000	89.223
200.000000	89.178
203.000000	89.118
206.000000	89.053
209.000000	88.991
212.000000	88.939
214.000000	88.912
218.000000	88.869
220.000000	88.848
224.000000	88.797
227.000000	88.754
230.000000	88.709
233.000000	88.666
236.000000	88.627
240.000000	88.587
243.000000	88.559
247.000000	88.517
250.000000	88.487
254.000000	88.448
258.000000	88.402
262.000000	88.351
265.000000	88.316
269.000000	88.276
272.000000	88.250
276.000000	88.218
280.000000	88.187
285.000000	88.155
290.000000	88.127
295.000000	88.100
300.000000	88.082
304.000000	88.075
307.000000	88.073
311.000000	88.072
315.000000	88.069
320.000000	88.063
325.000000	88.057
330.000000	88.047
335.000000	88.033
340.000000	88.024
345.000000	88.026
350.000000	88.035
355.000000	88.048
360.000000	88.051
365.000000	88.032
370.000000	88.000
375.000000	87.978
382.000000	87.972
387.000000	87.970
395.000000	87.970
400.000000	87.964
406.000000	87.943
412.000000	87.931
418.000000	87.936
425.000000	87.958
431.000000	87.996
437.000000	88.043
444.000000	88.092
450.000000	88.122
455.000000	88.136
462.000000	88.150
468.000000	88.168
475.000000	88.197
482.000000	88.238
487.000000	88.278
494.000000	88.348
500.000000	88.412
508.000000	88.496
515.000000	88.566
522.000000	88.628
530.000000	88.692
538.000000	88.771
545.000000	88.844
552.000000	88.905
560.000000	88.968
570.000000	89.052
580.000000	89.129
590.000000	89.188
600.000000	89.220
608.000000	89.220
615.000000	89.202
622.000000	89.165
630.000000	89.112
640.000000	89.053
650.000000	89.009
660.000000	88.978
670.000000	88.949
680.000000	88.901
690.000000	88.835
700.000000	88.772
710.000000	88.722
720.000000	88.677
730.000000	88.639
740.000000	88.615
750.000000	88.603
762.000000	88.590
775.000000	88.582
788.000000	88.593
800.000000	88.623
812.000000	88.662
825.000000	88.700
838.000000	88.729
850.000000	88.749
862.000000	88.763
875.000000	88.781
885.000000	88.795
900.000000	88.816
912.000000	88.839
925.000000	88.875
938.000000	88.917
950.000000	88.959
962.000000	89.001
975.000000	89.048
988.000000	89.098
1000.000000	89.149
1015.000000	89.217
1030.000000	89.282
1044.000000	89.337
1060.000000	89.400
1075.000000	89.470
1090.000000	89.549
1106.000000	89.635
1120.000000	89.706
1138.000000	89.792
1150.000000	89.848
1172.000000	89.953
1180.000000	89.995
1206.000000	90.150
1220.000000	90.246
1241.000000	90.399
1250.000000	90.465
1265.000000	90.575
1280.000000	90.682
1315.000000	90.940
1320.000000	90.979
1340.000000	91.144
1360.000000	91.328
1380.000000	91.527
1400.000000	91.728
1430.000000	92.020
1450.000000	92.206
1475.000000	92.436
1500.000000	92.673
1525.000000	92.930
1550.000000	93.205
1575.000000	93.492
1600.000000	93.777
1625.000000	94.052
1650.000000	94.318
1675.000000	94.580
