* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Aug 15, 2023 4:29:30 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: ETA O2
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	70.258	161.2591
20.299999	70.495	159.2066
20.600000	70.711	157.1841
20.900000	70.912	155.2678
21.200001	71.112	153.4816
21.400000	71.249	152.3418
21.799999	71.527	150.1255
22.000000	71.666	149.0265
22.400000	71.930	146.8370
22.700001	72.111	145.2501
23.000000	72.279	143.7739
23.299999	72.442	142.4344
23.600000	72.609	141.2054
24.000000	72.840	139.6387
24.299999	73.014	138.4261
24.700001	73.227	136.7078
25.000000	73.364	135.3847
25.400000	73.516	133.6843
25.799999	73.655	132.1241
26.200001	73.803	130.6067
26.500000	73.920	129.3728
26.900000	74.062	127.5040
27.200001	74.141	125.9807
27.600000	74.204	123.9842
28.000000	74.250	122.2647
28.500000	74.366	120.4671
29.000000	74.585	118.3798
29.500000	74.808	115.3785
30.000000	74.885	111.8232
30.400000	74.815	109.4277
30.700001	74.723	108.2942
31.100000	74.647	107.7652
31.500000	74.715	107.9508
32.000000	75.020	108.0895
32.500000	75.423	107.2356
33.000000	75.760	105.4815
33.500000	75.991	103.5197
34.000000	76.160	101.8415
34.500000	76.317	100.4327
35.000000	76.466	99.0980
35.500000	76.592	97.7641
36.000000	76.695	96.4826
36.500000	76.786	95.2686
37.000000	76.873	94.0591
37.500000	76.954	92.7973
38.200001	77.054	90.9411
38.700001	77.117	89.5734
39.500000	77.206	87.3285
40.000000	77.252	85.9256
40.599998	77.301	84.3038
41.200001	77.350	82.7758
41.799999	77.400	81.3307
42.500000	77.458	79.7501
43.099998	77.506	78.5093
43.700001	77.553	77.3808
44.400002	77.612	76.1856
45.000000	77.667	75.2418
45.500000	77.717	74.4911
46.200001	77.796	73.4435
46.799999	77.868	72.4928
47.500000	77.948	71.2838
48.200001	78.013	69.9939
48.700001	78.050	69.0589
49.400002	78.092	67.7714
50.000000	78.123	66.7000
50.799999	78.164	65.3270
51.500000	78.202	64.2030
52.200001	78.253	63.1590
53.000000	78.333	62.0096
53.799999	78.429	60.8349
54.500000	78.514	59.7762
55.200001	78.591	58.7182
56.000000	78.660	57.5758
57.000000	78.719	56.3803
58.000000	78.779	55.4958
59.000000	78.876	54.5873
60.000000	78.966	53.1382
60.799999	78.973	51.6829
61.500000	78.933	50.4673
62.200001	78.879	49.4099
63.000000	78.826	48.3384
64.000000	78.789	47.0890
65.000000	78.783	45.8767
66.000000	78.799	44.6782
67.000000	78.822	43.5146
68.000000	78.845	42.4034
69.000000	78.861	41.3414
70.000000	78.868	40.3087
71.000000	78.867	39.2906
72.000000	78.861	38.2862
73.000000	78.856	37.2977
74.000000	78.855	36.3309
75.000000	78.859	35.3907
76.199997	78.866	34.3075
77.500000	78.869	33.2061
78.800003	78.863	32.1729
80.000000	78.848	31.2558
81.199997	78.828	30.3547
82.500000	78.804	29.3802
83.800003	78.781	28.4059
85.000000	78.760	27.5221
86.199997	78.741	26.6675
87.500000	78.721	25.7791
88.500000	78.704	25.1216
90.000000	78.676	24.1648
91.199997	78.651	23.4149
92.500000	78.622	22.6160
93.800003	78.592	21.8386
95.000000	78.564	21.1539
96.199997	78.539	20.5082
97.500000	78.515	19.8422
98.800003	78.492	19.1992
100.000000	78.469	18.6310
101.500000	78.439	17.9493
103.000000	78.406	17.2729
