* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 25, 2023 12:11:08 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Focal Elex L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.291	168.4860
20.299999	64.509	166.5448
20.600000	64.726	164.6766
20.900000	64.944	162.8398
21.200001	65.155	161.0112
21.400000	65.289	159.8021
21.799999	65.540	157.4723
22.000000	65.659	156.3802
22.400000	65.897	154.3676
22.700001	66.085	152.9796
23.000000	66.286	151.6271
23.299999	66.496	150.2378
23.600000	66.705	148.7618
24.000000	66.962	146.6564
24.299999	67.130	145.0380
24.700001	67.320	142.9532
25.000000	67.446	141.5077
25.400000	67.610	139.7488
25.799999	67.781	138.1013
26.200001	67.958	136.4508
26.500000	68.088	135.1707
26.900000	68.248	133.4202
27.200001	68.355	132.1072
27.600000	68.485	130.4089
28.000000	68.608	128.7914
28.500000	68.762	126.8525
29.000000	68.917	124.9401
29.500000	69.070	123.0301
30.000000	69.219	121.1436
30.400000	69.337	119.6599
30.700001	69.426	118.5579
31.100000	69.544	117.0950
31.500000	69.660	115.6379
32.000000	69.799	113.8398
32.500000	69.932	112.0880
33.000000	70.058	110.3932
33.500000	70.177	108.7643
34.000000	70.289	107.2230
34.500000	70.400	105.7811
35.000000	70.514	104.4053
35.500000	70.631	103.0282
36.000000	70.740	101.6083
36.500000	70.831	100.1739
37.000000	70.903	98.7969
37.500000	70.967	97.5215
38.200001	71.058	95.8546
38.700001	71.125	94.6813
39.500000	71.227	92.8096
40.000000	71.288	91.6736
40.599998	71.364	90.3404
41.200001	71.443	89.0045
41.799999	71.516	87.6672
42.500000	71.594	86.1611
43.099998	71.658	84.9415
43.700001	71.723	83.7659
44.400002	71.795	82.4271
45.000000	71.853	81.3171
45.500000	71.902	80.4181
46.200001	71.973	79.1588
46.799999	72.032	78.0386
47.500000	72.087	76.7050
48.200001	72.127	75.4432
48.700001	72.152	74.6331
49.400002	72.196	73.6172
50.000000	72.244	72.8074
50.799999	72.316	71.7535
51.500000	72.377	70.8466
52.200001	72.432	69.9595
53.000000	72.485	68.9415
53.799999	72.523	67.8635
54.500000	72.541	66.8541
55.200001	72.547	65.7698
56.000000	72.546	64.3843
57.000000	72.532	62.3749
58.000000	72.489	60.0939
59.000000	72.381	58.0197
60.000000	72.286	57.0067
60.799999	72.336	56.7368
61.500000	72.461	56.3304
62.200001	72.596	55.6216
63.000000	72.717	54.6735
64.000000	72.820	53.5908
65.000000	72.884	52.6536
66.000000	72.921	51.7934
67.000000	72.939	50.9242
68.000000	72.946	49.9996
69.000000	72.949	49.0300
70.000000	72.956	48.0445
71.000000	72.967	47.0672
72.000000	72.981	46.1229
73.000000	72.991	45.2448
74.000000	72.996	44.4487
75.000000	72.998	43.7147
76.199997	72.997	42.8624
77.500000	72.992	41.9487
78.800003	72.989	41.0594
80.000000	72.991	40.2623
81.199997	72.997	39.5074
82.500000	73.009	38.7642
83.800003	73.028	38.0547
85.000000	73.047	37.3685
86.199997	73.061	36.6498
87.500000	73.068	35.8754
88.500000	73.072	35.3016
90.000000	73.080	34.4663
91.199997	73.086	33.8057
92.500000	73.092	33.0922
93.800003	73.097	32.3753
95.000000	73.100	31.7063
96.199997	73.098	31.0409
97.500000	73.092	30.3546
98.800003	73.082	29.7302
100.000000	73.074	29.2057
101.500000	73.069	28.5778
103.000000	73.070	27.9178
104.400002	73.072	27.2510
106.000000	73.071	26.4774
107.500000	73.068	25.7923
109.000000	73.062	25.1704
110.599998	73.050	24.5897
112.000000	73.041	24.1343
113.800003	73.039	23.5510
115.000000	73.046	23.1390
117.199997	73.072	22.3725
118.000000	73.082	22.0996
120.599998	73.084	21.2927
122.000000	73.056	20.9697
124.099998	72.998	20.5450
125.000000	72.972	20.3375
126.500000	72.933	19.9416
128.000000	72.903	19.5118
131.500000	72.874	18.5490
132.000000	72.872	18.4189
134.000000	72.862	17.8979
136.000000	72.848	17.3624
138.000000	72.831	16.8316
140.000000	72.811	16.3464
143.000000	72.772	15.7529
145.000000	72.749	15.4100
147.500000	72.730	14.9272
150.000000	72.709	14.3468
152.500000	72.681	13.7473
155.000000	72.654	13.2178
157.500000	72.633	12.8047
160.000000	72.612	12.4895
162.500000	72.591	12.1821
165.000000	72.579	11.7617
167.500000	72.572	11.2591
170.000000	72.558	10.8241
172.500000	72.536	10.4895
175.000000	72.509	10.1751
177.500000	72.485	9.8286
180.000000	72.462	9.4809
182.500000	72.439	9.1793
185.000000	72.416	8.9218
187.500000	72.393	8.6907
190.000000	72.371	8.4790
192.500000	72.351	8.2729
195.000000	72.332	8.0563
197.500000	72.313	7.8280
200.000000	72.295	7.5992
203.000000	72.274	7.3393
206.000000	72.253	7.1037
209.000000	72.232	6.8977
212.000000	72.212	6.7159
214.000000	72.198	6.5992
218.000000	72.170	6.3680
220.000000	72.156	6.2558
224.000000	72.130	6.0380
227.000000	72.111	5.8787
230.000000	72.094	5.7227
233.000000	72.077	5.5692
236.000000	72.059	5.4175
240.000000	72.033	5.2151
243.000000	72.018	5.0692
247.000000	72.005	4.9041
250.000000	71.996	4.8109
254.000000	71.980	4.7012
258.000000	71.960	4.5742
262.000000	71.943	4.4413
265.000000	71.931	4.3508
269.000000	71.916	4.2362
272.000000	71.904	4.1497
276.000000	71.887	4.0408
280.000000	71.870	3.9523
285.000000	71.850	3.8668
290.000000	71.833	3.8028
295.000000	71.822	3.7603
300.000000	71.811	3.7028
304.000000	71.796	3.6206
307.000000	71.783	3.5570
311.000000	71.766	3.4979
315.000000	71.751	3.4644
320.000000	71.736	3.4213
325.000000	71.723	3.3649
330.000000	71.711	3.3254
335.000000	71.699	3.3168
340.000000	71.688	3.2992
345.000000	71.678	3.2325
350.000000	71.670	3.1509
355.000000	71.669	3.1331
360.000000	71.668	3.2057
365.000000	71.663	3.3234
370.000000	71.656	3.4277
375.000000	71.649	3.5001
382.000000	71.644	3.5735
387.000000	71.641	3.6111
395.000000	71.641	3.6562
400.000000	71.641	3.6868
406.000000	71.639	3.7192
412.000000	71.637	3.7430
418.000000	71.635	3.7824
425.000000	71.633	3.8892
431.000000	71.631	4.0229
437.000000	71.628	4.1713
444.000000	71.627	4.3508
450.000000	71.631	4.5017
455.000000	71.636	4.6163
462.000000	71.647	4.7517
468.000000	71.658	4.8455
475.000000	71.670	4.9358
482.000000	71.683	5.0295
487.000000	71.693	5.1130
494.000000	71.710	5.2502
500.000000	71.723	5.3744
508.000000	71.741	5.5454
515.000000	71.758	5.7094
522.000000	71.778	5.8831
530.000000	71.806	6.0728
538.000000	71.834	6.2372
545.000000	71.857	6.3575
552.000000	71.879	6.4670
560.000000	71.906	6.5959
570.000000	71.941	6.7563
580.000000	71.972	6.9022
590.000000	71.999	7.0526
600.000000	72.030	7.2347
608.000000	72.059	7.4054
615.000000	72.088	7.5646
622.000000	72.119	7.7281
630.000000	72.157	7.9097
640.000000	72.208	8.1119
650.000000	72.260	8.2851
660.000000	72.311	8.4417
670.000000	72.360	8.5939
680.000000	72.409	8.7537
690.000000	72.462	8.9136
700.000000	72.517	9.0393
710.000000	72.573	9.1262
720.000000	72.625	9.1922
730.000000	72.672	9.2626
740.000000	72.713	9.3613
750.000000	72.752	9.4922
762.000000	72.801	9.6873
775.000000	72.862	9.9243
788.000000	72.934	10.1590
800.000000	73.009	10.3361
812.000000	73.082	10.4741
825.000000	73.157	10.6262
838.000000	73.232	10.7791
850.000000	73.299	10.9183
862.000000	73.367	11.0997
875.000000	73.453	11.3347
885.000000	73.528	11.4880
900.000000	73.643	11.6260
912.000000	73.729	11.7010
925.000000	73.821	11.7900
938.000000	73.921	11.8743
950.000000	74.020	11.9343
962.000000	74.125	11.9725
975.000000	74.245	11.9496
988.000000	74.360	11.8169
1000.000000	74.453	11.6359
1015.000000	74.555	11.4451
1030.000000	74.656	11.3210
1044.000000	74.754	11.2203
1060.000000	74.871	11.0787
1075.000000	74.977	10.9103
1090.000000	75.080	10.7662
1106.000000	75.197	10.6908
1120.000000	75.321	10.6295
1138.000000	75.501	10.3603
1150.000000	75.616	10.0350
1172.000000	75.803	9.3459
1180.000000	75.869	9.0776
1206.000000	76.076	8.0260
1220.000000	76.170	7.3655
1241.000000	76.282	6.3976
1250.000000	76.325	6.0203
1265.000000	76.399	5.4156
1280.000000	76.477	4.7877
1315.000000	76.639	3.1116
1320.000000	76.658	2.8551
1340.000000	76.719	1.8208
1360.000000	76.757	0.8422
1380.000000	76.789	-0.0168
1400.000000	76.829	-0.8486
1430.000000	76.886	-2.2806
1450.000000	76.896	-3.2998
1475.000000	76.884	-4.5587
1500.000000	76.835	-5.7981
1525.000000	76.748	-6.8534
1550.000000	76.643	-7.5675
1575.000000	76.561	-8.0127
1600.000000	76.509	-8.4779
1625.000000	76.448	-9.0803
1650.000000	76.360	-9.6434
1675.000000	76.256	-10.1015
1700.000000	76.131	-10.4153
1725.000000	75.993	-10.4461
1750.000000	75.869	-10.1946
1775.000000	75.768	-9.7449
1800.000000	75.707	-9.1410
1825.000000	75.700	-8.5907
1850.000000	75.724	-8.3384
1875.000000	75.735	-8.4080
1900.000000	75.705	-8.6370
1925.000000	75.627	-8.8229
1950.000000	75.511	-8.8070
1975.000000	75.371	-8.4899
2000.000000	75.230	-7.8152
2030.000000	75.092	-6.6575
2060.000000	74.984	-5.2835
2090.000000	74.900	-3.6189
2120.000000	74.866	-1.6479
2140.000000	74.880	-0.2115
2180.000000	75.024	2.7907
2200.000000	75.157	4.1845
2240.000000	75.494	6.3854
2270.000000	75.759	7.5158
2300.000000	76.000	8.3492
2330.000000	76.216	9.1209
2360.000000	76.431	10.0066
2400.000000	76.761	11.2981
2430.000000	77.044	12.1940
2470.000000	77.455	13.1981
2500.000000	77.790	13.8156
2540.000000	78.280	14.4000
2580.000000	78.807	14.5468
2620.000000	79.345	14.1680
2650.000000	79.746	13.5781
2690.000000	80.283	12.4070
2720.000000	80.683	11.1423
2760.000000	81.174	8.7911
2800.000000	81.558	5.7703
2850.000000	81.848	1.7994
2900.000000	82.017	-1.5131
2950.000000	82.201	-4.2574
3000.000000	82.417	-7.1332
3040.000000	82.564	-9.7517
3070.000000	82.639	-11.8294
3110.000000	82.692	-14.5940
3150.000000	82.705	-17.2461
3200.000000	82.688	-20.4151
3250.000000	82.638	-23.4896
3300.000000	82.553	-26.4952
3350.000000	82.426	-29.4363
3400.000000	82.250	-32.1378
3450.000000	82.067	-34.5074
3500.000000	81.911	-36.8418
3550.000000	81.760	-39.5054
3600.000000	81.553	-42.5376
3650.000000	81.247	-45.6639
3700.000000	80.842	-48.5954
3750.000000	80.343	-51.1965
3820.000000	79.459	-53.7521
3870.000000	78.701	-54.1211
3950.000000	77.485	-51.4450
4000.000000	76.922	-48.3483
4060.000000	76.562	-44.5280
4120.000000	76.463	-41.6586
4180.000000	76.450	-40.0085
4250.000000	76.395	-39.1266
4310.000000	76.271	-38.7510
4370.000000	76.070	-38.3041
4440.000000	75.769	-37.2466
4500.000000	75.515	-35.7216
4550.000000	75.355	-34.1962
4620.000000	75.210	-32.1352
4680.000000	75.122	-30.5509
4750.000000	75.044	-28.8184
4820.000000	74.989	-27.2583
4870.000000	74.956	-26.2926
4940.000000	74.890	-25.1450
5000.000000	74.787	-24.1942
5080.000000	74.585	-22.4733
5150.000000	74.411	-20.3564
5220.000000	74.285	-17.8905
5300.000000	74.187	-14.8427
5380.000000	74.121	-11.2629
5450.000000	74.154	-7.3140
5520.000000	74.398	-2.5762
5600.000000	75.073	3.0680
5700.000000	76.418	8.1846
5800.000000	77.902	9.1109
5900.000000	79.176	5.6029
6000.000000	80.056	-1.4571
6080.000000	80.404	-8.6632
6150.000000	80.432	-15.2561
6220.000000	80.219	-21.4093
6300.000000	79.726	-27.2383
6400.000000	78.840	-32.0099
6500.000000	77.827	-33.8561
6600.000000	76.867	-33.3600
6700.000000	76.096	-31.3620
6800.000000	75.577	-28.7490
6900.000000	75.299	-26.2732
7000.000000	75.187	-24.4055
7100.000000	75.159	-23.3502
7200.000000	75.139	-23.1161
7300.000000	75.069	-23.4512
7400.000000	74.939	-23.9659
7500.000000	74.783	-24.5007
7620.000000	74.603	-25.4373
7750.000000	74.374	-27.3243
7880.000000	73.982	-30.0504
8000.000000	73.368	-32.4008
8120.000000	72.500	-33.2822
8250.000000	71.395	-31.4333
8380.000000	70.416	-26.7234
8500.000000	69.940	-21.2518
8620.000000	69.969	-16.7476
8750.000000	70.322	-14.8519
8850.000000	70.578	-15.8550
9000.000000	70.685	-20.4892
9120.000000	70.466	-25.9187
9250.000000	69.917	-32.9098
9380.000000	69.020	-40.8698
9500.000000	67.844	-49.0979
9620.000000	66.299	-58.7880
9750.000000	64.199	-73.2236
9880.000000	61.724	-96.0798
10000.000000	59.478	-127.6809
10150.000000	58.307	-176.3296
10300.000000	59.727	141.0170
10440.000000	61.714	115.5447
10600.000000	63.761	100.3475
10750.000000	65.414	93.0784
10900.000000	66.858	87.9347
11060.000000	68.168	82.2168
11200.000000	69.085	76.1295
11380.000000	69.906	66.8096
11500.000000	70.249	60.0690
11720.000000	70.617	47.0593
11800.000000	70.700	41.8785
12060.000000	70.675	21.5867
12200.000000	70.328	8.4604
12410.000000	69.254	-12.4097
12500.000000	68.636	-21.4346
12650.000000	67.544	-36.8333
12800.000000	66.568	-53.3892
13150.000000	65.706	-96.7881
13200.000000	65.807	-103.1455
13400.000000	66.719	-128.0369
13600.000000	68.043	-151.9690
13800.000000	69.279	-175.1449
14000.000000	70.176	162.5013
14300.000000	70.776	130.7426
14500.000000	70.723	110.0941
14750.000000	70.119	82.3892
15000.000000	68.704	48.9215
15250.000000	66.344	2.7461
15500.000000	63.334	-63.7415
15750.000000	61.158	-140.1593
16000.000000	61.185	159.5708
16250.000000	61.965	123.1670
16500.000000	62.514	101.9810
16750.000000	62.823	87.0731
17000.000000	62.880	73.2822
17250.000000	62.589	59.4052
17500.000000	62.010	45.7898
17750.000000	61.245	32.2194
18000.000000	60.277	18.8683
18250.000000	59.124	6.5806
18500.000000	57.997	-4.6570
18750.000000	57.226	-16.3010
19000.000000	57.052	-30.4103
19250.000000	57.430	-48.8140
19500.000000	58.022	-71.4214
19750.000000	58.503	-94.0605
