* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Nov 25, 2023 12:09:49 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Focal Elex R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	64.204	166.4334
20.299999	64.422	164.7087
20.600000	64.640	162.9792
20.900000	64.850	161.2113
21.200001	65.046	159.4080
21.400000	65.166	158.2039
21.799999	65.381	155.8651
22.000000	65.479	154.7605
22.400000	65.668	152.7122
22.700001	65.816	151.3048
23.000000	65.976	149.9587
23.299999	66.148	148.6115
23.600000	66.330	147.2043
24.000000	66.571	145.1791
24.299999	66.740	143.5601
24.700001	66.940	141.3436
25.000000	67.072	139.7091
25.400000	67.230	137.6425
25.799999	67.384	135.7289
26.200001	67.542	133.9283
26.500000	67.664	132.6132
26.900000	67.826	130.8741
27.200001	67.943	129.5812
27.600000	68.088	127.9050
28.000000	68.224	126.3253
28.500000	68.389	124.5178
29.000000	68.559	122.8460
29.500000	68.736	121.2107
30.000000	68.907	119.5375
30.400000	69.033	118.1700
30.700001	69.119	117.1411
31.100000	69.224	115.7796
31.500000	69.319	114.4356
32.000000	69.428	112.7769
32.500000	69.527	111.1506
33.000000	69.623	109.5901
33.500000	69.728	108.1039
34.000000	69.855	106.6204
34.500000	70.000	105.0199
35.000000	70.142	103.2360
35.500000	70.256	101.3332
36.000000	70.332	99.4875
36.500000	70.379	97.8730
37.000000	70.416	96.5644
37.500000	70.463	95.5229
38.200001	70.557	94.3006
38.700001	70.638	93.4473
39.500000	70.763	91.9611
40.000000	70.827	90.9493
40.599998	70.886	89.6759
41.200001	70.932	88.3597
41.799999	70.974	87.0087
42.500000	71.030	85.3698
43.099998	71.087	83.8963
43.700001	71.149	82.3930
44.400002	71.225	80.6994
45.000000	71.294	79.3588
45.500000	71.350	78.3414
46.200001	71.415	77.1191
46.799999	71.457	76.3045
47.500000	71.494	75.5923
48.200001	71.516	74.9969
48.700001	71.520	74.5519
49.400002	71.504	73.7764
50.000000	71.470	72.8619
50.799999	71.386	71.1208
51.500000	71.258	69.0662
52.200001	71.039	66.8895
53.000000	70.710	65.3990
53.799999	70.542	65.6694
54.500000	70.716	66.3596
55.200001	71.094	66.1885
56.000000	71.521	64.8268
57.000000	71.904	62.9640
58.000000	72.196	62.0421
59.000000	72.490	61.6407
60.000000	72.721	60.5547
60.799999	72.751	59.1204
61.500000	72.668	57.9259
62.200001	72.543	56.9688
63.000000	72.418	56.0099
64.000000	72.322	54.7396
65.000000	72.291	53.3636
66.000000	72.308	52.0330
67.000000	72.354	50.9005
68.000000	72.409	49.9934
69.000000	72.453	49.2549
70.000000	72.477	48.5982
71.000000	72.482	47.9223
72.000000	72.475	47.1489
73.000000	72.464	46.2692
74.000000	72.459	45.3395
75.000000	72.467	44.4254
76.199997	72.496	43.3869
77.500000	72.528	42.3867
78.800003	72.552	41.5737
80.000000	72.567	40.9265
81.199997	72.577	40.2892
82.500000	72.587	39.5456
83.800003	72.597	38.7421
85.000000	72.609	37.9739
86.199997	72.623	37.2131
87.500000	72.638	36.4268
88.500000	72.648	35.8544
90.000000	72.661	35.0402
91.199997	72.668	34.4164
92.500000	72.676	33.7549
93.800003	72.687	33.0895
95.000000	72.698	32.4722
96.199997	72.709	31.8619
97.500000	72.717	31.2117
98.800003	72.718	30.5806
100.000000	72.713	30.0216
101.500000	72.708	29.3112
103.000000	72.705	28.5107
104.400002	72.696	27.7249
106.000000	72.684	26.9765
107.500000	72.688	26.4434
109.000000	72.697	25.9520
110.599998	72.697	25.4011
112.000000	72.688	24.8826
113.800003	72.680	24.1763
115.000000	72.684	23.6980
117.199997	72.702	22.8428
118.000000	72.703	22.5498
120.599998	72.652	21.7524
122.000000	72.605	21.4766
124.099998	72.569	21.1516
125.000000	72.573	20.9844
126.500000	72.594	20.6262
128.000000	72.613	20.1765
131.500000	72.574	19.0736
132.000000	72.562	18.9341
134.000000	72.515	18.4100
