* Measurement data measured by REW V5.20.13
* Source: Vector average
* Format: Vector average
* Dated: Nov 25, 2023 11:50:26 AM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Vector average of Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5, Faunus Impedance Test 5
* Measurement: Vector average
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	65.407	175.9587
20.299999	65.631	174.3102
20.600000	65.857	172.7637
20.900000	66.090	171.2810
21.200001	66.329	169.8140
21.400000	66.491	168.8232
21.799999	66.812	166.7869
22.000000	66.969	165.7413
22.400000	67.268	163.6193
22.700001	67.480	162.0328
23.000000	67.681	160.4761
23.299999	67.875	158.9630
23.600000	68.063	157.4969
24.000000	68.307	155.6078
24.299999	68.487	154.2312
24.700001	68.723	152.4397
25.000000	68.896	151.1260
25.400000	69.123	149.4107
25.799999	69.347	147.7274
26.200001	69.567	146.0596
26.500000	69.728	144.8101
26.900000	69.935	143.1427
27.200001	70.084	141.8961
27.600000	70.273	140.2547
28.000000	70.454	138.6518
28.500000	70.671	136.7070
29.000000	70.884	134.8008
29.500000	71.090	132.8992
30.000000	71.284	130.9974
30.400000	71.429	129.4974
30.700001	71.533	128.3997
31.100000	71.667	126.9827
31.500000	71.801	125.6146
32.000000	71.971	123.9427
32.500000	72.141	122.2746
33.000000	72.307	120.5951
33.500000	72.466	118.9210
34.000000	72.617	117.2767
34.500000	72.764	115.6677
35.000000	72.907	114.0803
35.500000	73.043	112.5048
36.000000	73.170	110.9549
36.500000	73.288	109.4595
37.000000	73.401	108.0379
37.500000	73.513	106.6829
38.200001	73.673	104.8423
38.700001	73.788	103.5328
39.500000	73.963	101.4329
40.000000	74.066	100.1298
40.599998	74.183	98.5872
41.200001	74.296	97.0692
41.799999	74.405	95.5731
42.500000	74.528	93.8488
43.099998	74.630	92.3871
43.700001	74.728	90.9474
44.400002	74.839	89.3101
45.000000	74.932	87.9426
45.500000	75.010	86.8179
46.200001	75.116	85.2534
46.799999	75.201	83.9245
47.500000	75.293	82.4012
48.200001	75.376	80.9086
48.700001	75.430	79.8591
49.400002	75.497	78.4213
50.000000	75.547	77.2299
50.799999	75.610	75.6963
51.500000	75.665	74.3768
52.200001	75.718	73.0576
53.000000	75.777	71.5497
53.799999	75.831	70.0541
54.500000	75.875	68.7801
55.200001	75.919	67.5681
56.000000	75.973	66.2676
57.000000	76.052	64.7294
58.000000	76.141	63.2351
59.000000	76.229	61.6988
60.000000	76.289	60.1023
60.799999	76.308	58.9032
61.500000	76.314	57.9713
62.200001	76.321	57.1154
63.000000	76.335	56.1575
64.000000	76.353	54.9391
65.000000	76.370	53.7042
66.000000	76.387	52.4740
67.000000	76.406	51.2732
68.000000	76.428	50.1131
69.000000	76.454	48.9991
70.000000	76.481	47.9336
71.000000	76.509	46.9115
72.000000	76.536	45.9194
73.000000	76.563	44.9301
74.000000	76.587	43.9257
75.000000	76.607	42.9134
76.199997	76.628	41.7058
77.500000	76.651	40.4194
78.800003	76.673	39.1682
80.000000	76.693	38.0659
81.199997	76.712	37.0190
82.500000	76.733	35.9304
83.800003	76.751	34.8693
85.000000	76.767	33.9058
86.199997	76.782	32.9558
87.500000	76.800	31.9403
88.500000	76.814	31.1693
90.000000	76.837	30.0282
91.199997	76.855	29.1234
92.500000	76.873	28.1408
93.800003	76.888	27.1435
95.000000	76.899	26.2050
96.199997	76.906	25.2520
97.500000	76.910	24.2114
98.800003	76.909	23.1738
100.000000	76.903	22.2351
101.500000	76.883	21.1207
103.000000	76.850	20.1121
104.400002	76.814	19.2887
106.000000	76.775	18.4769
107.500000	76.749	17.7753
109.000000	76.731	17.0615
110.599998	76.713	16.2932
112.000000	76.699	15.6642
113.800003	76.695	14.8779
115.000000	76.699	14.3140
117.199997	76.706	13.1903
118.000000	76.706	12.7703
120.599998	76.701	11.4463
122.000000	76.698	10.7711
124.099998	76.692	9.7842
125.000000	76.689	9.3666
126.500000	76.681	8.6740
128.000000	76.670	7.9828
131.500000	76.639	6.3849
132.000000	76.634	6.1617
134.000000	76.614	5.2870
136.000000	76.593	4.4430
138.000000	76.571	3.6307
140.000000	76.546	2.8418
143.000000	76.505	1.6914
145.000000	76.475	0.9532
147.500000	76.435	0.0704
150.000000	76.397	-0.7754
152.500000	76.362	-1.5988
155.000000	76.330	-2.4016
157.500000	76.301	-3.1689
160.000000	76.276	-3.9026
162.500000	76.250	-4.6171
165.000000	76.224	-5.3201
167.500000	76.197	-6.0222
170.000000	76.170	-6.7240
172.500000	76.143	-7.4211
175.000000	76.117	-8.1128
177.500000	76.090	-8.7986
180.000000	76.065	-9.4784
182.500000	76.039	-10.1490
185.000000	76.012	-10.8089
187.500000	75.984	-11.4593
190.000000	75.954	-12.1010
192.500000	75.923	-12.7341
195.000000	75.891	-13.3585
197.500000	75.859	-13.9725
200.000000	75.826	-14.5743
203.000000	75.787	-15.2797
206.000000	75.747	-15.9681
209.000000	75.706	-16.6414
212.000000	75.663	-17.3000
214.000000	75.635	-17.7300
218.000000	75.578	-18.5601
220.000000	75.549	-18.9602
224.000000	75.489	-19.7449
227.000000	75.444	-20.3289
230.000000	75.400	-20.9011
233.000000	75.356	-21.4504
236.000000	75.313	-21.9769
240.000000	75.256	-22.6540
243.000000	75.213	-23.1506
247.000000	75.155	-23.8010
250.000000	75.111	-24.2771
254.000000	75.054	-24.8912
258.000000	74.998	-25.4819
262.000000	74.942	-26.0541
265.000000	74.900	-26.4749
269.000000	74.845	-27.0242
272.000000	74.803	-27.4248
276.000000	74.749	-27.9442
280.000000	74.695	-28.4504
285.000000	74.630	-29.0633
290.000000	74.566	-29.6531
295.000000	74.501	-30.2208
300.000000	74.435	-30.7682
304.000000	74.382	-31.1901
307.000000	74.343	-31.4920
311.000000	74.291	-31.8698
315.000000	74.242	-32.2211
320.000000	74.184	-32.6340
325.000000	74.132	-33.0368
330.000000	74.083	-33.4457
335.000000	74.035	-33.8578
340.000000	73.988	-34.2572
345.000000	73.943	-34.6350
350.000000	73.902	-35.0011
355.000000	73.862	-35.3667
360.000000	73.825	-35.7371
365.000000	73.789	-36.1157
370.000000	73.755	-36.5020
375.000000	73.719	-36.8906
382.000000	73.666	-37.4241
387.000000	73.628	-37.7886
395.000000	73.568	-38.3501
400.000000	73.531	-38.6967
406.000000	73.486	-39.0998
412.000000	73.440	-39.4697
418.000000	73.396	-39.7937
425.000000	73.351	-40.1198
431.000000	73.319	-40.3840
437.000000	73.295	-40.6634
444.000000	73.272	-41.0215
450.000000	73.255	-41.3538
455.000000	73.241	-41.6434
462.000000	73.220	-42.0611
468.000000	73.203	-42.4257
475.000000	73.182	-42.8533
482.000000	73.161	-43.2803
487.000000	73.145	-43.5838
494.000000	73.123	-44.0048
500.000000	73.105	-44.3608
508.000000	73.083	-44.8315
515.000000	73.064	-45.2455
522.000000	73.047	-45.6659
530.000000	73.028	-46.1568
538.000000	73.007	-46.6570
545.000000	72.985	-47.0922
552.000000	72.961	-47.5090
560.000000	72.932	-47.9468
570.000000	72.901	-48.4425
580.000000	72.880	-48.9271
590.000000	72.866	-49.4332
600.000000	72.853	-49.9606
608.000000	72.842	-50.3910
615.000000	72.834	-50.7695
622.000000	72.825	-51.1497
630.000000	72.816	-51.5896
640.000000	72.805	-52.1498
650.000000	72.792	-52.7136
660.000000	72.777	-53.2643
670.000000	72.762	-53.7905
680.000000	72.749	-54.2909
690.000000	72.740	-54.7749
700.000000	72.735	-55.2625
710.000000	72.734	-55.7688
720.000000	72.733	-56.2944
730.000000	72.733	-56.8313
740.000000	72.731	-57.3700
750.000000	72.730	-57.9062
762.000000	72.729	-58.5551
775.000000	72.728	-59.2744
788.000000	72.724	-60.0003
800.000000	72.717	-60.6485
812.000000	72.709	-61.2519
825.000000	72.707	-61.8676
838.000000	72.712	-62.4843
850.000000	72.721	-63.0740
862.000000	72.732	-63.6849
875.000000	72.743	-64.3633
885.000000	72.750	-64.8896
900.000000	72.761	-65.6776
912.000000	72.771	-66.3045
925.000000	72.781	-66.9800
938.000000	72.791	-67.6503
950.000000	72.801	-68.2655
962.000000	72.812	-68.8785
975.000000	72.824	-69.5362
988.000000	72.839	-70.1871
1000.000000	72.853	-70.7867
1015.000000	72.872	-71.5374
1030.000000	72.892	-72.2861
1044.000000	72.911	-72.9791
1060.000000	72.935	-73.7585
1075.000000	72.960	-74.4753
1090.000000	72.988	-75.1876
1106.000000	73.019	-75.9514
1120.000000	73.047	-76.6128
1138.000000	73.084	-77.4316
1150.000000	73.113	-77.9567
1172.000000	73.177	-78.8967
1180.000000	73.205	-79.2394
1206.000000	73.305	-80.3868
1220.000000	73.366	-81.0323
1241.000000	73.463	-82.0494
1250.000000	73.505	-82.5046
1265.000000	73.577	-83.2831
1280.000000	73.651	-84.0773
1315.000000	73.830	-86.0138
1320.000000	73.855	-86.3021
1340.000000	73.956	-87.4706
1360.000000	74.056	-88.6373
1380.000000	74.160	-89.7913
1400.000000	74.271	-90.9631
1430.000000	74.443	-92.8035
1450.000000	74.558	-94.0624
1475.000000	74.707	-95.6614
1500.000000	74.859	-97.3138
1525.000000	75.013	-99.0105
1550.000000	75.167	-100.7471
1575.000000	75.322	-102.5215
1600.000000	75.479	-104.3192
1625.000000	75.640	-106.1625
1650.000000	75.799	-108.0636
1675.000000	75.954	-109.9967
1700.000000	76.108	-111.9518
1725.000000	76.260	-113.9194
1750.000000	76.413	-115.8875
1775.000000	76.569	-117.8718
1800.000000	76.725	-119.8888
1825.000000	76.879	-121.9347
1850.000000	77.032	-123.9994
1875.000000	77.181	-126.0652
1900.000000	77.331	-128.1104
1925.000000	77.486	-130.1449
1950.000000	77.646	-132.2074
1975.000000	77.804	-134.3055
2000.000000	77.957	-136.4004
2030.000000	78.143	-138.8704
2060.000000	78.338	-141.3141
2090.000000	78.539	-143.7698
2120.000000	78.745	-146.2310
