* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Dec 27, 2023 5:56:24 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Faunis PortaP Pads
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	59.801	-168.7302
20.299999	60.012	-170.3713
20.600000	60.249	-171.6319
20.900000	60.544	-172.6770
21.200001	60.901	-173.7755
21.400000	61.163	-174.6750
21.799999	61.691	-177.0355
22.000000	61.936	-178.4914
22.400000	62.361	178.2225
22.700001	62.619	175.6532
23.000000	62.838	173.1403
23.299999	63.030	170.7320
23.600000	63.205	168.4029
24.000000	63.405	165.3351
24.299999	63.516	163.0795
24.700001	63.594	160.3292
25.000000	63.609	158.6845
25.400000	63.621	157.2887
25.799999	63.707	156.7584
26.200001	63.928	156.6417
26.500000	64.179	156.4556
26.900000	64.568	155.7299
27.200001	64.859	154.7698
27.600000	65.203	153.1054
28.000000	65.489	151.2739
28.500000	65.792	149.0669
29.000000	66.067	147.0057
29.500000	66.323	144.9885
30.000000	66.554	142.9833
30.400000	66.722	141.4192
30.700001	66.842	140.2776
31.100000	67.001	138.7817
31.500000	67.157	137.2867
32.000000	67.348	135.3962
32.500000	67.534	133.4912
33.000000	67.721	131.5748
33.500000	67.907	129.6157
34.000000	68.087	127.5875
34.500000	68.250	125.5201
35.000000	68.390	123.5004
35.500000	68.514	121.6162
36.000000	68.630	119.9110
36.500000	68.751	118.3717
37.000000	68.882	116.9405
37.500000	69.021	115.5461
38.200001	69.220	113.5677
38.700001	69.356	112.1267
39.500000	69.558	109.8060
40.000000	69.676	108.3425
40.599998	69.808	106.5559
41.200001	69.926	104.7499
41.799999	70.029	102.9663
42.500000	70.134	100.9649
43.099998	70.216	99.3454
43.700001	70.298	97.8246
44.400002	70.403	96.1295
45.000000	70.499	94.6634
45.500000	70.577	93.3992
46.200001	70.672	91.5891
46.799999	70.742	90.0365
47.500000	70.814	88.2217
48.200001	70.871	86.4104
48.700001	70.901	85.1692
49.400002	70.941	83.5963
50.000000	70.988	82.4142
50.799999	71.092	80.9398
51.500000	71.205	79.5456
52.200001	71.300	77.9961
53.000000	71.345	76.3081
53.799999	71.352	75.0482
54.500000	71.371	74.1933
55.200001	71.402	73.2477
56.000000	71.407	71.9134
57.000000	71.344	70.1321
58.000000	71.235	68.4263
59.000000	71.120	67.0455
60.000000	71.111	66.1252
60.799999	71.224	65.1940
61.500000	71.356	63.9634
62.200001	71.469	62.5002
63.000000	71.566	60.8550
64.000000	71.651	59.0694
65.000000	71.709	57.5983
66.000000	71.746	56.3368
67.000000	71.761	55.1558
68.000000	71.755	54.0030
69.000000	71.739	52.8707
70.000000	71.724	51.7521
71.000000	71.717	50.6481
72.000000	71.719	49.5794
73.000000	71.728	48.5584
74.000000	71.742	47.5739
75.000000	71.755	46.6010
76.199997	71.765	45.4180
77.500000	71.767	44.1116
78.800003	71.762	42.7960
80.000000	71.752	41.6130
81.199997	71.738	40.5343
82.500000	71.727	39.5110
83.800003	71.721	38.5507
85.000000	71.709	37.6588
86.199997	71.687	36.7667
87.500000	71.658	35.8134
88.500000	71.637	35.0978
90.000000	71.617	34.0658
91.199997	71.612	33.2732
92.500000	71.611	32.4419
93.800003	71.608	31.6365
95.000000	71.599	30.9037
96.199997	71.584	30.1451
97.500000	71.562	29.2661
98.800003	71.534	28.3499
100.000000	71.505	27.5248
101.500000	71.469	26.6053
103.000000	71.438	25.8516
104.400002	71.413	25.2572
106.000000	71.384	24.6034
107.500000	71.355	23.9567
109.000000	71.329	23.2937
110.599998	71.307	22.6116
112.000000	71.288	22.0447
113.800003	71.243	21.3052
115.000000	71.194	20.7269
117.199997	71.059	19.3738
118.000000	70.998	18.8628
120.599998	70.867	17.7592
122.000000	70.891	17.4081
124.099998	70.975	16.7782
125.000000	70.998	16.4905
126.500000	71.005	16.0411
128.000000	70.984	15.6222
131.500000	70.907	14.5906
132.000000	70.898	14.4362
134.000000	70.859	13.8276
136.000000	70.815	13.2421
138.000000	70.765	12.6604
140.000000	70.711	12.0827
143.000000	70.631	11.2981
145.000000	70.580	10.8610
147.500000	70.520	10.3698
150.000000	70.460	9.9209
152.500000	70.398	9.5122
155.000000	70.335	9.1093
157.500000	70.279	8.7083
160.000000	70.239	8.3457
162.500000	70.208	8.0300
165.000000	70.176	7.7347
167.500000	70.140	7.3879
170.000000	70.105	6.9602
172.500000	70.071	6.5171
175.000000	70.035	6.1088
177.500000	69.991	5.7321
180.000000	69.946	5.3767
182.500000	69.908	5.0385
185.000000	69.876	4.7284
187.500000	69.844	4.4476
190.000000	69.805	4.1735
192.500000	69.761	3.8959
195.000000	69.715	3.6249
197.500000	69.670	3.3699
200.000000	69.628	3.1211
203.000000	69.577	2.8264
206.000000	69.523	2.5599
209.000000	69.464	2.3407
212.000000	69.405	2.1602
214.000000	69.368	2.0555
218.000000	69.298	1.8805
220.000000	69.265	1.8030
224.000000	69.205	1.6422
227.000000	69.164	1.5129
230.000000	69.123	1.3874
233.000000	69.081	1.2784
236.000000	69.040	1.1912
240.000000	68.989	1.1001
243.000000	68.952	1.0392
247.000000	68.904	0.9624
250.000000	68.869	0.9093
254.000000	68.821	0.8300
258.000000	68.769	0.7267
262.000000	68.714	0.6141
265.000000	68.672	0.5576
269.000000	68.616	0.5546
272.000000	68.573	0.5927
276.000000	68.519	0.6572
280.000000	68.476	0.7109
285.000000	68.435	0.7612
290.000000	68.396	0.8168
295.000000	68.342	0.8813
300.000000	68.281	0.9573
304.000000	68.237	1.0508
307.000000	68.209	1.1360
311.000000	68.173	1.2489
315.000000	68.139	1.3400
320.000000	68.100	1.4133
325.000000	68.066	1.4836
330.000000	68.031	1.5923
335.000000	67.994	1.7216
340.000000	67.954	1.8537
345.000000	67.912	1.9933
350.000000	67.871	2.1522
355.000000	67.833	2.3380
360.000000	67.796	2.5359
365.000000	67.756	2.7168
370.000000	67.714	2.8721
375.000000	67.674	3.0260
382.000000	67.620	3.2826
387.000000	67.581	3.5002
395.000000	67.520	3.8981
400.000000	67.485	4.1708
406.000000	67.450	4.5068
412.000000	67.422	4.8467
418.000000	67.395	5.1959
425.000000	67.357	5.6102
431.000000	67.323	5.9675
437.000000	67.293	6.3282
444.000000	67.264	6.7535
450.000000	67.240	7.1141
455.000000	67.220	7.4029
462.000000	67.194	7.7936
468.000000	67.173	8.1302
475.000000	67.147	8.5423
482.000000	67.122	8.9913
487.000000	67.104	9.3312
494.000000	67.082	9.8086
500.000000	67.066	10.2063
508.000000	67.047	10.7236
515.000000	67.030	11.1866
522.000000	67.012	11.6793
530.000000	66.998	12.2703
538.000000	66.989	12.8552
545.000000	66.983	13.3381
552.000000	66.977	13.8015
560.000000	66.971	14.3364
570.000000	66.966	15.0242
580.000000	66.965	15.7186
590.000000	66.966	16.4166
600.000000	66.969	17.1183
608.000000	66.973	17.6827
615.000000	66.976	18.1744
622.000000	66.981	18.6613
630.000000	66.986	19.2123
640.000000	66.994	19.8969
650.000000	67.003	20.5831
660.000000	67.013	21.2779
670.000000	67.025	21.9908
680.000000	67.038	22.7134
690.000000	67.054	23.4330
700.000000	67.073	24.1513
710.000000	67.094	24.8752
720.000000	67.114	25.6085
730.000000	67.133	26.3470
740.000000	67.153	27.0856
750.000000	67.177	27.8269
762.000000	67.213	28.7244
775.000000	67.257	29.6941
788.000000	67.304	30.6477
800.000000	67.348	31.5196
812.000000	67.393	32.3931
825.000000	67.443	33.3431
838.000000	67.496	34.2905
850.000000	67.546	35.1507
862.000000	67.599	35.9954
875.000000	67.657	36.9077
885.000000	67.702	37.6163
900.000000	67.773	38.6987
912.000000	67.832	39.5840
925.000000	67.898	40.5485
938.000000	67.969	41.5009
950.000000	68.037	42.3656
962.000000	68.106	43.2225
975.000000	68.182	44.1476
988.000000	68.259	45.0703
1000.000000	68.332	45.9215
1015.000000	68.424	46.9885
1030.000000	68.513	48.0628
1044.000000	68.595	49.0827
1060.000000	68.690	50.2882
1075.000000	68.785	51.4644
1090.000000	68.886	52.6790
1106.000000	69.004	54.0101
1120.000000	69.116	55.2064
1138.000000	69.278	56.7807
1150.000000	69.400	57.8278
1172.000000	69.651	59.6391
1180.000000	69.748	60.2460
1206.000000	70.068	62.0472
1220.000000	70.239	62.9493
1241.000000	70.495	64.2668
1250.000000	70.606	64.8204
1265.000000	70.793	65.7186
1280.000000	70.984	66.5778
1315.000000	71.431	68.4485
1320.000000	71.496	68.7057
1340.000000	71.754	69.7221
1360.000000	72.020	70.7235
1380.000000	72.296	71.6860
1400.000000	72.580	72.5759
1430.000000	73.016	73.7408
1450.000000	73.308	74.3951
1475.000000	73.668	75.1009
1500.000000	74.025	75.7222
1525.000000	74.381	76.2632
1550.000000	74.735	76.7121
1575.000000	75.085	77.0645
1600.000000	75.432	77.3267
1625.000000	75.772	77.5066
1650.000000	76.105	77.6174
1675.000000	76.434	77.6706
1700.000000	76.758	77.6605
1725.000000	77.074	77.5736
1750.000000	77.380	77.4388
1775.000000	77.681	77.2904
1800.000000	77.981	77.1042
1825.000000	78.279	76.8385
1850.000000	78.569	76.4810
1875.000000	78.844	76.0435
1900.000000	79.100	75.5615
1925.000000	79.336	75.1006
1950.000000	79.561	74.7208
1975.000000	79.786	74.4349
2000.000000	80.017	74.2077
2030.000000	80.307	73.9393
2060.000000	80.605	73.6058
2090.000000	80.904	73.1701
2120.000000	81.193	72.6503
2140.000000	81.381	72.2844
2180.000000	81.748	71.5475
2200.000000	81.930	71.1735
2240.000000	82.291	70.4079
2270.000000	82.560	69.8101
2300.000000	82.826	69.1819
2330.000000	83.089	68.5378
2360.000000	83.352	67.9075
2400.000000	83.715	67.0797
2430.000000	84.002	66.4129
2470.000000	84.400	65.3532
2500.000000	84.699	64.3793
2540.000000	85.084	62.8571
2580.000000	85.446	61.1523
2620.000000	85.787	59.3019
2650.000000	86.025	57.8354
2690.000000	86.321	55.8242
2720.000000	86.531	54.2877
2760.000000	86.797	52.1889
2800.000000	87.044	50.0440
2850.000000	87.336	47.3213
2900.000000	87.612	44.5169
2950.000000	87.870	41.5660
3000.000000	88.102	38.4392
3040.000000	88.263	35.8361
3070.000000	88.370	33.8372
3110.000000	88.494	31.1104
3150.000000	88.596	28.3065
3200.000000	88.688	24.6923
3250.000000	88.735	20.9849
3300.000000	88.737	17.2263
3350.000000	88.694	13.4205
3400.000000	88.603	9.5458
3450.000000	88.449	5.6395
3500.000000	88.227	1.8120
3550.000000	87.938	-1.8316
3600.000000	87.589	-5.2253
3650.000000	87.181	-8.2935
3700.000000	86.722	-10.9318
3750.000000	86.227	-13.0684
3820.000000	85.517	-15.2653
3870.000000	85.016	-16.3610
3950.000000	84.250	-17.4537
4000.000000	83.806	-17.8689
4060.000000	83.304	-18.2598
4120.000000	82.820	-18.5846
4180.000000	82.340	-18.8314
