* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Faunus 1, Faunus 2, Faunus 3, Faunus 4, Faunus 5, Faunus 6, Faunus 7, Faunus 8, Faunus 9, Faunus 10, Faunus 11, Faunus 12, Faunus 13, Faunus 14, Faunus 15, Faunus 16, Faunus 17, Faunus 18, Faunus 19, Faunus 20, Vector average
* Dated: Feb 11, 2024 3:33:09 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Faunus 1, Faunus 2, Faunus 3, Faunus 4, Faunus 5, Faunus 6, Faunus 7, Faunus 8, Faunus 9, Faunus 10, Faunus 11, Faunus 12, Faunus 13, Faunus 14, Faunus 15, Faunus 16, Faunus 17, Faunus 18, Faunus 19, Faunus 20, Vector average
* Measurement: RMS Average 1
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	56.845
20.299999	57.146
20.600000	57.467
20.900000	57.802
21.200001	58.138
21.400000	58.352
21.799999	58.745
22.000000	58.922
22.400000	59.240
22.700001	59.464
23.000000	59.692
23.299999	59.936
23.600000	60.201
24.000000	60.578
24.299999	60.865
24.700001	61.235
25.000000	61.493
25.400000	61.810
25.799999	62.110
26.200001	62.406
26.500000	62.630
26.900000	62.928
27.200001	63.147
27.600000	63.424
28.000000	63.682
28.500000	63.983
29.000000	64.270
29.500000	64.554
30.000000	64.843
30.400000	65.083
30.700001	65.268
31.100000	65.517
31.500000	65.761
32.000000	66.046
32.500000	66.298
33.000000	66.527
33.500000	66.752
34.000000	66.987
34.500000	67.230
35.000000	67.473
35.500000	67.707
36.000000	67.935
36.500000	68.165
37.000000	68.399
37.500000	68.630
38.200001	68.928
38.700001	69.120
39.500000	69.408
40.000000	69.585
40.599998	69.793
41.200001	69.995
41.799999	70.193
42.500000	70.424
43.099998	70.622
43.700001	70.820
44.400002	71.055
45.000000	71.262
45.500000	71.434
46.200001	71.666
46.799999	71.852
47.500000	72.049
48.200001	72.216
48.700001	72.310
49.400002	72.418
50.000000	72.503
50.799999	72.634
51.500000	72.779
52.200001	72.951
53.000000	73.152
53.799999	73.321
54.500000	73.445
55.200001	73.568
56.000000	73.721
57.000000	73.924
58.000000	74.131
59.000000	74.327
60.000000	74.500
60.799999	74.630
61.500000	74.742
62.200001	74.853
63.000000	74.977
64.000000	75.127
65.000000	75.273
66.000000	75.415
67.000000	75.552
68.000000	75.689
69.000000	75.828
70.000000	75.968
71.000000	76.107
72.000000	76.241
73.000000	76.370
74.000000	76.494
75.000000	76.613
76.199997	76.747
77.500000	76.884
78.800003	77.013
80.000000	77.125
81.199997	77.230
82.500000	77.336
83.800003	77.436
85.000000	77.525
86.199997	77.611
87.500000	77.700
88.500000	77.765
90.000000	77.853
91.199997	77.917
92.500000	77.982
93.800003	78.042
95.000000	78.095
96.199997	78.145
97.500000	78.195
98.800003	78.241
100.000000	78.280
101.500000	78.325
103.000000	78.365
104.400002	78.397
106.000000	78.430
107.500000	78.458
109.000000	78.483
110.599998	78.505
112.000000	78.522
113.800003	78.542
115.000000	78.555
117.199997	78.569
118.000000	78.572
120.599998	78.579
122.000000	78.585
124.099998	78.592
125.000000	78.595
126.500000	78.598
128.000000	78.599
131.500000	78.592
132.000000	78.590
134.000000	78.583
136.000000	78.574
138.000000	78.564
140.000000	78.553
143.000000	78.536
145.000000	78.523
147.500000	78.503
150.000000	78.480
152.500000	78.454
155.000000	78.427
157.500000	78.400
160.000000	78.371
162.500000	78.341
165.000000	78.309
167.500000	78.273
170.000000	78.235
172.500000	78.196
175.000000	78.157
177.500000	78.119
180.000000	78.080
182.500000	78.040
185.000000	78.001
187.500000	77.962
190.000000	77.924
192.500000	77.886
195.000000	77.847
197.500000	77.808
200.000000	77.769
203.000000	77.722
206.000000	77.675
