* Measurement data measured by REW V5.20.13
* Source: EXCL: Headset (USB-C to 3.5mm Headphone Jack Adapter), MICROPHONE (Master Volume), 0, volume: 0.260
* Format: 256k Log Swept Sine, 1 sweep at -12.0 dBFS with no timing reference
* Dated: Jan 12, 2024 4:13:53 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: 
* Measurement: Faunus VM 4h L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)	Phase(degrees)
20.000000	58.789	-139.6328
20.299999	59.050	-141.1351
20.600000	59.322	-142.4662
20.900000	59.613	-143.6865
21.200001	59.926	-144.8821
21.400000	60.142	-145.7100
21.799999	60.583	-147.4836
22.000000	60.802	-148.4409
22.400000	61.225	-150.4837
22.700001	61.524	-152.0935
23.000000	61.806	-153.7330
23.299999	62.068	-155.3698
23.600000	62.311	-156.9700
24.000000	62.609	-158.9858
24.299999	62.819	-160.3630
24.700001	63.096	-161.9899
25.000000	63.312	-163.0732
25.400000	63.620	-164.4183
25.799999	63.947	-165.7822
26.200001	64.277	-167.2628
26.500000	64.514	-168.4523
26.900000	64.810	-170.0883
27.200001	65.016	-171.2995
27.600000	65.278	-172.8474
28.000000	65.533	-174.3245
28.500000	65.844	-176.1437
29.000000	66.136	-177.9829
29.500000	66.401	-179.7900
30.000000	66.649	178.5279
30.400000	66.847	177.2841
30.700001	67.000	176.3878
31.100000	67.211	175.1989
31.500000	67.428	173.9861
32.000000	67.701	172.4224
32.500000	67.974	170.8162
33.000000	68.243	169.1805
33.500000	68.506	167.5363
34.000000	68.760	165.9353
34.500000	69.012	164.4322
35.000000	69.270	163.0211
35.500000	69.536	161.6163
36.000000	69.798	160.1251
36.500000	70.036	158.5410
37.000000	70.238	156.9655
37.500000	70.413	155.5163
38.200001	70.649	153.7357
38.700001	70.829	152.5082
39.500000	71.119	150.3127
40.000000	71.281	148.7954
40.599998	71.454	146.9608
41.200001	71.623	145.2142
41.799999	71.807	143.5374
42.500000	72.042	141.5822
43.099998	72.251	139.8965
43.700001	72.460	138.2371
44.400002	72.696	136.3498
45.000000	72.878	134.8010
45.500000	73.014	133.6198
46.200001	73.192	132.1670
46.799999	73.344	130.9795
47.500000	73.498	129.4355
48.200001	73.584	127.7955
48.700001	73.606	126.7494
49.400002	73.621	125.6068
50.000000	73.656	124.8373
50.799999	73.752	123.8639
51.500000	73.875	122.9381
52.200001	74.021	121.9194
53.000000	74.195	120.7184
53.799999	74.373	119.6293
54.500000	74.537	118.7765
55.200001	74.700	117.9199
56.000000	74.866	116.8948
57.000000	75.031	115.5595
58.000000	75.139	114.1533
59.000000	75.225	113.0814
60.000000	75.444	112.2201
60.799999	75.718	110.8513
61.500000	75.943	109.0028
62.200001	76.118	106.9159
63.000000	76.279	104.6607
64.000000	76.457	102.2291
65.000000	76.619	100.2094
66.000000	76.766	98.5305
67.000000	76.899	97.0463
68.000000	77.017	95.5945
69.000000	77.116	94.0863
70.000000	77.201	92.5364
71.000000	77.281	90.9864
72.000000	77.364	89.4771
73.000000	77.451	88.0450
74.000000	77.541	86.7057
75.000000	77.630	85.4584
76.199997	77.732	84.0497
77.500000	77.838	82.5442
78.800003	77.937	80.9836
80.000000	78.023	79.4760
81.199997	78.103	77.9411
82.500000	78.184	76.3262
83.800003	78.265	74.7874
85.000000	78.337	73.4133
86.199997	78.404	72.0708
87.500000	78.469	70.6379
88.500000	78.515	69.5529
90.000000	78.587	67.9443
91.199997	78.649	66.6149
92.500000	78.709	65.1235
93.800003	78.755	63.6636
95.000000	78.789	62.4026
96.199997	78.815	61.2158
97.500000	78.833	59.9818
98.800003	78.839	58.7745
100.000000	78.838	57.6716
101.500000	78.837	56.3177
103.000000	78.848	55.0258
104.400002	78.871	53.9047
106.000000	78.899	52.7223
107.500000	78.915	51.6505
109.000000	78.918	50.5122
110.599998	78.917	49.1904
112.000000	78.927	48.0111
113.800003	78.958	46.7004
115.000000	78.980	46.1188
