* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of L FiiO FT1, L FiiO FT1, L FiiO FT1
* Dated: Sep 4, 2024 6:46:32 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of L FiiO FT1, L FiiO FT1, L FiiO FT1
* Measurement: RMS Average L
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	80.290
20.299999	80.394
20.600000	80.499
20.900000	80.587
21.200001	80.645
21.400000	80.666
21.799999	80.674
22.000000	80.670
22.400000	80.665
22.700001	80.678
23.000000	80.711
23.299999	80.758
23.600000	80.813
24.000000	80.888
24.299999	80.943
24.700001	81.018
25.000000	81.076
25.400000	81.152
25.799999	81.209
26.200001	81.228
26.500000	81.215
26.900000	81.168
27.200001	81.127
27.600000	81.086
28.000000	81.073
28.500000	81.090
29.000000	81.108
29.500000	81.105
30.000000	81.093
30.400000	81.098
30.700001	81.120
31.100000	81.173
31.500000	81.244
32.000000	81.338
32.500000	81.425
33.000000	81.508
33.500000	81.598
34.000000	81.695
34.500000	81.782
35.000000	81.844
35.500000	81.874
36.000000	81.883
36.500000	81.876
37.000000	81.853
37.500000	81.808
38.200001	81.711
38.700001	81.633
39.500000	81.527
40.000000	81.471
40.599998	81.403
41.200001	81.332
41.799999	81.266
42.500000	81.208
43.099998	81.173
43.700001	81.139
44.400002	81.094
45.000000	81.046
45.500000	81.001
46.200001	80.931
46.799999	80.865
47.500000	80.777
48.200001	80.678
48.700001	80.603
49.400002	80.505
50.000000	80.434
50.799999	80.373
51.500000	80.345
52.200001	80.326
53.000000	80.290
53.799999	80.236
54.500000	80.181
55.200001	80.124
56.000000	80.055
57.000000	79.964
58.000000	79.868
59.000000	79.760
60.000000	79.646
60.799999	79.560
61.500000	79.496
62.200001	79.441
63.000000	79.380
64.000000	79.297
65.000000	79.210
66.000000	79.129
67.000000	79.064
68.000000	79.011
69.000000	78.968
70.000000	78.940
71.000000	78.931
72.000000	78.940
73.000000	78.964
74.000000	78.996
75.000000	79.030
76.199997	79.072
77.500000	79.125
78.800003	79.188
80.000000	79.253
81.199997	79.326
82.500000	79.410
83.800003	79.490
85.000000	79.549
86.199997	79.590
87.500000	79.615
88.500000	79.622
90.000000	79.618
91.199997	79.600
92.500000	79.566
93.800003	79.516
95.000000	79.458
96.199997	79.394
97.500000	79.322
98.800003	79.254
100.000000	79.196
101.500000	79.133
103.000000	79.084
104.400002	79.054
106.000000	79.032
107.500000	79.016
109.000000	79.000
110.599998	78.988
112.000000	78.982
113.800003	78.986
115.000000	78.993
117.199997	79.004
118.000000	79.008
120.599998	79.007
122.000000	78.992
124.099998	78.957
125.000000	78.941
126.500000	78.915
128.000000	78.885
131.500000	78.796
132.000000	78.783
134.000000	78.731
136.000000	78.677
138.000000	78.619
140.000000	78.553
143.000000	78.446
145.000000	78.369
147.500000	78.272
150.000000	78.174
152.500000	78.073
155.000000	77.969
157.500000	77.863
160.000000	77.761
162.500000	77.665
165.000000	77.569
167.500000	77.470
170.000000	77.369
172.500000	77.266
175.000000	77.160
177.500000	77.053
180.000000	76.942
