* Measurement data measured by REW V5.31.1
* Source: Frequency response averaged data
* Format: Averaged data produced from the rms magnitudes of R FiiO FT1, R FiiO FT1, R FiiO FT1
* Dated: Sep 4, 2024 6:43:33 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of R FiiO FT1, R FiiO FT1, R FiiO FT1
* Measurement: RMS Average R
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	80.478
20.299999	80.542
20.600000	80.601
20.900000	80.654
21.200001	80.703
21.400000	80.734
21.799999	80.793
22.000000	80.822
22.400000	80.878
22.700001	80.918
23.000000	80.956
23.299999	80.991
23.600000	81.026
24.000000	81.072
24.299999	81.108
24.700001	81.160
25.000000	81.201
25.400000	81.255
25.799999	81.304
26.200001	81.344
26.500000	81.367
26.900000	81.388
27.200001	81.401
27.600000	81.416
28.000000	81.433
28.500000	81.458
29.000000	81.485
29.500000	81.505
30.000000	81.517
30.400000	81.522
30.700001	81.525
31.100000	81.533
31.500000	81.546
32.000000	81.572
32.500000	81.606
33.000000	81.643
33.500000	81.681
34.000000	81.726
34.500000	81.784
35.000000	81.860
35.500000	81.943
36.000000	82.019
36.500000	82.074
37.000000	82.110
37.500000	82.139
38.200001	82.177
38.700001	82.193
39.500000	82.173
40.000000	82.133
40.599998	82.072
41.200001	82.011
41.799999	81.949
42.500000	81.876
43.099998	81.810
43.700001	81.740
44.400002	81.650
45.000000	81.570
45.500000	81.504
46.200001	81.410
46.799999	81.324
47.500000	81.218
48.200001	81.111
48.700001	81.033
49.400002	80.923
50.000000	80.829
50.799999	80.718
51.500000	80.639
52.200001	80.563
53.000000	80.464
53.799999	80.355
54.500000	80.260
55.200001	80.167
56.000000	80.065
57.000000	79.957
58.000000	79.888
59.000000	79.848
60.000000	79.820
60.799999	79.806
61.500000	79.798
62.200001	79.792
63.000000	79.787
64.000000	79.786
65.000000	79.785
66.000000	79.775
67.000000	79.754
68.000000	79.726
69.000000	79.689
70.000000	79.649
71.000000	79.619
72.000000	79.601
73.000000	79.594
74.000000	79.602
75.000000	79.624
76.199997	79.660
77.500000	79.710
78.800003	79.766
80.000000	79.818
81.199997	79.867
82.500000	79.911
83.800003	79.935
85.000000	79.941
86.199997	79.935
87.500000	79.915
88.500000	79.891
90.000000	79.840
91.199997	79.790
92.500000	79.733
93.800003	79.677
95.000000	79.628
96.199997	79.583
97.500000	79.540
98.800003	79.505
100.000000	79.483
101.500000	79.469
103.000000	79.468
104.400002	79.475
106.000000	79.489
107.500000	79.507
109.000000	79.526
110.599998	79.548
112.000000	79.567
113.800003	79.589
115.000000	79.598
117.199997	79.593
118.000000	79.586
120.599998	79.565
122.000000	79.554
124.099998	79.531
125.000000	79.518
126.500000	79.492
128.000000	79.458
131.500000	79.345
132.000000	79.325
134.000000	79.244
136.000000	79.159
138.000000	79.070
140.000000	78.976
143.000000	78.835
145.000000	78.742
147.500000	78.631
150.000000	78.522
152.500000	78.413
155.000000	78.309
157.500000	78.209
160.000000	78.112
162.500000	78.014
165.000000	77.915
167.500000	77.817
170.000000	77.720
172.500000	77.625
175.000000	77.533
177.500000	77.443
180.000000	77.353
182.500000	77.261
185.000000	77.162
187.500000	77.055
190.000000	76.945
192.500000	76.838
195.000000	76.745
197.500000	76.667
200.000000	76.601
203.000000	76.528
206.000000	76.455
209.000000	76.382
212.000000	76.309
214.000000	76.259
218.000000	76.149
220.000000	76.087
224.000000	75.951
227.000000	75.851
230.000000	75.770
233.000000	75.717
236.000000	75.686
240.000000	75.657
243.000000	75.633
247.000000	75.589
250.000000	75.551
254.000000	75.499
258.000000	75.448
262.000000	75.404
265.000000	75.374
269.000000	75.337
272.000000	75.310
276.000000	75.276
280.000000	75.244
285.000000	75.205
290.000000	75.168
295.000000	75.135
300.000000	75.106
304.000000	75.086
307.000000	75.072
311.000000	75.056
315.000000	75.041
320.000000	75.026
325.000000	75.011
330.000000	74.997
335.000000	74.982
340.000000	74.966
345.000000	74.948
350.000000	74.930
355.000000	74.913
360.000000	74.899
365.000000	74.888
370.000000	74.879
375.000000	74.873
382.000000	74.867
387.000000	74.863
395.000000	74.855
400.000000	74.853
406.000000	74.851
412.000000	74.851
418.000000	74.851
425.000000	74.853
431.000000	74.858
437.000000	74.864
444.000000	74.870
450.000000	74.876
455.000000	74.883
462.000000	74.896
468.000000	74.909
475.000000	74.925
482.000000	74.943
487.000000	74.956
494.000000	74.976
500.000000	74.997
508.000000	75.027
515.000000	75.056
522.000000	75.087
530.000000	75.125
538.000000	75.165
545.000000	75.203
552.000000	75.245
560.000000	75.298
570.000000	75.376
580.000000	75.472
590.000000	75.591
600.000000	75.733
608.000000	75.856
615.000000	75.954
622.000000	76.014
630.000000	75.997
640.000000	75.803
650.000000	75.473
660.000000	75.170
670.000000	75.014
680.000000	75.002
690.000000	75.068
700.000000	75.160
710.000000	75.254
720.000000	75.342
730.000000	75.424
740.000000	75.501
750.000000	75.573
762.000000	75.652
