* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Focal Bathys Wired L, Focal Bathys Wired L, Focal Bathys Wired L
* Dated: Apr 4, 2024 8:15:51 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Focal Bathys Wired L, Focal Bathys Wired L, Focal Bathys Wired L
* Measurement: Focal Bathys Wired L AVG
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	75.174
20.299999	75.300
20.600000	75.432
20.900000	75.569
21.200001	75.708
21.400000	75.799
21.799999	75.975
22.000000	76.058
22.400000	76.212
22.700001	76.319
23.000000	76.421
23.299999	76.520
23.600000	76.618
24.000000	76.746
24.299999	76.840
24.700001	76.963
25.000000	77.054
25.400000	77.175
25.799999	77.299
26.200001	77.426
26.500000	77.521
26.900000	77.644
27.200001	77.730
27.600000	77.836
28.000000	77.931
28.500000	78.038
29.000000	78.136
29.500000	78.228
30.000000	78.316
30.400000	78.382
30.700001	78.428
31.100000	78.486
31.500000	78.541
32.000000	78.609
32.500000	78.681
33.000000	78.759
33.500000	78.842
34.000000	78.926
34.500000	79.007
35.000000	79.084
35.500000	79.155
36.000000	79.222
36.500000	79.282
37.000000	79.337
37.500000	79.386
38.200001	79.448
38.700001	79.488
39.500000	79.546
40.000000	79.580
40.599998	79.619
41.200001	79.657
41.799999	79.695
42.500000	79.738
43.099998	79.773
43.700001	79.806
44.400002	79.843
45.000000	79.872
45.500000	79.894
46.200001	79.920
46.799999	79.939
47.500000	79.955
48.200001	79.968
48.700001	79.975
49.400002	79.983
50.000000	79.990
50.799999	79.998
51.500000	80.005
52.200001	80.011
53.000000	80.015
53.799999	80.015
54.500000	80.011
55.200001	80.003
56.000000	79.989
57.000000	79.966
58.000000	79.936
59.000000	79.899
60.000000	79.857
60.799999	79.820
61.500000	79.786
62.200001	79.751
63.000000	79.709
64.000000	79.655
65.000000	79.599
66.000000	79.542
67.000000	79.483
68.000000	79.420
69.000000	79.353
70.000000	79.282
71.000000	79.208
72.000000	79.130
73.000000	79.050
74.000000	78.968
75.000000	78.885
76.199997	78.785
77.500000	78.679
78.800003	78.574
80.000000	78.479
81.199997	78.385
82.500000	78.285
83.800003	78.185
85.000000	78.095
86.199997	78.005
87.500000	77.910
88.500000	77.839
90.000000	77.733
91.199997	77.651
92.500000	77.564
93.800003	77.478
95.000000	77.401
96.199997	77.326
97.500000	77.245
98.800003	77.167
100.000000	77.096
101.500000	77.010
103.000000	76.925
104.400002	76.849
106.000000	76.764
107.500000	76.687
109.000000	76.613
110.599998	76.538
112.000000	76.475
113.800003	76.400
115.000000	76.351
117.199997	76.268
118.000000	76.239
120.599998	76.147
122.000000	76.099
124.099998	76.029
125.000000	76.001
126.500000	75.954
128.000000	75.910
131.500000	75.813
132.000000	75.800
134.000000	75.749
136.000000	75.700
138.000000	75.653
140.000000	75.608
143.000000	75.541
145.000000	75.497
147.500000	75.444
150.000000	75.393
152.500000	75.342
155.000000	75.293
157.500000	75.247
160.000000	75.203
162.500000	75.162
165.000000	75.125
167.500000	75.091
170.000000	75.060
172.500000	75.031
175.000000	75.005
177.500000	74.982
180.000000	74.961
182.500000	74.943
185.000000	74.927
187.500000	74.915
190.000000	74.904
192.500000	74.896
195.000000	74.889
197.500000	74.885
200.000000	74.882
203.000000	74.880
206.000000	74.880
209.000000	74.882
212.000000	74.886
214.000000	74.891
218.000000	74.904
220.000000	74.912
224.000000	74.933
227.000000	74.953
230.000000	74.975
233.000000	75.000
236.000000	75.029
240.000000	75.071
243.000000	75.105
247.000000	75.154
250.000000	75.194
254.000000	75.249
258.000000	75.309
262.000000	75.371
265.000000	75.419
269.000000	75.486
272.000000	75.536
276.000000	75.604
280.000000	75.672
285.000000	75.757
290.000000	75.842
295.000000	75.926
300.000000	76.009
304.000000	76.074
307.000000	76.122
311.000000	76.184
315.000000	76.245
320.000000	76.318
325.000000	76.389
330.000000	76.457
335.000000	76.524
340.000000	76.587
345.000000	76.649
350.000000	76.707
355.000000	76.762
360.000000	76.813
365.000000	76.861
370.000000	76.906
375.000000	76.948
382.000000	77.002
387.000000	77.037
395.000000	77.086
400.000000	77.112
406.000000	77.139
412.000000	77.160
418.000000	77.175
425.000000	77.185
431.000000	77.189
437.000000	77.187
444.000000	77.179
450.000000	77.168
455.000000	77.156
462.000000	77.135
468.000000	77.114
475.000000	77.087
482.000000	77.057
487.000000	77.034
494.000000	77.001
500.000000	76.971
508.000000	76.929
515.000000	76.889
522.000000	76.848
530.000000	76.797
538.000000	76.742
545.000000	76.692
552.000000	76.639
560.000000	76.575
570.000000	76.491
580.000000	76.402
590.000000	76.309
600.000000	76.211
608.000000	76.129
615.000000	76.056
622.000000	75.981
630.000000	75.893
640.000000	75.781
650.000000	75.666
660.000000	75.550
670.000000	75.432
680.000000	75.313
690.000000	75.192
700.000000	75.071
710.000000	74.948
720.000000	74.824
730.000000	74.698
740.000000	74.570
750.000000	74.440
762.000000	74.281
775.000000	74.104
788.000000	73.926
800.000000	73.763
812.000000	73.606
825.000000	73.446
838.000000	73.300
850.000000	73.181
862.000000	73.082
875.000000	73.007
885.000000	72.979
900.000000	72.999
912.000000	73.075
925.000000	73.215
938.000000	73.407
950.000000	73.615
962.000000	73.840
975.000000	74.088
988.000000	74.334
1000.000000	74.555
1015.000000	74.820
1030.000000	75.068
1044.000000	75.277
1060.000000	75.484
1075.000000	75.646
1090.000000	75.783
1106.000000	75.910
1120.000000	76.009
1138.000000	76.122
1150.000000	76.189
1172.000000	76.292
1180.000000	76.323
1206.000000	76.406
1220.000000	76.441
1241.000000	76.487
1250.000000	76.505
1265.000000	76.535
1280.000000	76.564
1315.000000	76.635
1320.000000	76.645
1340.000000	76.686
1360.000000	76.726
1380.000000	76.763
1400.000000	76.797
1430.000000	76.840
1450.000000	76.863
1475.000000	76.888
1500.000000	76.909
1525.000000	76.929
1550.000000	76.952
1575.000000	76.981
1600.000000	77.019
1625.000000	77.070
1650.000000	77.138
1675.000000	77.225
1700.000000	77.330
1725.000000	77.452
1750.000000	77.585
1775.000000	77.723
1800.000000	77.859
1825.000000	77.988
1850.000000	78.103
1875.000000	78.201
1900.000000	78.280
1925.000000	78.337
1950.000000	78.374
1975.000000	78.394
2000.000000	78.398
2030.000000	78.388
2060.000000	78.369
2090.000000	78.345
2120.000000	78.322
2140.000000	78.309
2180.000000	78.287
2200.000000	78.280
2240.000000	78.268
2270.000000	78.261
2300.000000	78.256
2330.000000	78.252
2360.000000	78.253
2400.000000	78.275
2430.000000	78.323
2470.000000	78.467
2500.000000	78.658
2540.000000	79.045
2580.000000	79.577
2620.000000	80.210
2650.000000	80.714
2690.000000	81.379
2720.000000	81.848
2760.000000	82.413
2800.000000	82.893
2850.000000	83.369
2900.000000	83.717
2950.000000	83.953
3000.000000	84.098
3040.000000	84.158
3070.000000	84.174
3110.000000	84.159
3150.000000	84.105
3200.000000	83.985
3250.000000	83.809
3300.000000	83.582
3350.000000	83.309
3400.000000	82.997
3450.000000	82.654
3500.000000	82.289
3550.000000	81.916
3600.000000	81.551
3650.000000	81.213
3700.000000	80.926
3750.000000	80.714
3820.000000	80.586
3870.000000	80.627
3950.000000	80.869
4000.000000	81.067
