* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Focal Bathys Wired R, Focal Bathys Wired R, Focal Bathys Wired R
* Dated: Apr 4, 2024 8:16:19 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Focal Bathys Wired R, Focal Bathys Wired R, Focal Bathys Wired R
* Measurement: Focal Bathys Wired R AVG
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	74.785
20.299999	74.935
20.600000	75.081
20.900000	75.223
21.200001	75.361
21.400000	75.451
21.799999	75.624
22.000000	75.707
22.400000	75.868
22.700001	75.984
23.000000	76.097
23.299999	76.206
23.600000	76.313
24.000000	76.451
24.299999	76.552
24.700001	76.682
25.000000	76.778
25.400000	76.903
25.799999	77.026
26.200001	77.148
26.500000	77.238
26.900000	77.356
27.200001	77.443
27.600000	77.556
28.000000	77.665
28.500000	77.796
29.000000	77.921
29.500000	78.041
30.000000	78.155
30.400000	78.242
30.700001	78.303
31.100000	78.380
31.500000	78.453
32.000000	78.540
32.500000	78.621
33.000000	78.699
33.500000	78.774
34.000000	78.846
34.500000	78.916
35.000000	78.984
35.500000	79.050
36.000000	79.112
36.500000	79.171
37.000000	79.227
37.500000	79.280
38.200001	79.348
38.700001	79.392
39.500000	79.457
40.000000	79.495
40.599998	79.538
41.200001	79.579
41.799999	79.618
42.500000	79.660
43.099998	79.695
43.700001	79.727
44.400002	79.762
45.000000	79.789
45.500000	79.810
46.200001	79.836
46.799999	79.855
47.500000	79.875
48.200001	79.890
48.700001	79.900
49.400002	79.911
50.000000	79.919
50.799999	79.927
51.500000	79.932
52.200001	79.935
53.000000	79.936
53.799999	79.933
54.500000	79.928
55.200001	79.922
56.000000	79.912
57.000000	79.895
58.000000	79.872
59.000000	79.843
60.000000	79.808
60.799999	79.776
61.500000	79.746
62.200001	79.714
63.000000	79.676
64.000000	79.626
65.000000	79.575
66.000000	79.522
67.000000	79.466
68.000000	79.408
69.000000	79.346
70.000000	79.282
71.000000	79.214
72.000000	79.143
73.000000	79.071
74.000000	78.996
75.000000	78.920
76.199997	78.827
77.500000	78.725
78.800003	78.621
80.000000	78.525
81.199997	78.428
82.500000	78.324
83.800003	78.222
85.000000	78.129
86.199997	78.037
87.500000	77.940
88.500000	77.866
90.000000	77.759
91.199997	77.677
92.500000	77.590
93.800003	77.506
95.000000	77.431
96.199997	77.359
97.500000	77.282
98.800003	77.208
100.000000	77.142
101.500000	77.061
103.000000	76.982
104.400002	76.911
106.000000	76.831
107.500000	76.758
109.000000	76.686
110.599998	76.613
112.000000	76.550
113.800003	76.472
115.000000	76.421
117.199997	76.331
118.000000	76.299
120.599998	76.200
122.000000	76.149
124.099998	76.078
125.000000	76.048
126.500000	76.001
128.000000	75.956
131.500000	75.861
132.000000	75.848
134.000000	75.800
136.000000	75.754
138.000000	75.709
140.000000	75.666
143.000000	75.602
145.000000	75.560
147.500000	75.509
150.000000	75.458
152.500000	75.407
155.000000	75.356
157.500000	75.307
160.000000	75.258
162.500000	75.212
165.000000	75.168
167.500000	75.127
170.000000	75.089
172.500000	75.055
175.000000	75.025
177.500000	74.997
180.000000	74.974
182.500000	74.953
185.000000	74.936
187.500000	74.922
190.000000	74.910
192.500000	74.901
195.000000	74.893
