* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Focal Bathys Wireless L, Focal Bathys Wireless L, Focal Bathys Wireless L
* Dated: Apr 4, 2024 8:16:41 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Focal Bathys Wireless L, Focal Bathys Wireless L, Focal Bathys Wireless L
* Measurement: Focal Bathys Wireless L AVG
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	76.532
20.299999	76.712
20.600000	76.899
20.900000	77.094
21.200001	77.298
21.400000	77.438
21.799999	77.727
22.000000	77.875
22.400000	78.173
22.700001	78.395
23.000000	78.617
23.299999	78.837
23.600000	79.058
24.000000	79.356
24.299999	79.583
24.700001	79.891
25.000000	80.126
25.400000	80.440
25.799999	80.751
26.200001	81.054
26.500000	81.273
26.900000	81.551
27.200001	81.747
27.600000	81.987
28.000000	82.203
28.500000	82.434
29.000000	82.622
29.500000	82.767
30.000000	82.869
30.400000	82.922
30.700001	82.946
31.100000	82.960
31.500000	82.957
32.000000	82.936
32.500000	82.900
33.000000	82.857
33.500000	82.807
34.000000	82.754
34.500000	82.698
35.000000	82.639
35.500000	82.579
36.000000	82.516
36.500000	82.451
37.000000	82.382
37.500000	82.312
38.200001	82.212
38.700001	82.142
39.500000	82.033
40.000000	81.967
40.599998	81.892
41.200001	81.824
41.799999	81.765
42.500000	81.708
43.099998	81.668
43.700001	81.632
44.400002	81.593
45.000000	81.557
45.500000	81.526
46.200001	81.481
46.799999	81.440
47.500000	81.393
48.200001	81.345
48.700001	81.311
49.400002	81.266
50.000000	81.228
50.799999	81.180
51.500000	81.139
52.200001	81.100
53.000000	81.058
53.799999	81.015
54.500000	80.977
55.200001	80.938
56.000000	80.890
57.000000	80.826
58.000000	80.758
59.000000	80.686
60.000000	80.611
60.799999	80.550
61.500000	80.495
62.200001	80.441
63.000000	80.379
64.000000	80.301
65.000000	80.224
66.000000	80.146
67.000000	80.067
68.000000	79.987
69.000000	79.905
70.000000	79.821
71.000000	79.735
72.000000	79.648
73.000000	79.560
74.000000	79.472
75.000000	79.384
76.199997	79.278
77.500000	79.162
78.800003	79.047
80.000000	78.941
81.199997	78.835
82.500000	78.721
83.800003	78.609
85.000000	78.506
86.199997	78.404
87.500000	78.296
88.500000	78.214
90.000000	78.094
91.199997	77.999
92.500000	77.900
93.800003	77.802
95.000000	77.715
96.199997	77.629
97.500000	77.539
98.800003	77.451
100.000000	77.373
101.500000	77.277
103.000000	77.185
104.400002	77.102
106.000000	77.011
107.500000	76.929
109.000000	76.850
110.599998	76.769
112.000000	76.702
113.800003	76.619
115.000000	76.566
117.199997	76.471
118.000000	76.438
120.599998	76.333
122.000000	76.278
124.099998	76.200
125.000000	76.168
126.500000	76.116
128.000000	76.067
131.500000	75.961
132.000000	75.947
134.000000	75.892
136.000000	75.838
138.000000	75.786
140.000000	75.734
143.000000	75.658
145.000000	75.610
147.500000	75.552
150.000000	75.498
152.500000	75.446
155.000000	75.396
157.500000	75.347
160.000000	75.300
162.500000	75.256
165.000000	75.216
167.500000	75.178
170.000000	75.141
172.500000	75.105
175.000000	75.069
177.500000	75.036
180.000000	75.007
182.500000	74.982
185.000000	74.961
187.500000	74.943
190.000000	74.928
192.500000	74.914
195.000000	74.902
197.500000	74.891
200.000000	74.881
203.000000	74.870
206.000000	74.861
209.000000	74.856
212.000000	74.854
214.000000	74.855
218.000000	74.864
220.000000	74.871
224.000000	74.891
227.000000	74.910
230.000000	74.932
233.000000	74.958
236.000000	74.986
240.000000	75.029
243.000000	75.064
247.000000	75.115
250.000000	75.156
254.000000	75.213
258.000000	75.272
262.000000	75.335
265.000000	75.383
269.000000	75.450
272.000000	75.501
276.000000	75.571
280.000000	75.642
285.000000	75.732
290.000000	75.823
295.000000	75.914
300.000000	76.003
304.000000	76.074
307.000000	76.127
311.000000	76.196
315.000000	76.263
320.000000	76.345
325.000000	76.425
330.000000	76.502
335.000000	76.579
340.000000	76.653
345.000000	76.724
350.000000	76.792
355.000000	76.857
360.000000	76.918
365.000000	76.976
370.000000	77.032
375.000000	77.084
382.000000	77.150
387.000000	77.192
395.000000	77.251
400.000000	77.284
406.000000	77.319
412.000000	77.349
418.000000	77.372
425.000000	77.393
431.000000	77.405
437.000000	77.412
444.000000	77.415
450.000000	77.415
455.000000	77.413
462.000000	77.406
468.000000	77.397
475.000000	77.384
482.000000	77.369
487.000000	77.356
494.000000	77.336
500.000000	77.318
508.000000	77.290
515.000000	77.263
522.000000	77.232
530.000000	77.193
538.000000	77.151
545.000000	77.111
552.000000	77.069
560.000000	77.017
570.000000	76.945
580.000000	76.867
590.000000	76.782
600.000000	76.691
608.000000	76.615
615.000000	76.546
622.000000	76.475
630.000000	76.392
640.000000	76.285
650.000000	76.175
660.000000	76.063
670.000000	75.949
680.000000	75.835
690.000000	75.718
700.000000	75.597
710.000000	75.473
720.000000	75.345
730.000000	75.214
740.000000	75.082
750.000000	74.948
762.000000	74.785
775.000000	74.606
788.000000	74.426
800.000000	74.262
812.000000	74.102
825.000000	73.938
838.000000	73.787
850.000000	73.664
862.000000	73.561
875.000000	73.477
885.000000	73.437
900.000000	73.424
912.000000	73.461
925.000000	73.547
938.000000	73.675
950.000000	73.820
962.000000	73.980
975.000000	74.162
988.000000	74.350
1000.000000	74.528
1015.000000	74.758
1030.000000	74.987
1044.000000	75.190
1060.000000	75.396
1075.000000	75.559
1090.000000	75.696
1106.000000	75.822
1120.000000	75.921
1138.000000	76.036
1150.000000	76.107
1172.000000	76.224
1180.000000	76.263
1206.000000	76.375
1220.000000	76.428
1241.000000	76.498
1250.000000	76.525
1265.000000	76.568
1280.000000	76.607
1315.000000	76.689
1320.000000	76.700
1340.000000	76.738
1360.000000	76.769
1380.000000	76.789
1400.000000	76.799
1430.000000	76.792
1450.000000	76.774
1475.000000	76.743
1500.000000	76.705
1525.000000	76.666
1550.000000	76.633
1575.000000	76.609
1600.000000	76.598
1625.000000	76.604
1650.000000	76.630
1675.000000	76.677
1700.000000	76.747
1725.000000	76.837
1750.000000	76.942
1775.000000	77.056
1800.000000	77.170
1825.000000	77.279
1850.000000	77.377
1875.000000	77.460
1900.000000	77.525
1925.000000	77.572
1950.000000	77.603
1975.000000	77.621
2000.000000	77.629
2030.000000	77.632
