* Measurement data measured by REW V5.20.13
* Source: Frequency Response Averaged data
* Format: Averaged data produced from the rms magnitudes of Focal Bathys Wireless R, Focal Bathys Wireless R, Focal Bathys Wireless R
* Dated: Apr 4, 2024 8:17:00 PM
* REW Settings:
*  C-weighting compensation: Off
*  Target level: 75.0 dB
* Note: Averaged data produced from the rms magnitudes of Focal Bathys Wireless R, Focal Bathys Wireless R, Focal Bathys Wireless R
* Measurement: Focal Bathys Wireless R AV
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz)	SPL(dB)
20.000000	76.095
20.299999	76.259
20.600000	76.422
20.900000	76.585
21.200001	76.746
21.400000	76.852
21.799999	77.061
22.000000	77.166
22.400000	77.373
22.700001	77.529
23.000000	77.685
23.299999	77.840
23.600000	77.991
24.000000	78.187
24.299999	78.329
24.700001	78.511
25.000000	78.643
25.400000	78.815
25.799999	78.984
26.200001	79.151
26.500000	79.274
26.900000	79.434
27.200001	79.550
27.600000	79.700
28.000000	79.842
28.500000	80.007
29.000000	80.158
29.500000	80.293
30.000000	80.413
30.400000	80.500
30.700001	80.560
31.100000	80.633
31.500000	80.698
32.000000	80.770
32.500000	80.830
33.000000	80.882
33.500000	80.927
34.000000	80.966
34.500000	81.001
35.000000	81.033
35.500000	81.061
36.000000	81.085
36.500000	81.103
37.000000	81.115
37.500000	81.122
38.200001	81.124
38.700001	81.124
39.500000	81.120
40.000000	81.115
40.599998	81.106
41.200001	81.095
41.799999	81.081
42.500000	81.064
43.099998	81.049
43.700001	81.034
44.400002	81.018
45.000000	81.006
45.500000	80.995
46.200001	80.980
46.799999	80.965
47.500000	80.944
48.200001	80.920
48.700001	80.902
49.400002	80.876
50.000000	80.853
50.799999	80.821
51.500000	80.793
52.200001	80.765
53.000000	80.732
53.799999	80.697
54.500000	80.664
55.200001	80.629
56.000000	80.589
57.000000	80.536
58.000000	80.482
59.000000	80.426
60.000000	80.367
60.799999	80.318
61.500000	80.273
62.200001	80.227
63.000000	80.173
64.000000	80.102
65.000000	80.029
66.000000	79.953
67.000000	79.875
68.000000	79.795
69.000000	79.716
70.000000	79.635
71.000000	79.554
72.000000	79.471
73.000000	79.387
74.000000	79.300
75.000000	79.211
76.199997	79.103
77.500000	78.987
78.800003	78.872
80.000000	78.767
81.199997	78.662
82.500000	78.550
83.800003	78.440
85.000000	78.341
86.199997	78.243
87.500000	78.137
88.500000	78.058
90.000000	77.941
91.199997	77.852
92.500000	77.758
93.800003	77.668
95.000000	77.586
96.199997	77.505
97.500000	77.418
98.800003	77.333
100.000000	77.257
101.500000	77.164
103.000000	77.074
104.400002	76.993
106.000000	76.905
107.500000	76.825
109.000000	76.747
110.599998	76.666
112.000000	76.598
113.800003	76.513
115.000000	76.460
117.199997	76.366
118.000000	76.334
120.599998	76.232
122.000000	76.181
124.099998	76.108
125.000000	76.078
126.500000	76.030
128.000000	75.983
131.500000	75.877
132.000000	75.863
134.000000	75.808
136.000000	75.757
138.000000	75.708
140.000000	75.661
143.000000	75.591
145.000000	75.545
147.500000	75.488
150.000000	75.433
152.500000	75.380
155.000000	75.330
157.500000	75.281
160.000000	75.235
162.500000	75.190
165.000000	75.146
167.500000	75.105
170.000000	75.066
172.500000	75.030
175.000000	74.998
177.500000	74.971
180.000000	74.948
182.500000	74.927
185.000000	74.910
187.500000	74.896
190.000000	74.887
192.500000	74.881
195.000000	74.878
197.500000	74.878
200.000000	74.879
203.000000	74.880
206.000000	74.882
209.000000	74.884
212.000000	74.887
214.000000	74.890
218.000000	74.902
220.000000	74.910
224.000000	74.933
227.000000	74.954
230.000000	74.980
233.000000	75.008
236.000000	75.039
240.000000	75.086
243.000000	75.125
247.000000	75.180
250.000000	75.224
254.000000	75.285
258.000000	75.348
262.000000	75.414
265.000000	75.463
269.000000	75.531
272.000000	75.583
276.000000	75.653
280.000000	75.723
285.000000	75.812
290.000000	75.900
295.000000	75.989
300.000000	76.077
304.000000	76.147
307.000000	76.199
311.000000	76.269
315.000000	76.337
320.000000	76.422
325.000000	76.505
330.000000	76.586
335.000000	76.664
340.000000	76.739
345.000000	76.811
350.000000	76.882
355.000000	76.951
360.000000	77.019
365.000000	77.086
370.000000	77.150
375.000000	77.212
382.000000	77.293
387.000000	77.345
395.000000	77.418
400.000000	77.457
406.000000	77.498
412.000000	77.532
418.000000	77.561
425.000000	77.588
431.000000	77.605
437.000000	77.618
444.000000	77.626
450.000000	77.629
455.000000	77.629
462.000000	77.625
468.000000	77.619
475.000000	77.609
482.000000	77.596
487.000000	77.583
494.000000	77.562
500.000000	77.539
508.000000	77.501
515.000000	77.464
522.000000	77.422
530.000000	77.371
538.000000	77.316
545.000000	77.265
552.000000	77.212
560.000000	77.151
570.000000	77.072
580.000000	76.992
590.000000	76.911
600.000000	76.829
608.000000	76.764
615.000000	76.708
622.000000	76.652
630.000000	76.589
640.000000	76.511
650.000000	76.433
660.000000	76.355
670.000000	76.279
680.000000	76.208
690.000000	76.142
700.000000	76.081
710.000000	76.021
720.000000	75.962
730.000000	75.903
740.000000	75.844
750.000000	75.790
762.000000	75.734
775.000000	75.685
788.000000	75.648
800.000000	75.622
812.000000	75.604
825.000000	75.591
838.000000	75.585
850.000000	75.582
862.000000	75.580
875.000000	75.577
885.000000	75.577
900.000000	75.585
